re_id	cvterm_id	aro_accession	cvterm_name	epi_lexicon	epi_normalized_accession	epi_normalized_term_name	paper_count
1	40805	ARO:3003976	16S rRNA with mutation conferring resistance to pactamycin	NCBI_TAXON	NCBI_TAXON:870	Dichelobacter nodosus	1
2	40805	ARO:3003976	16S rRNA with mutation conferring resistance to pactamycin	NCBI_TAXON	NCBI_TAXON:1773	Mycobacterium tuberculosis	1
3	40805	ARO:3003976	16S rRNA with mutation conferring resistance to pactamycin	NCBI_TAXON	NCBI_TAXON:28903	Mycoplasma bovis	1
4	40805	ARO:3003976	16S rRNA with mutation conferring resistance to pactamycin	SO	SO:0000704	gene	1
5	40805	ARO:3003976	16S rRNA with mutation conferring resistance to pactamycin	SO	SO:0000973	insertion_sequence	1
6	40805	ARO:3003976	16S rRNA with mutation conferring resistance to pactamycin	SO	SO:0000178	operon	1
7	40805	ARO:3003976	16S rRNA with mutation conferring resistance to pactamycin	SO	SO:0000155	plasmid	1
8	40805	ARO:3003976	16S rRNA with mutation conferring resistance to pactamycin	SO	SO:0000417	polypeptide_domain	1
9	40805	ARO:3003976	16S rRNA with mutation conferring resistance to pactamycin	SO	SO:0000167	promoter	2
10	40805	ARO:3003976	16S rRNA with mutation conferring resistance to pactamycin	SO	SO:0000252	rRNA	1
11	40805	ARO:3003976	16S rRNA with mutation conferring resistance to pactamycin	UBERON	UBERON:0007311	sputum	1
12	40805	ARO:3003976	16S rRNA with mutation conferring resistance to pactamycin	SO	SO:0000141	terminator	1
13	37237	ARO:3000857	16S ribosomal RNA methyltransferase	GAZ	GAZ:22222679	Canadian	1
14	37237	ARO:3000857	16S ribosomal RNA methyltransferase	NCBI_TAXON	NCBI_TAXON:562	Escherichia coli	1
15	37237	ARO:3000857	16S ribosomal RNA methyltransferase	NCBI_TAXON	NCBI_TAXON:573	Klebsiella pneumoniae	1
16	37237	ARO:3000857	16S ribosomal RNA methyltransferase	SO	SO:0001026	genome	1
17	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	NCBI_TAXON	NCBI_TAXON:1350	Enterococcus	1
18	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	GAZ	GAZ:00005285	Kuwait	1
19	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	GAZ	GAZ:00002852	Mexico	1
20	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	NCBI_TAXON	NCBI_TAXON:1257	Peptostreptococcus	1
21	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	NCBI_TAXON	NCBI_TAXON:1280	Staphylococcus aureus	1
22	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	NCBI_TAXON	NCBI_TAXON:1301	Streptococcus	1
23	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	NCBI_TAXON	NCBI_TAXON:1311	Streptococcus agalactiae	2
24	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	NCBI_TAXON	NCBI_TAXON:1314	Streptococcus pyogenes	1
25	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	GAZ	GAZ:00037803	[Former] State of Korea	1
26	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	IDO	IDO:0000581	antibiotic resistance	4
27	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	IDO	IDO:0000558	antimicrobial	2
28	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	SO	SO:0000151	clone	1
29	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	SO	SO:0000704	gene	29
30	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	ENVO	ENVO:00002173	hospital	1
31	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	SO	SO:0001522	insertional	1
32	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	SO	SO:0000234	mRNA	1
33	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	SO	SO:0001147	natural_variant_site	1
34	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	SO	SO:0000155	plasmid	1
35	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	SO	SO:0000112	primer	2
36	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	SO	SO:0000001	region	2
37	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	SO	SO:0005836	regulatory_region	1
38	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	SO	SO:0000318	start_codon	1
39	43314	ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	UBERON	UBERON:0001088	urine	1
40	41423	ARO:3004259	AAC(1)	SO	SO:0000704	gene	1
41	41423	ARO:3004259	AAC(1)	SO	SO:0000180	retrotransposon	1
42	36480	ARO:3000341	AAC(2')	NCBI_TAXON	NCBI_TAXON:583	Proteus	1
43	36480	ARO:3000341	AAC(2')	NCBI_TAXON	NCBI_TAXON:586	Providencia	1
44	36480	ARO:3000341	AAC(2')	SO	SO:0000704	gene	2
45	36480	ARO:3000341	AAC(2')	IDO	IDO:0000531	host	1
46	36480	ARO:3000341	AAC(2')	IDO	IDO:0000528	pathogen	1
47	36480	ARO:3000341	AAC(2')	SO	SO:0000155	plasmid	1
48	42613	ARO:3004628	AAC(2')-IIa	SO	SO:0001606	amino_acid_substitution	1
49	42613	ARO:3004628	AAC(2')-IIa	IDO	IDO:0000581	antibiotic resistance	1
50	42613	ARO:3004628	AAC(2')-IIa	SO	SO:0000704	gene	1
51	42613	ARO:3004628	AAC(2')-IIa	SO	SO:0001026	genome	1
52	42613	ARO:3004628	AAC(2')-IIa	SO	SO:0000772	genomic_island	1
53	42613	ARO:3004628	AAC(2')-IIa	SO	SO:0000155	plasmid	1
54	42613	ARO:3004628	AAC(2')-IIa	SO	SO:0000167	promoter	1
55	42613	ARO:3004628	AAC(2')-IIa	SO	SO:0002203	replication_start_site	1
56	42613	ARO:3004628	AAC(2')-IIa	SO	SO:0001444	serine	1
57	42613	ARO:3004628	AAC(2')-IIa	SO	SO:0001445	threonine	1
58	38923	ARO:3002523	AAC(2')-Ia	GAZ	GAZ:00007944	Ames	1
59	38923	ARO:3002523	AAC(2')-Ia	NCBI_TAXON	NCBI_TAXON:588	Providencia stuartii	3
60	38923	ARO:3002523	AAC(2')-Ia	SO	SO:0000704	gene	1
61	38923	ARO:3002523	AAC(2')-Ia	SO	SO:0000234	mRNA	1
62	38923	ARO:3002523	AAC(2')-Ia	SO	SO:0000104	polypeptide	1
63	38924	ARO:3002524	AAC(2')-Ib	NCBI_TAXON	NCBI_TAXON:470	Acinetobacter baumannii	1
64	38924	ARO:3002524	AAC(2')-Ib	NCBI_TAXON	NCBI_TAXON:28090	Acinetobacter lwoffii	1
65	38924	ARO:3002524	AAC(2')-Ib	NCBI_TAXON	NCBI_TAXON:96345	Flavobacterium psychrophilum	1
66	38924	ARO:3002524	AAC(2')-Ib	NCBI_TAXON	NCBI_TAXON:1763	Mycobacterium	2
67	38924	ARO:3002524	AAC(2')-Ib	NCBI_TAXON	NCBI_TAXON:1766	Mycolicibacterium fortuitum	2
68	38924	ARO:3002524	AAC(2')-Ib	SO	SO:0000236	ORF	1
69	38924	ARO:3002524	AAC(2')-Ib	NCBI_TAXON	NCBI_TAXON:588	Providencia stuartii	1
70	38924	ARO:3002524	AAC(2')-Ib	SO	SO:0000704	gene	3
71	38924	ARO:3002524	AAC(2')-Ib	SO	SO:0000155	plasmid	1
72	38924	ARO:3002524	AAC(2')-Ib	SO	SO:0000104	polypeptide	1
73	38924	ARO:3002524	AAC(2')-Ib	SO	SO:0000051	probe	1
74	38925	ARO:3002525	AAC(2')-Ic	NCBI_TAXON	NCBI_TAXON:1773	Mycobacterium tuberculosis	1
75	38925	ARO:3002525	AAC(2')-Ic	NCBI_TAXON	NCBI_TAXON:1772	Mycolicibacterium smegmatis	1
76	38925	ARO:3002525	AAC(2')-Ic	SO	SO:0000704	gene	1
77	38926	ARO:3002526	AAC(2')-Id	NCBI_TAXON	NCBI_TAXON:1773	Mycobacterium tuberculosis	1
78	38926	ARO:3002526	AAC(2')-Id	NCBI_TAXON	NCBI_TAXON:1772	Mycolicibacterium smegmatis	1
79	38926	ARO:3002526	AAC(2')-Id	SO	SO:0000340	chromosome	1
80	38926	ARO:3002526	AAC(2')-Id	SO	SO:0000704	gene	1
81	38927	ARO:3002527	AAC(2')-Ie	NCBI_TAXON	NCBI_TAXON:1769	Mycobacterium leprae	1
82	38927	ARO:3002527	AAC(2')-Ie	SO	SO:0000704	gene	1
83	38927	ARO:3002527	AAC(2')-Ie	SO	SO:0001026	genome	1
84	36461	ARO:3000322	AAC(3)	SO	SO:0001633	5KB_downstream_variant	1
85	36461	ARO:3000322	AAC(3)	NCBI_TAXON	NCBI_TAXON:470	Acinetobacter baumannii	1
