re_pmid_id	re_id	pmid	sentence_index	pub_year
65908	16788	32290751	3	2022
78480	17390	30529488	1	2021
31898	8097	31628088	4	2021
94419	20363	31628088	4	2021
94420	20363	31628088	12	2021
68701	16858	31698984	5	2021
91096	19757	31916522	5	2021
91097	19757	31916522	8	2021
113332	24754	31916522	5	2021
71317	17039	31994901	0	2021
73801	17228	31994901	0	2021
78494	17390	31994901	0	2021
25118	7094	32093866	1	2021
25119	7094	32093866	6	2021
25300	7113	32093866	0	2021
83954	18742	32101381	6	2021
83743	18620	32191566	5	2021
91131	19757	32191566	5	2021
33631	8591	32208064	9	2021
34946	8676	32208064	5	2021
34947	8676	32208064	9	2021
36369	8863	32208064	9	2021
41655	10561	32208064	9	2021
42574	10626	32208064	5	2021
42575	10626	32208064	9	2021
42669	10644	32208064	4	2021
43248	10744	32208064	9	2021
67493	16799	32364269	0	2021
74207	17229	32364269	0	2021
76993	17346	32364269	0	2021
23432	6894	32386080	2	2021
23433	6894	32386080	5	2021
23636	6915	32386080	2	2021
24016	6932	32386080	1	2021
24017	6932	32386080	2	2021
24018	6932	32386080	5	2021
24286	7010	32386080	5	2021
24876	7048	32386080	5	2021
37238	9050	32386080	2	2021
37359	9060	32386080	2	2021
37407	9071	32386080	2	2021
84521	18979	32386788	6	2021
84546	18985	32386788	6	2021
29095	7598	32429736	0	2021
29588	7631	32429736	0	2021
39218	9796	32429736	6	2021
42133	10598	32429736	6	2021
100199	21968	32429790	2	2021
100434	21981	32429790	2	2021
46662	11632	32433009	0	2021
46717	11657	32433009	2	2021
46937	11694	32433009	0	2021
46958	11698	32433009	0	2021
97086	21139	32433009	0	2021
97102	21147	32433009	2	2021
97145	21160	32433009	0	2021
97151	21162	32433009	0	2021
97677	21249	32433009	0	2021
97693	21256	32433009	2	2021
97730	21267	32433009	0	2021
97737	21269	32433009	0	2021
84522	18979	32456543	10	2021
84568	18986	32456543	10	2021
91165	19757	32456543	9	2021
40830	10202	32456599	9	2021
41298	10339	32456599	9	2021
83714	18610	32498596	6	2021
106828	23626	32498596	6	2021
2668	737	32522093	4	2021
2669	737	32522093	7	2021
3027	755	32522093	4	2021
12540	3292	32522093	2	2021
69950	16887	32522093	1	2021
69951	16887	32522093	8	2021
70365	16939	32522093	1	2021
75952	17303	32522093	2	2021
76438	17319	32522093	1	2021
77226	17360	32522093	8	2021
79320	17422	32522093	1	2021
97468	21219	32522093	4	2021
97628	21232	32522093	4	2021
15047	3984	32544292	4	2021
15064	3996	32544292	4	2021
15066	3997	32544292	4	2021
15067	3998	32544292	4	2021
15068	3999	32544292	4	2021
15098	4011	32544292	4	2021
61001	15908	32580619	7	2021
61090	15928	32580619	7	2021
67503	16799	32589493	0	2021
16845	4692	32589500	7	2021
18480	5013	32589500	7	2021
84744	19052	32589500	7	2021
101592	22419	32589500	7	2021
102974	22617	32589500	7	2021
103809	22753	32589500	7	2021
104432	22963	32589500	7	2021
105808	23215	32589500	7	2021
3831	977	32598213	6	2021
3857	988	32598213	6	2021
3884	991	32598213	6	2021
4244	1187	32598213	8	2021
4443	1227	32598213	8	2021
4566	1238	32598213	8	2021
55392	14644	32598213	3	2021
55677	14674	32598213	3	2021
55720	14699	32598213	3	2021
55934	14723	32598213	3	2021
56241	14829	32598213	3	2021
56478	14863	32598213	3	2021
56554	14898	32598213	3	2021
56797	14928	32598213	3	2021
81800	18124	32598213	6	2021
82076	18170	32598213	6	2021
82264	18179	32598213	6	2021
65277	16787	32604410	0	2021
84240	18876	32605840	1	2021
84312	18907	32605840	6	2021
84331	18910	32605840	12	2021
84332	18910	32605840	14	2021
84333	18910	32605840	16	2021
84379	18921	32605840	5	2021
84409	18937	32605840	5	2021
57351	15171	32609048	11	2021
58005	15253	32609048	11	2021
81823	18127	32609048	11	2021
82077	18170	32609048	11	2021
102917	22578	32609048	10	2021
33236	8487	32654097	6	2021
33244	8492	32654097	4	2021
33253	8497	32654097	6	2021
24608	7028	32663248	6	2021
19941	5539	32667841	7	2021
19968	5552	32667841	0	2021
19969	5552	32667841	1	2021
19970	5552	32667841	3	2021
19971	5552	32667841	6	2021
19972	5552	32667841	9	2021
20031	5568	32667841	0	2021
20100	5588	32667841	1	2021
20106	5592	32667841	11	2021
20143	5594	32667841	6	2021
20156	5599	32667841	1	2021
20158	5600	32667841	2	2021
20160	5602	32667841	0	2021
20176	5610	32667841	7	2021
20221	5622	32667841	0	2021
20222	5622	32667841	1	2021
20223	5622	32667841	3	2021
20224	5622	32667841	6	2021
20225	5622	32667841	9	2021
20322	5636	32667841	0	2021
20448	5657	32667841	1	2021
20461	5663	32667841	11	2021
20567	5666	32667841	6	2021
20609	5670	32667841	1	2021
20616	5671	32667841	2	2021
20636	5676	32667841	0	2021
20818	5761	32667841	1	2021
20832	5769	32667841	1	2021
20841	5773	32667841	1	2021
30445	7639	32686285	7	2021
30456	7640	32686285	7	2021
38099	9318	32686285	7	2021
38101	9319	32686285	7	2021
79733	17468	32716693	2	2021
6049	1777	32721263	5	2021
27187	7439	32721263	2	2021
27188	7439	32721263	4	2021
27189	7439	32721263	6	2021
27769	7537	32721263	2	2021
27770	7537	32721263	5	2021
27771	7537	32721263	6	2021
28179	7579	32721263	4	2021
29108	7598	32721263	3	2021
29273	7600	32721263	4	2021
29274	7600	32721263	6	2021
29475	7624	32721263	2	2021
30353	7637	32721263	4	2021
30621	7653	32721263	6	2021
47595	11929	32721263	5	2021
84764	19058	32721263	5	2021
103002	22631	32721263	5	2021
23665	6920	32729059	0	2021
24023	6932	32729059	0	2021
24613	7030	32729059	3	2021
25028	7063	32729059	2	2021
65930	16788	32741928	0	2021
68851	16874	32741928	0	2021
72130	17087	32741928	0	2021
76996	17346	32741928	0	2021
106358	23466	32748743	7	2021
92838	19932	32762020	2	2021
93130	19997	32762020	3	2021
93264	20002	32762020	6	2021
305	148	32762592	4	2021
5264	1510	32762592	4	2021
5962	1722	32762592	4	2021
57595	15232	32762592	4	2021
84850	19066	32762592	4	2021
103134	22641	32762592	4	2021
105569	23132	32762592	4	2021
25759	7324	32762604	5	2021
62821	16553	32762604	4	2021
62891	16567	32762604	4	2021
84103	18826	32762604	4	2021
84119	18835	32762604	4	2021
84131	18839	32762604	5	2021
65936	16788	32763346	0	2021
76441	17319	32763346	0	2021
65281	16787	32776135	0	2021
69955	16887	32776135	0	2021
78756	17400	32776135	0	2021
79146	17417	32776135	0	2021
104895	23015	32777611	7	2021
37916	9242	32779717	3	2021
95657	20810	32779717	3	2021
3030	755	32780929	3	2021
46942	11694	32780929	3	2021
47517	11899	32780929	11	2021
47518	11899	32780929	13	2021
47580	11920	32780929	13	2021
47585	11923	32780929	7	2021
47586	11923	32780929	11	2021
47587	11923	32780929	13	2021
47593	11928	32780929	11	2021
47594	11928	32780929	13	2021
102377	22492	32781330	5	2021
103415	22678	32781330	5	2021
42601	10626	32794063	8	2021
99932	21926	32794063	5	2021
99999	21928	32794063	5	2021
100050	21934	32794063	5	2021
100061	21942	32794063	5	2021
100062	21943	32794063	5	2021
109485	24388	32799629	2	2021
110655	24514	32799629	2	2021
111593	24550	32799629	2	2021
113039	24727	32799629	2	2021
113433	24758	32799629	2	2021
113546	24775	32799629	5	2021
91192	19757	32804344	4	2021
92374	19830	32804344	2	2021
107757	23819	32805182	2	2021
31492	7937	32808110	6	2021
31522	7945	32808110	7	2021
31659	7985	32808110	7	2021
51369	13251	32814073	5	2021
51370	13251	32814073	6	2021
86784	19633	32816627	1	2021
88238	19652	32816627	1	2021
91193	19757	32816627	1	2021
91194	19757	32816627	2	2021
8127	2443	32818228	6	2021
87888	19635	32819837	0	2021
87889	19635	32819837	1	2021
91195	19757	32819837	1	2021
91518	19775	32819837	0	2021
92203	19825	32819837	4	2021
92996	19959	32819837	1	2021
93265	20002	32819837	1	2021
23556	6912	32829583	1	2021
23557	6912	32829583	2	2021
24028	6932	32829583	0	2021
24029	6932	32829583	1	2021
24030	6932	32829583	5	2021
24262	7002	32829583	1	2021
24263	7002	32829583	2	2021
24461	7020	32829583	5	2021
24462	7020	32829583	7	2021
24463	7020	32829583	8	2021
24493	7022	32829583	2	2021
24885	7048	32829583	1	2021
24886	7048	32829583	2	2021
24995	7056	32829583	0	2021
24996	7056	32829583	2	2021
25050	7067	32829583	7	2021
105147	23047	32839909	7	2021
108005	23902	32839909	7	2021
84984	19078	32871373	3	2021
83622	18546	32881179	8	2021
104896	23015	32881179	4	2021
104948	23029	32881179	5	2021
2285	673	32888276	1	2021
2314	688	32888276	1	2021
2481	732	32888276	1	2021
46685	11640	32888276	1	2021
46694	11646	32888276	1	2021
46758	11680	32888276	1	2021
60450	15730	32888276	7	2021
60662	15784	32888276	7	2021
11448	3165	32888833	11	2021
11728	3178	32888833	11	2021
12547	3292	32888833	7	2021
68709	16860	32888833	0	2021
76765	17323	32888833	0	2021
42841	10699	32895756	5	2021
58008	15253	32898454	2	2021
58140	15255	32898454	2	2021
73153	17160	32898454	3	2021
112376	24614	32909085	2	2021
113715	24806	32909085	2	2021
1316	493	32912589	5	2021
20694	5703	32912589	5	2021
47601	11934	32912589	5	2021
47608	11938	32912589	6	2021
103135	22641	32912589	5	2021
104604	22989	32912589	5	2021
33595	8573	32915684	0	2021
33825	8607	32915684	0	2021
36128	8840	32915684	0	2021
36881	8891	32915684	0	2021
102653	22525	32916483	3	2021
103337	22659	32916483	5	2021
103635	22706	32916483	3	2021
103636	22706	32916483	5	2021
106214	23392	32916483	5	2021
106247	23410	32916483	3	2021
106248	23410	32916483	5	2021
107412	23725	32916483	3	2021
26098	7404	32920402	9	2021
88591	19693	32921626	8	2021
91205	19757	32921626	8	2021
99055	21642	32925545	2	2021
26036	7396	32928079	0	2021
27216	7439	32928079	1	2021
27217	7439	32928079	7	2021
27481	7460	32928079	1	2021
27482	7460	32928079	7	2021
29135	7598	32928079	0	2021
29136	7598	32928079	7	2021
30376	7637	32928079	0	2021
30377	7637	32928079	1	2021
30630	7653	32928079	9	2021
26254	7412	32931380	1	2021
26472	7434	32931380	1	2021
26473	7434	32931380	7	2021
27219	7439	32931380	2	2021
27220	7439	32931380	4	2021
27221	7439	32931380	6	2021
27483	7460	32931380	2	2021
27484	7460	32931380	6	2021
27585	7508	32931380	4	2021
28350	7592	32931380	1	2021
29137	7598	32931380	2	2021
29138	7598	32931380	5	2021
30378	7637	32931380	0	2021
30379	7637	32931380	5	2021
30631	7653	32931380	4	2021
27222	7439	32955987	0	2021
27315	7450	32955987	0	2021
28026	7557	32955987	0	2021
29139	7598	32955987	0	2021
29140	7598	32955987	5	2021
29141	7598	32955987	6	2021
30501	7643	32955987	0	2021
30502	7643	32955987	6	2021
58471	15268	32966644	7	2021
58666	15290	32966644	7	2021
59729	15532	32966644	7	2021
59734	15534	32966644	7	2021
82265	18179	32966644	7	2021
82320	18188	32966644	7	2021
83467	18505	32966644	7	2021
83480	18510	32966644	7	2021
83593	18538	32966644	7	2021
83613	18542	32966644	7	2021
23008	6713	32980808	4	2021
23010	6715	32980808	4	2021
23021	6720	32980808	2	2021
57130	15071	32980808	4	2021
57131	15072	32980808	4	2021
80385	17662	32980808	3	2021
80390	17666	32980808	3	2021
80400	17667	32980808	3	2021
23353	6885	32991248	14	2021
24032	6932	32991248	12	2021
24033	6932	32991248	14	2021
24578	7026	32991248	14	2021
24997	7056	32991248	12	2021
41656	10561	32991248	14	2021
42605	10626	32991248	12	2021
42606	10626	32991248	14	2021
43192	10732	32991248	14	2021
43466	10762	32991248	12	2021
40134	10067	32991256	15	2021
40428	10165	32991256	15	2021
40691	10181	32991256	15	2021
45429	11287	32991256	12	2021
87896	19635	32991274	0	2021
91213	19757	32991274	0	2021
92998	19959	32991274	0	2021
93266	20002	32991274	0	2021
27282	7443	33001761	1	2021
29160	7598	33001761	3	2021
29161	7598	33001761	4	2021
29279	7600	33001761	3	2021
30387	7637	33001761	1	2021
30388	7637	33001761	3	2021
30389	7637	33001761	4	2021
30508	7643	33001761	1	2021
88376	19691	33006801	6	2021
92068	19816	33006801	6	2021
26256	7412	33012114	4	2021
27245	7439	33012114	4	2021
27246	7439	33012114	7	2021
28158	7573	33012114	6	2021
29163	7598	33012114	1	2021
29164	7598	33012114	8	2021
29280	7600	33012114	6	2021
29387	7609	33012114	1	2021
30393	7637	33012114	4	2021
30394	7637	33012114	6	2021
30395	7637	33012114	8	2021
30634	7653	33012114	6	2021
30635	7653	33012114	7	2021
3174	812	33025020	9	2021
3287	820	33025020	9	2021
3428	830	33025020	9	2021
3460	834	33025020	9	2021
43411	10750	33025020	7	2021
56019	14727	33025020	7	2021
57543	15231	33025020	9	2021
58010	15253	33025020	9	2021
58473	15268	33025020	9	2021
58586	15278	33025020	9	2021
79974	17539	33025020	9	2021
79988	17543	33025020	9	2021
80007	17547	33025020	9	2021
80012	17549	33025020	9	2021
83643	18561	33025020	9	2021
83649	18562	33025020	9	2021
83653	18563	33025020	9	2021
83655	18564	33025020	9	2021
101733	22448	33025020	9	2021
102132	22473	33025020	9	2021
102356	22488	33025020	9	2021
102554	22504	33025020	9	2021
109486	24388	33054879	0	2021
110537	24506	33054879	3	2021
110538	24506	33054879	6	2021
110656	24514	33054879	7	2021
110687	24519	33054879	3	2021
111730	24555	33054879	0	2021
111731	24555	33054879	7	2021
86785	19633	33057728	8	2021
86786	19633	33057728	9	2021
91221	19757	33057728	8	2021
91222	19757	33057728	9	2021
92898	19957	33057728	8	2021
110393	24475	33057728	8	2021
112934	24696	33057728	8	2021
114009	24898	33057728	8	2021
