Accession	Name	Description
0000001	detection model or meta-model	The Comprehensive Antibiotic Resistance Database uses bioinformatic models for the detection of molecular determinants. For example, a Protein Homolog Model (PHM) can contain sequences of antimicrobial resistance genes that do not include mutation as a determinant of resistance, whereas a Protein Variant Model (PVM) will contain reference wild-type sequences used for mapping mutations conferring antimicrobial resistance. The Comprehensive Antibiotic Resistance Database additionally uses meta-models for the detection of combinations of individual molecular determinants. For example, efflux pump systems consist of multiple subunits and regulators that are detected together using the the Efflux Pump System Meta-Model (EPS). In CARD, detection models are applied to the detection of antimicrobial resistance elements, but they are broadly applicable to other systems as well, with modifications.
0000002	protein variant model	Protein Variant Models (PVM) perform a similar search as Protein Homolog Models (PHM), i.e. detect protein sequences based on their similarity to a curated reference sequence, but secondarily screen query sequences for curated sets of mutations to differentiate them from antibiotic susceptible wild-type alleles. PVMs are designed to detect AMR acquired via mutation of house-keeping genes or antibiotic targets, e.g. a mutated gyrase resistant to aminocoumarin antibiotics. PVMs include a protein reference sequence (often from antibiotic susceptible wild-type alleles), a curated bit-score cut-off, and mapped resistance variants. Mapped resistance variants may include any or all of single point mutations, insertions, or deletions curated from the scientific literature. A Strict RGI match has a BLASTP bit-score above the curated BLASTP cutoff value and contains at least one curated mutation from amongst the mapped resistance variants, while a Loose RGI match has a bit-score less than the curated BLASTP bit-score cut-off but still contains at least one curated mutation from amongst the mapped resistance variants.
0000004	single resistance variant	A sequence change where, compared to a reference sequence, one amino acid is replaced by one other amino acid that is associated with elevated resistance to antibiotic(s) relative to wild type. Format is given as [wild-type][position][mutation], e.g. R184Q or R447Var where Var represents any possible substitution.
0000006	rRNA gene variant model	Ribosomal RNA (rRNA) Gene Variant Models (RVM) are similar to Protein Variant Models (PVM), i.e. detect  sequences based on their similarity to a curated reference sequence and secondarily screen query sequences for curated sets of mutations to differentiate them from antibiotic susceptible wild-type alleles, except RVMs are designed to detect AMR acquired via mutation of genes encoding ribosomal RNAs (rRNA). RVMs include a rRNA reference sequence (often from antibiotic susceptible wild-type alleles), a curated bit-score cut-off, and mapped resistance variants. Mapped resistance variants may include any or all of single point mutations, insertions, or deletions curated from the scientific literature. A Strict RGI match has a BLASTN bit-score above the curated BLASTN cutoff value and contains at least one curated mutation from amongst the mapped resistance variants, while a Loose RGI match has a bit-score less than the curated BLASTN bit-score cut-off but still contains at least one curated mutation from amongst the mapped resistance variants.
0000007	gene order	Spatial clusters of genes are encoded using the gene order parameter: [gene type]:[cvterm_id],[gene type]:[cvterm_id], etc. The gene type designations are: R = regulatory, C = core, A = accessory.
0000008	gene cluster meta-model	Gene Cluster Meta-Models (GCM) are used to curate spatial clusters of individual genes within operons, such as for glycopeptide resistance gene clusters. The individual genes will have their own individual detection models (e.g. PHM, PVM, POM, etc.) while the GCM checks to see if all the component genes of the cluster have a Strict or Perfect hit and are ordered correctly within an operon. GCMs are encoded using the gene order parameter. This model type is still under development and not currently supported by the Resistance Gene Identifier (RGI) software.
0000009	protein homolog model	Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.
0000010	protein domain meta-model	Protein Domain Meta-Models (PDMs) are dedicated to AMR fusion proteins, e.g. AAC(3)-Ib/AAC(6')-Ib''. The individual domains will have their own individual detection models (e.g. PHM, PVM, POM, etc.) while the PDM checks to see if all the component domiains of the fusion protein have a Strict or Perfect hit and are ordered correctly within the gene. This model type is still under development and not currently supported by the Resistance Gene Identifier (RGI) software.
0000011	domain order	Spatial order of domains within a protein are encoded using the domain order parameter: [5' -> 3' position]:[cvterm_id],[5' -> 3' position]:[cvterm_id], etc.
0000014	multiple resistance variants	A set of nucleotide or amino acid substitutions that are all required to confer resistance to an antibiotic drug or drug class, encoded as: [wild-type 1][position 1][mutation 1],[wild-type 2][position 2][mutation 2], etc. For example, D63Y,T142K.
0000020	protein knockout model	Protein Knockout Models (PKM) reflect resistance by the absence of a gene product, most often deletion of a gene involved in antibiotic import, such as Vibrio cholerae OmpT. Like Protein Homolog Models (PHMs), PKMs include a reference sequence and a bitscore cut-off for detection using BLASTP but instead are designed to only report lack of detection under Perfect or Strict criteria. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff. This model type is still under development and not currently supported by the Resistance Gene Identifier (RGI) software.
0000022	nonsense mutation	A sequence change where, compared to a reference sequence, one codon is replaced by a termination codon through a nucleotide substitution. These are described as a substitution of the wildtype codon to a termination codon. Format is given as [wild type AA][position][Ter], for example Q42Ter where Q42 is a wildtype amino acid replaced by a premature termination codon.
0000023	co-dependent single resistance variant	A set of nucleotide or amino acid substitutions in different genes that are all required to confer resistance to an antibiotic drug or drug class, encoded as: [cvterm_id gene 1],[SNP 1],[SNP 2],etc+[cvterm_id gene 2],[SNP 1],[SNP 2],etc. For example: 39879,A90V,M94V+40052,D472H. A nucleotide substitution resulting in a change from an amino acid codon to a stop codon is encoded as [wild type amino acid][position][Ter], for example Q42Ter.
0000024	frameshift mutation	A frameshift is a sequence change between the translation initiation (start) and termination (stop) codon where, compared to a reference sequence, translation shifts to another reading frame as caused by nucleotide insertions and deletions. In ARO, these are annotated at the protein level with the first changed most N-terminal wildtype amino acid position. Format is given as [wildtype AA][position]fs, e.g. S531fs where S531 is a frameshifted coordinate beginning with codon 531. Termination may also be denoted as: Ter[position]fs.
0000025	co-dependent nonsense SNV	A set of nonsense mutations in different genes that are all required to confer resistance to an antibiotic drug or drug class, encoded as: [cvterm_id gene 1],[wild-type][position][Ter]+[cvterm_id gene 2],[wild-type][position][Ter], etc. For example: 45615,Q11Ter+45620,Q5Ter.
0000026	co-dependent insertion/deletion	A set of nucleotide or amino acid insertion or deletions in different genes that are all required to confer resistance to an antibiotic drug or drug class, encoded as: [cvterm_id gene 1],[gene 1 mutation]+[cvterm_id gene 2],[gene 2 mutation], etc. For example: 40407,N134fs+40413,A156fs.
0000029	BLASTP bit-score	The BLASTP bit-score is a numerical value that describes the overall quality of an alignment. Higher numbers correspond to higher similarity. The bit-score (S) is determined by the following formula: S = (λ × S − lnK)/ ln2 where λ is the Gumble distribution constant, S is the raw alignment score, and K is a constant associated with the scoring matrix. This parameter is used by AMR detection models that use a protein reference sequence, e.g. the protein homolog model. The BLASTP bit-score parameter is a curated value determined from BLASTP analysis of the canonical reference sequence of a specific AMR-associated protein against the database of CARD reference sequence. This value establishes a threshold for computational prediction of RGI Strict match (above bit-score cut-off) or Loose match (below bit-score cut-off).
0000032	protein overexpression model	Protein Overexpression Models (POM) are similar to Protein Variant Models (PVM) in that they include a protein reference sequence, a curated BLASTP bitscore cut-off, and mapped resistance variants. Whereas PVMs are designed to detect AMR acquired via mutation of house-keeping genes or antibiotic targets, reporting only those with curated mutations conferring AMR, POMs are restricted to regulatory proteins and report both wild-type sequences and/or sequences with mutations leading to overexpression of efflux complexes. The former lead to efflux of antibiotics at basal levels, while the latter can confer clinical resistance. POMs include a protein reference sequence (often from wild-type alleles), a curated bit-score cut-off, and mapped resistance variants. Mapped resistance variants may include any or all of single point mutations, insertions, or deletions curated from the scientific literature. A Perfect RGI match is 100% identical to the wild-type reference protein sequence along its entire length, a Strict RGI match has a BLASTP bit-score above the curated BLASTP cutoff value may or may not contain at least one curated mutation from amongst the mapped resistance variants, while a Loose RGI match has a bit-score less than the curated BLASTP bit-score cut-off may or may not contain at least one curated mutation from amongst the mapped resistance variants.
0000033	BLASTN bit-score	The BLASTN bit-score is a numerical value that describes the overall quality of an alignment. Higher numbers correspond to higher similarity. The bit-score (S) is determined by the following formula: S = (λ × S − lnK)/ ln2 where λ is the Gumble distribution constant, S is the raw alignment score, and K is a constant associated with the scoring matrix. This parameter is used by AMR detection models that use a nucleotide reference sequence, e.g. the rRNA gene variant model. The BLASTN bit-score parameter is a curated value determined from BLASTN analysis of the canonical nucleotide reference sequence of a specific AMR-associated gene against the database of CARD reference sequences. This value establishes a threshold for computational prediction of RGI Strict match (above bit-score cut-off) or Loose match (below bit-score cut-off).
0000034	efflux pump system meta-model	Efflux Pump System Meta-Models (EPS) are dedicated to efflux complexes and their regulators, such as AcrAB-TolC. Using the efflux pump components parameter, this model type simply includes a list of detection models for each component of the complex. This model type is still under development and not currently supported by the Resistance Gene Identifier (RGI) software.
0000035	efflux pump components	Association of proteins within efflux protein complexes or regulatory networks are encoded by the efflux pump components parameter: model_id,model_id,model_id, etc.
0000036	detection model or parameter	The Comprehensive Antibiotic Resistance Database uses bioinformatic meta-models, models, and model parameters for prediction of antimicrobial resistance determinants (plus other genotypes and phenotypes) from genomic data. Models and their parameters predict individual determinants, with a focus on genotype, while meta-models incorporate gene regulation, protein complexes, operon organization, and other information to predict both genotype and phenotype.
0000038	detection parameter	Within CARD, parameters are used within bioinformatic detection models or meta-models. Collectively, parameters describe numerical or other measurable factors that define models, providing the framework for development of analytical tools. For example, many detection models rely on a curated bit-score cut-off value to differentiate between functional homologs of known sequences and more divergent homologs with different function, with others utilize list of mutations shown to confer antimicrobial resistance in the scientific literature.
0000039	nucleotide substitution in promoter region	A nucleotide sequence change where, compared to a reference sequence, one nucleotide is replaced by one other nucleotide in the promoter region of a gene. These substitutions are indicated as upstream of the reference sequence transcription initiation site. Format is given by [-][position][wildtype][>][mutation], e.g. -11t>c or -15g>Var where Var represents any possible substitution.
0000040	insertion mutation	A detection model parameter to describe a set of mapped insertion mutations. A insertion mutation refers to the addition of one or more nucleotides to a DNA strand. In publications, insertion mutations may be reported in nucleotide or in peptide format. Insertion mutations not of a multiple of 3 cause frameshifts in the nucleotide open reading frame. However, the insertion mutation parameter only refers to insertions which modify the peptide sequence and/or change its function, but do not result in premature termination or functional protein knockout.
