Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,0F525Q1V,4D4LKLYR,A4O0PUJ2,AWGWLE2V,UE20R4AD
ilvH,ilvH,acetolactate synthase small subunit,5,5,1.0,24,6,,,,492,492,492.0,INHMNHHN_06226,FNCGEDBI_03840,PDFLHPBO_06257,DBBBBKPJ_06233,GCDEOBMB_06398
group_4833,,sulfite oxidase subunit YedY,5,5,1.0,24,5,,,,1014,1014,1014.0,INHMNHHN_06229,FNCGEDBI_03843,PDFLHPBO_06260,DBBBBKPJ_06230,GCDEOBMB_06395
ilvI_2,ilvI_2,acetolactate synthase 3 catalytic subunit,5,5,1.0,24,4,,,,1725,1725,1725.0,INHMNHHN_06225,FNCGEDBI_03839,PDFLHPBO_06256,DBBBBKPJ_06234,GCDEOBMB_06399
ilvC,ilvC,ketol-acid reductoisomerase,5,5,1.0,24,3,,,,1017,1017,1017.0,INHMNHHN_06227,FNCGEDBI_03841,PDFLHPBO_06258,DBBBBKPJ_06232,GCDEOBMB_06397
group_4832,,sulfite oxidase subunit YedZ,5,5,1.0,24,2,,,,609,609,609.0,INHMNHHN_06230,FNCGEDBI_03844,PDFLHPBO_06261,DBBBBKPJ_06229,GCDEOBMB_06394
pssA,pssA,phosphatidylserine synthase,5,5,1.0,24,1,,,,816,816,816.0,INHMNHHN_06228,FNCGEDBI_03842,PDFLHPBO_06259,DBBBBKPJ_06231,GCDEOBMB_06396
tusE,tusE,Sulfurtransferase TusE,5,5,1.0,22,15,,,,336,336,336.0,INHMNHHN_06256,FNCGEDBI_06399,PDFLHPBO_06155,DBBBBKPJ_01269,GCDEOBMB_05874
trpD_2,trpD_2,anthranilate phosphoribosyltransferase,5,5,1.0,22,14,,,,984,984,984.0,INHMNHHN_06255,FNCGEDBI_06398,PDFLHPBO_06156,DBBBBKPJ_01268,GCDEOBMB_05875
clpA,clpA,ATP-binding protease component ClpA,5,5,1.0,22,13,,,,2277,2277,2277.0,0_refound_1,FNCGEDBI_04494,PDFLHPBO_06167,DBBBBKPJ_06280,GCDEOBMB_06185
group_4830,,ATP-dependent Clp protease adapter protein Clp,5,5,1.0,22,12,,,,369,369,369.0,INHMNHHN_06223,FNCGEDBI_04495,PDFLHPBO_06168,DBBBBKPJ_06281,GCDEOBMB_06184
cysG,cysG,siroheme synthase,5,5,1.0,22,11,,,,1398,1398,1398.0,INHMNHHN_06090,FNCGEDBI_06396,PDFLHPBO_06158,DBBBBKPJ_01266,GCDEOBMB_05877
ftsK,ftsK,DNA translocase FtsK,5,5,1.0,22,10,,,,2415,2415,2415.0,INHMNHHN_06094,FNCGEDBI_06392,PDFLHPBO_06162,DBBBBKPJ_01262,GCDEOBMB_05881
tusC~~~tusB,;tusC;tusB,sulfur relay protein TusC;Protein TusC;Protein TusB,5,6,1.2,22,9,,,,306,654,373.0,INHMNHHN_06257,FNCGEDBI_06400,PDFLHPBO_06154;PDFLHPBO_06153,DBBBBKPJ_01270,GCDEOBMB_05873
lolA,lolA,outer-membrane lipoprotein carrier protein,5,5,1.0,22,8,,,,627,627,627.0,INHMNHHN_06093,FNCGEDBI_06393,PDFLHPBO_06161,DBBBBKPJ_01263,GCDEOBMB_05880
aat_1~~~aat_2~~~aat,aat_1;aat_2;aat,leucyl/phenylalanyl-tRNA--protein transferase,5,6,1.2,22,7,,,,336,681,575.5,INHMNHHN_06096,FNCGEDBI_04491,PDFLHPBO_06164,DBBBBKPJ_06277;DBBBBKPJ_06276,GCDEOBMB_06188
