locus_tag	ftype	length_bp	gene	EC_number	COG	product
INHMNHHN_00001	CDS	756	modA			molybdenum ABC transporter substrate-binding protein ModA
INHMNHHN_00002	CDS	687	modB			molybdenum ABC transporter permease ModB
INHMNHHN_00003	CDS	1086	modC			molybdenum ABC transporter ATP-binding protein ModC
INHMNHHN_00004	CDS	828				hypothetical protein
INHMNHHN_00005	CDS	888				transcriptional regulator
INHMNHHN_00006	CDS	828	str			streptomycin 3''-phosphotransferase
INHMNHHN_00007	CDS	108				hypothetical protein
INHMNHHN_00008	CDS	924	yedI		COG2354	Inner membrane protein YedI
INHMNHHN_00009	CDS	1443				cbb3-type cytochrome C oxidase subunit I
INHMNHHN_00010	CDS	222				hypothetical protein
INHMNHHN_00011	CDS	1158				hypothetical protein
INHMNHHN_00012	CDS	864				transcriptional regulator
INHMNHHN_00013	CDS	276				hypothetical protein
INHMNHHN_00014	CDS	1206				hypothetical protein
INHMNHHN_00015	CDS	1005				transcriptional regulator
INHMNHHN_00016	CDS	243				hypothetical protein
INHMNHHN_00017	CDS	1170				major facilitator superfamily transporter
INHMNHHN_00018	CDS	585				Fe/S biogenesis protein NfuA
INHMNHHN_00019	CDS	2289	cti			cis/trans isomerase
INHMNHHN_00020	CDS	519				hypothetical protein
INHMNHHN_00021	CDS	465				hypothetical protein
INHMNHHN_00022	CDS	3705	metH	2.1.1.13		B12-dependent methionine synthase
INHMNHHN_00023	CDS	363			COG3171	putative protein
INHMNHHN_00024	CDS	486	proX		COG3760	Prolyl-tRNA editing protein ProX
INHMNHHN_00025	CDS	303				hypothetical protein
INHMNHHN_00026	CDS	1041				RNA methyltransferase
INHMNHHN_00027	CDS	228				hypothetical protein
INHMNHHN_00028	CDS	117				hypothetical protein
INHMNHHN_00029	CDS	1659	cysI			sulfite reductase
INHMNHHN_00030	CDS	498				hypothetical protein
INHMNHHN_00031	CDS	582				transcriptional regulator
INHMNHHN_00032	CDS	438				hypothetical protein
INHMNHHN_00033	CDS	876				alpha/beta hydrolase
INHMNHHN_00034	CDS	993				oxidoreductase
INHMNHHN_00035	CDS	1026				protease
INHMNHHN_00036	CDS	711				hypothetical protein
INHMNHHN_00037	CDS	315				hypothetical protein
INHMNHHN_00038	CDS	1071				hypothetical protein
INHMNHHN_00039	CDS	768				short-chain dehydrogenase
INHMNHHN_00040	CDS	762				short-chain dehydrogenase
INHMNHHN_00041	CDS	906				transcriptional regulator
INHMNHHN_00042	CDS	645				hypothetical protein
INHMNHHN_00043	CDS	780	yfcA		COG0730	putative membrane transporter protein YfcA
INHMNHHN_00044	CDS	837				NADH pyrophosphatase
INHMNHHN_00045	CDS	1689	chpA_1			chemotactic signal transduction system protein
INHMNHHN_00046	CDS	813		4.2.1.17		enoyl-CoA hydratase
INHMNHHN_00047	CDS	1503	nhaB			Na(+)/H(+) antiporter NhaB
INHMNHHN_00048	CDS	1356				amino acid permease
INHMNHHN_00049	CDS	2256	ldcA			lysine-specific pyridoxal 5'-phosphate-dependent carboxylase LdcA
INHMNHHN_00050	CDS	390				hypothetical protein
INHMNHHN_00051	CDS	741	dnaQ			DNA polymerase III subunit epsilon
INHMNHHN_00052	CDS	447	rnhA	3.1.26.4		ribonuclease HI
INHMNHHN_00053	CDS	762				hypothetical protein
INHMNHHN_00054	CDS	777		3.1.2.6		hydroxyacylglutathione hydrolase
INHMNHHN_00055	CDS	1605	mltD			membrane-bound lytic murein transglycosylase D
INHMNHHN_00056	CDS	1830				solute-binding protein
INHMNHHN_00057	CDS	1848				ABC transporter
INHMNHHN_00058	CDS	1083				ABC transporter permease
INHMNHHN_00059	CDS	1020				ABC transporter permease
INHMNHHN_00060	CDS	1611				ABC transporter ATP-binding protein
INHMNHHN_00061	CDS	798	fabI			NADH-dependent enoyl-ACP reductase
INHMNHHN_00062	CDS	1866	ppiD			peptidyl-prolyl cis-trans isomerase D
INHMNHHN_00063	tRNA	77				tRNA-Asp(gtc)
INHMNHHN_00064	CDS	273	hupB			DNA-binding protein HU
INHMNHHN_00065	CDS	2397	lon_1			Lon protease
INHMNHHN_00066	CDS	1281	clpX			ATP-dependent protease ATP-binding subunit ClpX
INHMNHHN_00067	CDS	642	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
INHMNHHN_00068	CDS	1311	tig	5.2.1.8		trigger factor
INHMNHHN_00069	CDS	708	parR			two-component response regulator ParR
INHMNHHN_00070	CDS	1287	parS			two-component sensor ParS
INHMNHHN_00071	CDS	1851	dap	3.4.11.19		D-aminopeptidase
INHMNHHN_00072	CDS	117				hypothetical protein
INHMNHHN_00073	CDS	222				hypothetical protein
INHMNHHN_00074	tRNA	76				tRNA-His(gtg)
INHMNHHN_00075	tRNA	85				tRNA-Leu(tag)
INHMNHHN_00076	tRNA	76				tRNA-His(gtg)
INHMNHHN_00077	tRNA	77				tRNA-Arg(tct)
INHMNHHN_00078	CDS	855	folD	1.5.1.5		bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase
INHMNHHN_00079	CDS	1383	cysS	6.1.1.16		cysteine--tRNA ligase
INHMNHHN_00080	CDS	1671	glnS	6.1.1.18		glutamine--tRNA ligase
INHMNHHN_00081	CDS	498	ppiB			peptidyl-prolyl cis-trans isomerase B
INHMNHHN_00082	CDS	723		3.6.1.-		UDP-2,3-diacylglucosamine hydrolase
INHMNHHN_00083	CDS	1446				hypothetical protein
INHMNHHN_00084	CDS	612				hypothetical protein
INHMNHHN_00085	CDS	864	uspE_1		COG0589	Universal stress protein E
INHMNHHN_00086	CDS	468				hypothetical protein
INHMNHHN_00087	CDS	2610	acnB	4.2.1.3		aconitate hydratase B
INHMNHHN_00088	CDS	1209	nrtA			Nitrate/nitrite binding protein NrtA
INHMNHHN_00089	CDS	579	pdtaR		COG3707	putative transcriptional regulatory protein pdtaR
INHMNHHN_00090	CDS	696	alyA_1	4.2.2.3		Alginate lyase
INHMNHHN_00091	CDS	1212	nasA			nitrate transporter
INHMNHHN_00092	CDS	1668				serine/threonine-protein kinase
INHMNHHN_00093	CDS	2451	nirB			assimilatory nitrite reductase large subunit
INHMNHHN_00094	CDS	327	nirD			assimilatory nitrite reductase small subunit
INHMNHHN_00095	tRNA	99				tRNA-Cys(gca)
INHMNHHN_00096	CDS	738	cobA	2.1.1.107		uroporphyrin-III C-methyltransferase
INHMNHHN_00097	CDS	1053	oprF			outer membrane porin F
INHMNHHN_00098	CDS	498	sigX			RNA polymerase sigma factor SigX
INHMNHHN_00099	CDS	825				hypothetical protein
INHMNHHN_00100	CDS	249				hypothetical protein
INHMNHHN_00101	CDS	999	cmaX_1			transporter
INHMNHHN_00102	CDS	489				ribonuclease activity regulator protein RraA
INHMNHHN_00103	CDS	1011	estX			hydrolase
INHMNHHN_00104	CDS	2376	ppsA	2.7.9.2		phosphoenolpyruvate synthase
INHMNHHN_00105	CDS	819				phosphoenolpyruvate synthase regulatory protein
INHMNHHN_00106	CDS	540				hypothetical protein
INHMNHHN_00107	CDS	1527				hypothetical protein
INHMNHHN_00108	CDS	984				hypothetical protein
INHMNHHN_00109	CDS	1191				hypothetical protein
INHMNHHN_00110	CDS	1599				hypothetical protein
INHMNHHN_00111	CDS	1026				hypothetical protein
INHMNHHN_00112	CDS	762				hypothetical protein
INHMNHHN_00113	CDS	438				hypothetical protein
INHMNHHN_00114	CDS	2724				transcriptional regulator
INHMNHHN_00115	CDS	2571				transcriptional regulator
INHMNHHN_00116	CDS	1362	pabB			para-aminobenzoate synthase component I
INHMNHHN_00117	CDS	618	thrH			phosphoserine phosphatase
INHMNHHN_00118	CDS	735	cysH	1.8.4.8		phosphoadenosine phosphosulfate reductase
INHMNHHN_00119	CDS	348				hypothetical protein
INHMNHHN_00120	CDS	975	cysB			transcriptional regulator CysB
INHMNHHN_00121	CDS	498				hypothetical protein
INHMNHHN_00122	CDS	948		1.1.1.169		2-dehydropantoate 2-reductase
INHMNHHN_00123	CDS	381				hypothetical protein
INHMNHHN_00124	CDS	1077		2.5.1.54		phospho-2-dehydro-3-deoxyheptonate aldolase
INHMNHHN_00125	CDS	285				hypothetical protein
INHMNHHN_00126	CDS	690		4.2.1.17		enoyl-CoA hydratase
INHMNHHN_00127	CDS	189				hypothetical protein
INHMNHHN_00128	CDS	507				hypothetical protein
INHMNHHN_00129	CDS	489				hypothetical protein
INHMNHHN_00130	CDS	219				hypothetical protein
INHMNHHN_00131	CDS	240				hypothetical protein
INHMNHHN_00132	CDS	723				amidotransferase
INHMNHHN_00133	CDS	372				hypothetical protein
INHMNHHN_00134	CDS	999				hypothetical protein
INHMNHHN_00135	CDS	972				oxidoreductase
INHMNHHN_00136	CDS	915				transcriptional regulator
INHMNHHN_00137	CDS	2145				3-hydroxyacyl-CoA dehydrogenase
INHMNHHN_00138	CDS	1206		2.3.1.9		acetyl-CoA acetyltransferase
INHMNHHN_00139	CDS	102				hypothetical protein
INHMNHHN_00140	CDS	888				hypothetical protein
INHMNHHN_00141	CDS	822				hypothetical protein
INHMNHHN_00142	CDS	732				hypothetical protein
INHMNHHN_00143	CDS	801			COG1305	putative protein
INHMNHHN_00144	CDS	954				hypothetical protein
INHMNHHN_00145	CDS	1413			COG2308	putative protein
INHMNHHN_00146	CDS	699				hypothetical protein
INHMNHHN_00147	CDS	342				hypothetical protein
INHMNHHN_00148	CDS	2058	mucR			signaling protein
INHMNHHN_00149	CDS	2295	bglX			beta-glucosidase
INHMNHHN_00150	CDS	645	pscL			type III secretion system protein
INHMNHHN_00151	CDS	621	pscK			type III export protein PscK
INHMNHHN_00152	CDS	735	pscJ			type III export protein PscJ
INHMNHHN_00153	CDS	339	pscI			type III export protein PscI
INHMNHHN_00154	CDS	432	pscH			type III export protein PscH
INHMNHHN_00155	CDS	348	pscG			type III export protein PscG
INHMNHHN_00156	CDS	258	pscF			type III export protein PscF
INHMNHHN_00157	CDS	204	pscE			type III export protein PscE
INHMNHHN_00158	CDS	1299	pscD			type III export protein PscD
INHMNHHN_00159	CDS	1803	pscC			type III secretion outer membrane protein PscC
INHMNHHN_00160	CDS	423	pscB			type III export apparatus protein
INHMNHHN_00161	CDS	831				hypothetical protein
INHMNHHN_00162	CDS	897	exsA			exoenzyme S transcriptional regulator ExsA
INHMNHHN_00163	CDS	414	exsB			exoenzyme S synthesis protein ExsB
INHMNHHN_00164	CDS	246				hypothetical protein
INHMNHHN_00165	CDS	438	exsC			exoenzyme S synthesis protein ExsC
INHMNHHN_00166	CDS	888	popD			translocator outer membrane protein PopD
INHMNHHN_00167	CDS	1173	popB			translocator protein PopB
INHMNHHN_00168	CDS	507	pcrH			regulatory protein PcrH
INHMNHHN_00169	CDS	885	pcrV			type III secretion protein PcrV
INHMNHHN_00170	CDS	297	pcrG			type III secretion regulator
INHMNHHN_00171	CDS	435	pcrR			transcriptional regulator PcrR
INHMNHHN_00172	CDS	2121	pcrD			type III secretory apparatus protein PcrD
INHMNHHN_00173	CDS	330	yscY			Chaperone protein YscY
INHMNHHN_00174	CDS	366	yscX			Yop proteins translocation protein X
INHMNHHN_00175	CDS	372	sycN			Chaperone protein SycN
INHMNHHN_00176	CDS	279	tyeA			Protein TyeA
INHMNHHN_00177	CDS	867	popN			type III secretion outer membrane protein PopN
INHMNHHN_00178	CDS	1290				type III secretion system ATPase
INHMNHHN_00179	CDS	477	pscO			translocation protein in type III secretion
INHMNHHN_00180	CDS	399	pscP			translocation protein in type III secretion
INHMNHHN_00181	CDS	930	pscQ			type III secretion system protein
INHMNHHN_00182	CDS	654	pscR			type III secretion system protein
INHMNHHN_00183	CDS	267				translocation protein in type III secretion
INHMNHHN_00184	CDS	789	pscT			translocation protein in type III secretion
INHMNHHN_00185	CDS	1050	pscU			translocation protein in type III secretion
INHMNHHN_00186	CDS	2103	mdoB_1	2.7.8.20		Phosphoglycerol transferase I
INHMNHHN_00187	CDS	870				hypothetical protein
INHMNHHN_00188	CDS	861	speE_1	2.5.1.16		polyamine aminopropyltransferase
INHMNHHN_00189	CDS	894	alkA			DNA-3-methyladenine glycosidase II
INHMNHHN_00190	CDS	192				hypothetical protein
INHMNHHN_00191	CDS	678	masA			enolase-phosphatase
INHMNHHN_00192	CDS	546				acireductone dioxygenase
INHMNHHN_00193	CDS	618				methylthioribulose-1-phosphate dehydratase
INHMNHHN_00194	CDS	1152				MFS metabolite transporter
INHMNHHN_00195	CDS	1092	aroC	4.2.3.5		chorismate synthase
INHMNHHN_00196	CDS	984				hypothetical protein
INHMNHHN_00197	CDS	780				hypothetical protein
INHMNHHN_00198	CDS	915				50S ribosomal protein L3 glutamine methyltransferase
INHMNHHN_00199	CDS	597	sttH_1	3.5.2.19		Streptothricin hydrolase
INHMNHHN_00200	CDS	1281				hypothetical protein
INHMNHHN_00201	CDS	312				hypothetical protein
INHMNHHN_00202	CDS	1434				hypothetical protein
INHMNHHN_00203	CDS	3015				Tn3 family transposase ISPa42
INHMNHHN_00204	CDS	906				hypothetical protein
INHMNHHN_00205	CDS	729				hypothetical protein
INHMNHHN_00206	CDS	1410	hss	2.5.1.44		Homospermidine synthase
INHMNHHN_00207	CDS	1317				hypothetical protein
INHMNHHN_00208	CDS	744				hypothetical protein
INHMNHHN_00209	CDS	972	xerC_1			Tyrosine recombinase XerC
INHMNHHN_00210	CDS	999	smc_1			Chromosome partition protein Smc
INHMNHHN_00211	CDS	645				putative protein
INHMNHHN_00212	CDS	480				hypothetical protein
INHMNHHN_00213	CDS	981			COG3039	IS5 family transposase ISPa41
INHMNHHN_00214	CDS	1506				hypothetical protein
INHMNHHN_00215	CDS	3117				multidrug efflux protein
INHMNHHN_00216	CDS	1239				multidrug efflux lipoprotein
INHMNHHN_00217	CDS	1596				ABC transporter ATP-binding protein
INHMNHHN_00218	CDS	1026				ABC transporter permease
INHMNHHN_00219	CDS	1071				ABC transporter permease
INHMNHHN_00220	CDS	1926				ABC transporter
INHMNHHN_00221	CDS	1464	btuB_1			Vitamin B12 transporter BtuB
INHMNHHN_00222	rRNA	110				5S ribosomal RNA
INHMNHHN_00223	CDS	939	birA	6.3.4.15		biotin--protein ligase
INHMNHHN_00224	CDS	747		2.7.1.33		pantothenate kinase
INHMNHHN_00225	CDS	705				hypothetical protein
INHMNHHN_00226	tRNA	85				tRNA-Tyr(gta)
INHMNHHN_00227	tRNA	74				tRNA-Gly(tcc)
INHMNHHN_00228	tRNA	76				tRNA-Thr(ggt)
INHMNHHN_00229	CDS	549	tufB_1	3.6.5.3		elongation factor Tu
INHMNHHN_00230	tRNA	76				tRNA-Trp(cca)
INHMNHHN_00231	CDS	378				hypothetical protein
INHMNHHN_00232	CDS	480	nusG			transcription antitermination protein NusG
INHMNHHN_00233	CDS	432	rplK			50S ribosomal protein L11
INHMNHHN_00234	CDS	696	rplA			50S ribosomal protein L1
INHMNHHN_00235	CDS	501	rplJ			50S ribosomal protein L10
INHMNHHN_00236	CDS	369	rplL			50S ribosomal protein L7/L12
INHMNHHN_00237	CDS	4074	rpoB	2.7.7.6		DNA-directed RNA polymerase subunit beta
INHMNHHN_00238	CDS	4200	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
INHMNHHN_00239	CDS	372	rpsL			30S ribosomal protein S12
INHMNHHN_00240	CDS	471	rpsG			30S ribosomal protein S7
INHMNHHN_00241	CDS	2121	fusA1			elongation factor G
INHMNHHN_00242	CDS	1194	tufB_2	3.6.5.3		elongation factor Tu
INHMNHHN_00243	CDS	312	rpsJ			30S ribosomal protein S10
INHMNHHN_00244	CDS	636	rplC			50S ribosomal protein L3
INHMNHHN_00245	CDS	603	rplD			50S ribosomal protein L4
INHMNHHN_00246	CDS	300	rplW			50S ribosomal protein L23
INHMNHHN_00247	CDS	822	rplB			50S ribosomal protein L2
INHMNHHN_00248	CDS	276	rpsS			30S ribosomal protein S19
INHMNHHN_00249	CDS	333	rplV			50S ribosomal protein L22
INHMNHHN_00250	CDS	687	rpsC			30S ribosomal protein S3
INHMNHHN_00251	CDS	414	rplP			50S ribosomal protein L16
INHMNHHN_00252	CDS	192	rpmC			50S ribosomal protein L29
INHMNHHN_00253	CDS	267	rpsQ			30S ribosomal protein S17
INHMNHHN_00254	CDS	369	rplN			50S ribosomal protein L14
INHMNHHN_00255	CDS	315	rplX			50S ribosomal protein L24
INHMNHHN_00256	CDS	540	rplE			50S ribosomal protein L5
INHMNHHN_00257	CDS	306	rpsN			30S ribosomal protein S14
INHMNHHN_00258	CDS	393	rpsH			30S ribosomal protein S8
INHMNHHN_00259	CDS	534	rplF			50S ribosomal protein L6
INHMNHHN_00260	CDS	351	rplR			50S ribosomal protein L18
INHMNHHN_00261	CDS	501	rpsE			30S ribosomal protein S5
INHMNHHN_00262	CDS	177	rpmD			50S ribosomal protein L30
INHMNHHN_00263	CDS	435	rplO			50S ribosomal protein L15
INHMNHHN_00264	CDS	1329	secY			preprotein translocase subunit SecY
INHMNHHN_00265	CDS	117	rpmJ			50S ribosomal protein L36
INHMNHHN_00266	CDS	357	rpsM			30S ribosomal protein S13
INHMNHHN_00267	CDS	390	rpsK			30S ribosomal protein S11
INHMNHHN_00268	CDS	621	rpsD			30S ribosomal protein S4
