num_fam,nb_members,sum_quanti,sum_quali,nb_0,nb_mono,nb_multi,sum_0_mono_multi,max_multi
1,3,3,3,2,3,0,5,1
2,1,1,1,4,1,0,5,1
3,1,1,1,4,1,0,5,1
4,5,5,5,0,5,0,5,1
5,4,4,4,1,4,0,5,1
6,5,5,5,0,5,0,5,1
7,5,5,5,0,5,0,5,1
8,5,5,5,0,5,0,5,1
9,5,5,5,0,5,0,5,1
10,5,5,5,0,5,0,5,1
11,5,5,5,0,5,0,5,1
12,5,5,5,0,5,0,5,1
13,5,5,5,0,5,0,5,1
14,1,1,1,4,1,0,5,1
15,3,3,3,2,3,0,5,1
16,4,4,4,1,4,0,5,1
17,1,1,1,4,1,0,5,1
18,5,5,5,0,5,0,5,1
19,5,5,5,0,5,0,5,1
20,5,5,5,0,5,0,5,1
21,5,5,5,0,5,0,5,1
22,5,5,5,0,5,0,5,1
23,5,5,5,0,5,0,5,1
24,5,5,5,0,5,0,5,1
25,5,5,5,0,5,0,5,1
26,5,5,5,0,5,0,5,1
27,5,5,5,0,5,0,5,1
28,5,5,5,0,5,0,5,1
29,5,5,5,0,5,0,5,1
30,5,5,5,0,5,0,5,1
31,5,5,5,0,5,0,5,1
32,5,5,5,0,5,0,5,1
33,5,5,5,0,5,0,5,1
34,5,5,5,0,5,0,5,1
35,5,5,5,0,5,0,5,1
36,5,5,5,0,5,0,5,1
37,5,5,5,0,5,0,5,1
38,3,3,3,2,3,0,5,1
39,1,1,1,4,1,0,5,1
40,1,1,1,4,1,0,5,1
41,4,4,4,1,4,0,5,1
42,5,5,5,0,5,0,5,1
43,5,5,5,0,5,0,5,1
44,5,5,5,0,5,0,5,1
45,5,5,5,0,5,0,5,1
46,5,5,5,0,5,0,5,1
47,5,5,5,0,5,0,5,1
48,1,1,1,4,1,0,5,1
49,5,5,5,0,5,0,5,1
50,5,5,5,0,5,0,5,1
51,5,5,5,0,5,0,5,1
52,5,5,5,0,5,0,5,1
53,5,5,5,0,5,0,5,1
54,5,5,5,0,5,0,5,1
55,5,5,5,0,5,0,5,1
56,5,5,5,0,5,0,5,1
57,4,4,4,1,4,0,5,1
58,5,5,5,0,5,0,5,1
59,5,5,5,0,5,0,5,1
60,5,5,5,0,5,0,5,1
61,5,5,5,0,5,0,5,1
62,5,5,5,0,5,0,5,1
63,1,1,1,4,1,0,5,1
64,5,5,5,0,5,0,5,1
65,5,5,5,0,5,0,5,1
66,1,1,1,4,1,0,5,1
67,5,5,5,0,5,0,5,1
68,5,5,5,0,5,0,5,1
69,5,5,5,0,5,0,5,1
