Gene,Non-unique Gene name,Annotation,8CESK0LV,IUSRULWE,MEALYT7M,MTU6F5AX,YMM2RB8W
group_4831,,sulfite oxidase subunit YedZ,GCDEOBMB_06394,DBBBBKPJ_06229,INHMNHHN_06230,PDFLHPBO_06261,FNCGEDBI_03844
ilvI_2,ilvI_2,acetolactate synthase 3 catalytic subunit,GCDEOBMB_06399,DBBBBKPJ_06234,INHMNHHN_06225,PDFLHPBO_06256,FNCGEDBI_03839
pssA,pssA,phosphatidylserine synthase,GCDEOBMB_06396,DBBBBKPJ_06231,INHMNHHN_06228,PDFLHPBO_06259,FNCGEDBI_03842
ilvC,ilvC,ketol-acid reductoisomerase,GCDEOBMB_06397,DBBBBKPJ_06232,INHMNHHN_06227,PDFLHPBO_06258,FNCGEDBI_03841
ilvH,ilvH,acetolactate synthase small subunit,GCDEOBMB_06398,DBBBBKPJ_06233,INHMNHHN_06226,PDFLHPBO_06257,FNCGEDBI_03840
group_4830,,sulfite oxidase subunit YedY,GCDEOBMB_06395,DBBBBKPJ_06230,INHMNHHN_06229,PDFLHPBO_06260,FNCGEDBI_03843
cyaA,cyaA,adenylate cyclase,GCDEOBMB_06392,DBBBBKPJ_06286,INHMNHHN_04952,PDFLHPBO_00905,FNCGEDBI_05351
group_4829,,hypothetical protein,GCDEOBMB_06391,DBBBBKPJ_06285,INHMNHHN_04951,PDFLHPBO_00904,FNCGEDBI_05352
group_4828,,hypothetical protein,GCDEOBMB_06389,DBBBBKPJ_06283,INHMNHHN_04949,PDFLHPBO_00902,FNCGEDBI_05354
group_4827,,hypothetical protein,GCDEOBMB_06390,DBBBBKPJ_06284,INHMNHHN_04950,PDFLHPBO_00903,FNCGEDBI_05353
corA,corA,magnesium/cobalt transporter,GCDEOBMB_06388,DBBBBKPJ_06282,INHMNHHN_04948,PDFLHPBO_00901,FNCGEDBI_05355
clpA,clpA,ATP-binding protease component ClpA,GCDEOBMB_06185,DBBBBKPJ_06280,2_refound_36_stop,PDFLHPBO_06167,FNCGEDBI_04494
aat_1~~~aat_2~~~aat,aat_1;aat_2;aat,leucyl/phenylalanyl-tRNA--protein transferase,GCDEOBMB_06188,DBBBBKPJ_06276;DBBBBKPJ_06277,INHMNHHN_06096,PDFLHPBO_06164,FNCGEDBI_04491
yqjG,yqjG,Glutathionyl-hydroquinone reductase YqjG,GCDEOBMB_05876,DBBBBKPJ_01267,2_refound_35,PDFLHPBO_06157,FNCGEDBI_06397
group_4821,,sulfurtransferase TusD,GCDEOBMB_05872,DBBBBKPJ_01271,INHMNHHN_06258,PDFLHPBO_06152,4_refound_67
group_4820,,arginyl-tRNA--protein transferase,GCDEOBMB_06187,DBBBBKPJ_06278,INHMNHHN_06097,PDFLHPBO_06165,FNCGEDBI_04492
ftsK,ftsK,DNA translocase FtsK,GCDEOBMB_05881,DBBBBKPJ_01262,INHMNHHN_06094,PDFLHPBO_06162,FNCGEDBI_06392
tusE,tusE,Sulfurtransferase TusE,GCDEOBMB_05874,DBBBBKPJ_01269,INHMNHHN_06256,PDFLHPBO_06155,FNCGEDBI_06399
serS,serS,serine--tRNA ligase,GCDEOBMB_05878,DBBBBKPJ_01265,INHMNHHN_06091,PDFLHPBO_06159,FNCGEDBI_06395
group_4819,,recombination factor protein RarA,GCDEOBMB_05879,DBBBBKPJ_01264,INHMNHHN_06092,PDFLHPBO_06160,FNCGEDBI_06394
cysG,cysG,siroheme synthase,GCDEOBMB_05877,DBBBBKPJ_01266,INHMNHHN_06090,PDFLHPBO_06158,FNCGEDBI_06396
trpD_1,trpD_1,anthranilate phosphoribosyltransferase,GCDEOBMB_05875,DBBBBKPJ_01268,INHMNHHN_06255,PDFLHPBO_06156,FNCGEDBI_06398
lolA,lolA,outer-membrane lipoprotein carrier protein,GCDEOBMB_05880,DBBBBKPJ_01263,INHMNHHN_06093,PDFLHPBO_06161,FNCGEDBI_06393
tusC~~~tusB,;tusC;tusB,sulfur relay protein TusC;Protein TusC;Protein TusB,GCDEOBMB_05873,DBBBBKPJ_01270,INHMNHHN_06257,PDFLHPBO_06153;PDFLHPBO_06154,FNCGEDBI_06400
infA,infA,translation initiation factor IF-1,GCDEOBMB_06186,DBBBBKPJ_06279,INHMNHHN_06098,PDFLHPBO_06166,FNCGEDBI_04493
group_4818,,ATP-dependent Clp protease adapter protein Clp,GCDEOBMB_06184,DBBBBKPJ_06281,INHMNHHN_06223,PDFLHPBO_06168,FNCGEDBI_04495
pchG,pchG,pyochelin biosynthetic protein PchG,GCDEOBMB_06412,DBBBBKPJ_05152,INHMNHHN_00283,PDFLHPBO_01238,FNCGEDBI_06239
pchA,pchA,salicylate biosynthesis isochorismate synthase,GCDEOBMB_05887,DBBBBKPJ_05145,INHMNHHN_00276,PDFLHPBO_01245,FNCGEDBI_06232
fptA,fptA,Fe(III)-pyochelin outer membrane receptor,GCDEOBMB_06415,DBBBBKPJ_05155,INHMNHHN_00286,PDFLHPBO_01235,FNCGEDBI_06242
rplB,rplB,50S ribosomal protein L2,GCDEOBMB_05932,DBBBBKPJ_05116,INHMNHHN_00247,PDFLHPBO_01274,FNCGEDBI_06192
rplE,rplE,50S ribosomal protein L5,GCDEOBMB_05923,DBBBBKPJ_05125,INHMNHHN_00256,PDFLHPBO_01265,FNCGEDBI_06201
rpsG,rpsG,30S ribosomal protein S7,GCDEOBMB_05772,DBBBBKPJ_05109,INHMNHHN_00240,PDFLHPBO_01281,FNCGEDBI_06185
group_4813,,ABC transporter ATP-binding protein,GCDEOBMB_06413,DBBBBKPJ_05153,INHMNHHN_00284,PDFLHPBO_01237,FNCGEDBI_06240
rpmJ,rpmJ,50S ribosomal protein L36,GCDEOBMB_05914,DBBBBKPJ_05134,INHMNHHN_00265,PDFLHPBO_01256,FNCGEDBI_06210
pchC,pchC,pyochelin biosynthetic protein PchC,GCDEOBMB_05885,DBBBBKPJ_05147,INHMNHHN_00278,PDFLHPBO_01243,FNCGEDBI_06234
group_4812,,ABC transporter ATP-binding protein,GCDEOBMB_06414,DBBBBKPJ_05154,INHMNHHN_00285,PDFLHPBO_01236,FNCGEDBI_06241
rpsC,rpsC,30S ribosomal protein S3,GCDEOBMB_05929,DBBBBKPJ_05119,INHMNHHN_00250,PDFLHPBO_01271,FNCGEDBI_06195
katA,katA,catalase,GCDEOBMB_05908,DBBBBKPJ_05140,INHMNHHN_00271,PDFLHPBO_01250,FNCGEDBI_06216
rplR,rplR,50S ribosomal protein L18,GCDEOBMB_05919,DBBBBKPJ_05129,INHMNHHN_00260,PDFLHPBO_01261,FNCGEDBI_06205
rpsD,rpsD,30S ribosomal protein S4,GCDEOBMB_05911,DBBBBKPJ_05137,INHMNHHN_00268,PDFLHPBO_01253,FNCGEDBI_06213
rplP,rplP,50S ribosomal protein L16,GCDEOBMB_05928,DBBBBKPJ_05120,INHMNHHN_00251,PDFLHPBO_01270,FNCGEDBI_06196
nusG,nusG,transcription antitermination protein NusG,GCDEOBMB_05780,DBBBBKPJ_05101,INHMNHHN_00232,PDFLHPBO_01289,FNCGEDBI_06177
rplA,rplA,50S ribosomal protein L1,GCDEOBMB_05778,DBBBBKPJ_05103,INHMNHHN_00234,PDFLHPBO_01287,FNCGEDBI_06179
rpsM,rpsM,30S ribosomal protein S13,GCDEOBMB_05913,DBBBBKPJ_05135,INHMNHHN_00266,PDFLHPBO_01255,FNCGEDBI_06211
secY,secY,preprotein translocase subunit SecY,GCDEOBMB_05915,DBBBBKPJ_05133,INHMNHHN_00264,PDFLHPBO_01257,FNCGEDBI_06209
rplW,rplW,50S ribosomal protein L23,GCDEOBMB_05933,DBBBBKPJ_05115,INHMNHHN_00246,PDFLHPBO_01275,FNCGEDBI_06191
group_4805,,hypothetical protein,GCDEOBMB_06441,DBBBBKPJ_05094,INHMNHHN_00225,PDFLHPBO_01296,FNCGEDBI_06170
group_4803,,hypothetical protein,GCDEOBMB_06417,DBBBBKPJ_05157,INHMNHHN_00288,PDFLHPBO_01233,FNCGEDBI_06244
rpsN,rpsN,30S ribosomal protein S14,GCDEOBMB_05922,DBBBBKPJ_05126,INHMNHHN_00257,PDFLHPBO_01264,FNCGEDBI_06202
pchB,pchB,isochorismate-pyruvate lyase,GCDEOBMB_05886,DBBBBKPJ_05146,INHMNHHN_00277,PDFLHPBO_01244,FNCGEDBI_06233
rpmD,rpmD,50S ribosomal protein L30,GCDEOBMB_05917,DBBBBKPJ_05131,INHMNHHN_00262,PDFLHPBO_01259,FNCGEDBI_06207
rplC,rplC,50S ribosomal protein L3,GCDEOBMB_05935,DBBBBKPJ_05113,INHMNHHN_00244,PDFLHPBO_01277,FNCGEDBI_06189
rpoA,rpoA,DNA-directed RNA polymerase subunit alpha,GCDEOBMB_05910,DBBBBKPJ_05138,INHMNHHN_00269,PDFLHPBO_01252,FNCGEDBI_06214
rplK,rplK,50S ribosomal protein L11,GCDEOBMB_05779,DBBBBKPJ_05102,INHMNHHN_00233,PDFLHPBO_01288,FNCGEDBI_06178
ssb,ssb,single-stranded DNA-binding protein,GCDEOBMB_05904,DBBBBKPJ_05144,INHMNHHN_00275,PDFLHPBO_01246,FNCGEDBI_06220
rplN,rplN,50S ribosomal protein L14,GCDEOBMB_05925,DBBBBKPJ_05123,INHMNHHN_00254,PDFLHPBO_01267,FNCGEDBI_06199
