Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,8CESK0LV,IUSRULWE,MEALYT7M,MTU6F5AX,YMM2RB8W
group_4831,,sulfite oxidase subunit YedZ,5,5,1.0,25,6,,,,609,609,609.0,GCDEOBMB_06394,DBBBBKPJ_06229,INHMNHHN_06230,PDFLHPBO_06261,FNCGEDBI_03844
ilvI_2,ilvI_2,acetolactate synthase 3 catalytic subunit,5,5,1.0,25,5,,,,1725,1725,1725.0,GCDEOBMB_06399,DBBBBKPJ_06234,INHMNHHN_06225,PDFLHPBO_06256,FNCGEDBI_03839
pssA,pssA,phosphatidylserine synthase,5,5,1.0,25,4,,,,816,816,816.0,GCDEOBMB_06396,DBBBBKPJ_06231,INHMNHHN_06228,PDFLHPBO_06259,FNCGEDBI_03842
ilvC,ilvC,ketol-acid reductoisomerase,5,5,1.0,25,3,,,,1017,1017,1017.0,GCDEOBMB_06397,DBBBBKPJ_06232,INHMNHHN_06227,PDFLHPBO_06258,FNCGEDBI_03841
ilvH,ilvH,acetolactate synthase small subunit,5,5,1.0,25,2,,,,492,492,492.0,GCDEOBMB_06398,DBBBBKPJ_06233,INHMNHHN_06226,PDFLHPBO_06257,FNCGEDBI_03840
group_4830,,sulfite oxidase subunit YedY,5,5,1.0,25,1,,,,1014,1014,1014.0,GCDEOBMB_06395,DBBBBKPJ_06230,INHMNHHN_06229,PDFLHPBO_06260,FNCGEDBI_03843
cyaA,cyaA,adenylate cyclase,5,5,1.0,24,5,,,,2856,2856,2856.0,GCDEOBMB_06392,DBBBBKPJ_06286,INHMNHHN_04952,PDFLHPBO_00905,FNCGEDBI_05351
group_4829,,hypothetical protein,5,5,1.0,24,4,,,,234,234,234.0,GCDEOBMB_06391,DBBBBKPJ_06285,INHMNHHN_04951,PDFLHPBO_00904,FNCGEDBI_05352
group_4828,,hypothetical protein,5,5,1.0,24,3,,,,276,276,276.0,GCDEOBMB_06389,DBBBBKPJ_06283,INHMNHHN_04949,PDFLHPBO_00902,FNCGEDBI_05354
group_4827,,hypothetical protein,5,5,1.0,24,2,,,,768,768,768.0,GCDEOBMB_06390,DBBBBKPJ_06284,INHMNHHN_04950,PDFLHPBO_00903,FNCGEDBI_05353
corA,corA,magnesium/cobalt transporter,5,5,1.0,24,1,,,,1032,1032,1032.0,GCDEOBMB_06388,DBBBBKPJ_06282,INHMNHHN_04948,PDFLHPBO_00901,FNCGEDBI_05355
clpA,clpA,ATP-binding protease component ClpA,5,5,1.0,21,15,,,,2277,2277,2277.0,GCDEOBMB_06185,DBBBBKPJ_06280,2_refound_36,PDFLHPBO_06167,FNCGEDBI_04494
aat_1~~~aat_2~~~aat,aat_1;aat_2;aat,leucyl/phenylalanyl-tRNA--protein transferase,5,6,1.2,21,14,,,,336,681,575.5,GCDEOBMB_06188,DBBBBKPJ_06276;DBBBBKPJ_06277,INHMNHHN_06096,PDFLHPBO_06164,FNCGEDBI_04491
yqjG,yqjG,Glutathionyl-hydroquinone reductase YqjG,5,5,1.0,21,13,,,,975,975,975.0,GCDEOBMB_05876,DBBBBKPJ_01267,2_refound_35,PDFLHPBO_06157,FNCGEDBI_06397
group_4821,,sulfurtransferase TusD,5,5,1.0,21,12,,,,270,396,301.5,GCDEOBMB_05872,DBBBBKPJ_01271,INHMNHHN_06258,PDFLHPBO_06152,4_refound_67
group_4820,,arginyl-tRNA--protein transferase,5,5,1.0,21,11,,,,708,708,708.0,GCDEOBMB_06187,DBBBBKPJ_06278,INHMNHHN_06097,PDFLHPBO_06165,FNCGEDBI_04492
ftsK,ftsK,DNA translocase FtsK,5,5,1.0,21,10,,,,2415,2415,2415.0,GCDEOBMB_05881,DBBBBKPJ_01262,INHMNHHN_06094,PDFLHPBO_06162,FNCGEDBI_06392
tusE,tusE,Sulfurtransferase TusE,5,5,1.0,21,9,,,,336,336,336.0,GCDEOBMB_05874,DBBBBKPJ_01269,INHMNHHN_06256,PDFLHPBO_06155,FNCGEDBI_06399
serS,serS,serine--tRNA ligase,5,5,1.0,21,8,,,,1281,1281,1281.0,GCDEOBMB_05878,DBBBBKPJ_01265,INHMNHHN_06091,PDFLHPBO_06159,FNCGEDBI_06395
group_4819,,recombination factor protein RarA,5,5,1.0,21,7,,,,1326,1326,1326.0,GCDEOBMB_05879,DBBBBKPJ_01264,INHMNHHN_06092,PDFLHPBO_06160,FNCGEDBI_06394
cysG,cysG,siroheme synthase,5,5,1.0,21,6,,,,1398,1398,1398.0,GCDEOBMB_05877,DBBBBKPJ_01266,INHMNHHN_06090,PDFLHPBO_06158,FNCGEDBI_06396
trpD_1,trpD_1,anthranilate phosphoribosyltransferase,5,5,1.0,21,5,,,,984,984,984.0,GCDEOBMB_05875,DBBBBKPJ_01268,INHMNHHN_06255,PDFLHPBO_06156,FNCGEDBI_06398
lolA,lolA,outer-membrane lipoprotein carrier protein,5,5,1.0,21,4,,,,627,627,627.0,GCDEOBMB_05880,DBBBBKPJ_01263,INHMNHHN_06093,PDFLHPBO_06161,FNCGEDBI_06393
tusC~~~tusB,;tusC;tusB,sulfur relay protein TusC;Protein TusC;Protein TusB,5,6,1.2,21,3,,,,306,654,373.0,GCDEOBMB_05873,DBBBBKPJ_01270,INHMNHHN_06257,PDFLHPBO_06153;PDFLHPBO_06154,FNCGEDBI_06400
infA,infA,translation initiation factor IF-1,5,5,1.0,21,2,,,,219,219,219.0,GCDEOBMB_06186,DBBBBKPJ_06279,INHMNHHN_06098,PDFLHPBO_06166,FNCGEDBI_04493
group_4818,,ATP-dependent Clp protease adapter protein Clp,5,5,1.0,21,1,,,,369,369,369.0,GCDEOBMB_06184,DBBBBKPJ_06281,INHMNHHN_06223,PDFLHPBO_06168,FNCGEDBI_04495
