locus_tag	ftype	length_bp	gene	EC_number	COG	product
DBBBBKPJ_00001	CDS	543				hypothetical protein
DBBBBKPJ_00002	CDS	1200				hypothetical protein
DBBBBKPJ_00003	CDS	867				hypothetical protein
DBBBBKPJ_00004	CDS	963	hcf136_1			Ycf48-like protein
DBBBBKPJ_00005	CDS	2403	mdtC			Multidrug resistance protein MdtC
DBBBBKPJ_00006	CDS	1647				hypothetical protein
DBBBBKPJ_00007	CDS	1425				putative protein
DBBBBKPJ_00008	CDS	663				hypothetical protein
DBBBBKPJ_00009	CDS	1368				oxidoreductase
DBBBBKPJ_00010	CDS	888				hypothetical protein
DBBBBKPJ_00011	CDS	582				hypothetical protein
DBBBBKPJ_00012	CDS	1527				flavin-binding monooxygenase
DBBBBKPJ_00013	CDS	876				hydrolase
DBBBBKPJ_00014	CDS	1158				iron-containing alcohol dehydrogenase
DBBBBKPJ_00015	CDS	1332				amino acid permease
DBBBBKPJ_00016	CDS	1425	betB_1	1.2.1.8		betaine aldehyde dehydrogenase
DBBBBKPJ_00017	CDS	1254	pvdH_1	2.6.1.76		diaminobutyrate--2-oxoglutarate aminotransferase
DBBBBKPJ_00018	CDS	960				dehydrogenase
DBBBBKPJ_00019	CDS	153				hypothetical protein
DBBBBKPJ_00020	CDS	1659				acetate permease
DBBBBKPJ_00021	CDS	324	yjcH_1		COG3162	Inner membrane protein YjcH
DBBBBKPJ_00022	CDS	1650				acyl-CoA synthetase
DBBBBKPJ_00023	CDS	768				short-chain dehydrogenase
DBBBBKPJ_00024	CDS	1173				acyl-CoA dehydrogenase
DBBBBKPJ_00025	CDS	357				hypothetical protein
DBBBBKPJ_00026	CDS	1056				hypothetical protein
DBBBBKPJ_00027	CDS	1953	norR			Anaerobic nitric oxide reductase transcription regulator NorR
DBBBBKPJ_00028	CDS	504				transcriptional regulator
DBBBBKPJ_00029	CDS	2304	yebT_1		COG3008	Intermembrane transport protein YebT
DBBBBKPJ_00030	CDS	621				paraquat-inducible protein A
DBBBBKPJ_00031	CDS	1584				aldehyde dehydrogenase
DBBBBKPJ_00032	CDS	996				hypothetical protein
DBBBBKPJ_00033	CDS	1176	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
DBBBBKPJ_00034	CDS	1323				major facilitator superfamily transporter
DBBBBKPJ_00035	CDS	1251				porin
DBBBBKPJ_00036	CDS	1014		1.1.1.262		4-hydroxythreonine-4-phosphate dehydrogenase
DBBBBKPJ_00037	CDS	960				hypothetical protein
DBBBBKPJ_00038	CDS	1326				major facilitator superfamily transporter
DBBBBKPJ_00039	CDS	1014				hypothetical protein
DBBBBKPJ_00040	CDS	531				hypothetical protein
DBBBBKPJ_00041	CDS	1521				hypothetical protein
DBBBBKPJ_00042	CDS	948				transcriptional regulator
DBBBBKPJ_00043	CDS	477				hypothetical protein
DBBBBKPJ_00044	CDS	807				ABC transporter
DBBBBKPJ_00045	CDS	717				amino acid permease
DBBBBKPJ_00046	CDS	678				amino acid permease
DBBBBKPJ_00047	CDS	885				hypothetical protein
DBBBBKPJ_00048	CDS	1596	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
DBBBBKPJ_00049	CDS	876				dehydrogenase
DBBBBKPJ_00050	CDS	345				hypothetical protein
DBBBBKPJ_00051	CDS	1038				oxidoreductase
DBBBBKPJ_00052	CDS	585				transcriptional regulator
DBBBBKPJ_00053	CDS	1254	hcnC_1			hydrogen cyanide synthase subunit HcnC
DBBBBKPJ_00054	CDS	1395	hcnB			hydrogen cyanide synthase subunit HcnB
DBBBBKPJ_00055	CDS	315	hcnA_1			hydrogen cyanide synthase subunit HcnA
DBBBBKPJ_00056	CDS	267				hypothetical protein
DBBBBKPJ_00057	CDS	414	hrp1_1		COG0517	Hypoxic response protein 1
DBBBBKPJ_00058	CDS	747	exoY_1			adenylate cyclase
DBBBBKPJ_00059	CDS	360	exoY_2			adenylate cyclase
DBBBBKPJ_00060	CDS	555	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
DBBBBKPJ_00061	CDS	423				hypothetical protein
DBBBBKPJ_00062	CDS	1215				glutamate--cysteine ligase
DBBBBKPJ_00063	CDS	1377				hypothetical protein
DBBBBKPJ_00064	CDS	951	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
DBBBBKPJ_00065	CDS	231				hypothetical protein
DBBBBKPJ_00066	CDS	609	yohC_1			Inner membrane protein YohC
DBBBBKPJ_00067	CDS	1953				sensor/response regulator hybrid protein
DBBBBKPJ_00068	CDS	591				hypothetical protein
DBBBBKPJ_00069	CDS	348				hypothetical protein
DBBBBKPJ_00070	CDS	264				hypothetical protein
DBBBBKPJ_00071	CDS	222				hypothetical protein
DBBBBKPJ_00072	CDS	351				hypothetical protein
DBBBBKPJ_00073	CDS	1077				hypothetical protein
DBBBBKPJ_00074	CDS	471			COG5592	DNA nickase
DBBBBKPJ_00075	CDS	453				hypothetical protein
DBBBBKPJ_00076	CDS	777				hypothetical protein
DBBBBKPJ_00077	CDS	1098				hypothetical protein
DBBBBKPJ_00078	CDS	366				hypothetical protein
DBBBBKPJ_00079	CDS	1605		2.4.1.21		glycogen synthase
DBBBBKPJ_00080	CDS	1755				glycosyl hydrolase
DBBBBKPJ_00081	CDS	2055				4-alpha-glucanotransferase
DBBBBKPJ_00082	CDS	2781		5.4.99.15		malto-oligosyltrehalose synthase
DBBBBKPJ_00083	CDS	306				hypothetical protein
DBBBBKPJ_00084	CDS	2151				glycosyl hydrolase
