	ciprofloxacin	gentamicin	trimethoprim_sulfamethoxazole	imipenem	amikacin	ceftazidime	tobramycin	levofloxacin	carbapenem	ampicillin_sulbactam	tetracycline	meropenem
1116234.3	1	1	2	1	1	1	1	2	2	2	2	1
1398943.3	1	1	1	1	1	1	1	1	2	2	1	1
1398944.3	1	1	1	1	1	1	1	1	2	0	1	1
1398947.3	1	1	1	0	0	1	0	1	2	1	1	0
1398948.3	1	1	1	1	1	1	1	2	2	1	2	1
1398949.3	1	1	1	0	0	1	2	2	2	0	2	0
1398950.3	1	1	1	1	1	1	1	2	2	0	2	1
1398951.3	1	1	1	2	2	0	1	2	2	2	2	2
1398952.3	1	1	1	0	0	1	0	2	2	1	2	0
1398953.3	1	1	1	0	0	1	0	2	2	1	2	0
1398954.3	1	1	1	2	0	1	0	2	2	1	2	2
1398955.3	1	1	1	0	1	1	1	2	2	2	2	1
1398956.3	1	1	1	1	1	1	1	2	2	1	2	1
1398957.3	1	1	1	1	1	1	1	2	2	1	2	1
1398958.3	1	1	1	1	1	1	1	2	2	1	2	1
1398959.3	1	1	1	1	1	1	1	2	2	1	2	1
1398960.3	1	1	1	2	0	0	1	2	2	2	2	2
1398961.3	1	2	0	2	0	1	0	2	2	2	2	1
1398962.3	1	1	1	1	0	0	1	2	2	0	2	1
1398963.3	1	1	1	1	1	1	1	2	2	1	2	1
1398964.3	1	2	0	2	0	1	0	2	2	1	2	1
1398965.4	1	1	1	0	0	1	0	1	2	1	1	0
1398966.3	1	1	1	2	1	0	1	2	2	2	2	2
1398967.3	1	1	1	2	1	1	1	1	2	1	1	1
1398968.3	1	1	2	2	2	1	1	2	2	2	2	1
1398969.3	1	1	1	1	1	1	1	1	2	1	1	1
1398970.3	1	1	1	1	1	1	1	2	2	0	2	1
1398971.3	1	1	0	2	0	0	1	2	2	0	2	2
1398972.3	1	1	0	0	2	2	1	2	2	0	2	0
1398973.3	1	1	1	1	1	1	1	2	2	1	2	1
1398974.3	1	1	1	1	1	1	1	2	2	1	2	1
1398975.3	1	1	1	1	1	1	1	2	2	1	2	1
1398976.3	1	1	1	1	1	1	1	2	2	2	2	1
1398978.3	1	1	1	1	2	2	1	2	2	2	2	1
1398979.3	1	1	1	0	1	1	0	2	2	0	2	2
1398980.3	1	1	1	2	0	0	2	2	2	0	2	2
1398981.3	1	0	1	1	1	1	0	2	2	2	2	1
1398982.3	1	1	1	2	1	1	1	2	2	2	2	1
1398983.3	1	1	1	2	1	0	1	2	2	1	2	2
1398984.3	1	1	1	1	1	1	1	2	2	1	2	1
1398985.3	1	1	1	0	0	1	1	2	2	1	2	0
1398986.3	1	1	1	0	0	1	1	2	2	1	2	0
1398987.3	1	1	1	1	1	1	1	2	2	2	2	1
1398988.3	1	1	1	1	1	1	1	2	2	2	2	1
1398989.3	1	1	1	1	1	1	1	2	2	2	2	1
1398990.4	1	1	1	1	1	1	1	2	2	1	2	1
1398991.3	1	1	1	1	1	1	1	2	2	1	2	1
1409922.5	1	1	2	1	1	1	1	1	2	2	1	2
1409923.3	1	1	2	1	1	1	1	1	2	2	1	2
1409924.3	1	1	2	1	1	1	1	1	2	2	1	2
1409925.3	1	1	2	1	1	1	1	1	2	2	1	2
1409926.6	1	1	1	2	0	1	1	2	2	2	2	1
1409927.3	1	1	2	1	0	1	0	1	2	2	1	2
1409928.3	1	1	2	1	1	1	1	1	2	2	1	2
1684145.4	1	2	1	2	2	1	1	1	2	2	1	1
1684146.4	1	0	1	2	2	1	1	1	2	2	0	1
1684147.4	1	1	1	2	2	1	1	1	2	2	1	1
1684148.4	1	2	1	2	1	1	1	1	2	2	0	1
1712384.4	1	2	0	1	2	1	2	1	2	2	1	1
1712385.4	1	1	1	1	2	2	2	1	2	2	0	1
1841507.3	1	1	0	0	2	1	1	1	2	1	0	1
1888930.4	1	0	0	2	2	2	0	1	2	2	1	1
405416.6	1	0	1	1	1	1	1	2	2	2	2	1
470.1333	1	1	1	1	1	1	1	1	2	1	1	1
470.1334	1	1	1	1	1	1	1	1	2	2	1	1
470.1335	1	1	1	1	1	1	1	1	2	2	1	1
470.1336	1	1	1	1	0	1	1	1	2	0	1	0
470.1337	1	1	1	1	1	1	1	1	2	1	1	1
470.1338	1	1	0	1	1	2	1	1	2	2	2	1
470.1339	1	1	1	1	1	1	1	1	2	1	1	1
470.1340	1	1	0	1	1	2	1	1	2	2	2	1
470.1341	1	1	2	1	1	1	1	1	2	2	2	1
470.1359	1	1	1	0	1	0	0	1	2	0	1	0
470.1405	1	1	2	1	2	1	1	2	2	2	2	1
470.1548	1	2	1	0	0	0	0	1	2	0	1	0
470.1549	1	1	1	0	2	0	0	1	2	0	1	0
470.1550	1	1	1	0	1	0	0	1	2	0	1	0
470.1551	1	1	1	0	1	0	0	1	2	0	1	0
470.1552	1	1	1	0	0	0	0	1	2	0	1	0
470.1553	1	1	1	1	1	0	0	1	2	1	1	1
470.1554	1	1	1	1	1	0	0	2	2	1	1	1
470.1556	1	1	1	0	0	1	1	0	2	1	1	0
470.1557	1	1	1	0	1	0	1	1	2	0	1	0
470.1560	1	1	1	1	1	1	1	1	2	1	1	1
470.1561	1	1	1	1	1	1	1	1	2	0	1	1
470.1562	1	1	1	1	2	1	1	1	2	0	1	1
470.1563	1	1	1	1	1	1	1	1	2	1	1	1
470.1564	1	1	1	1	1	1	1	1	2	0	1	1
470.1565	1	1	1	1	1	1	1	1	2	0	1	1
470.1742	1	1	2	2	2	2	2	2	2	2	1	2
470.1743	1	1	2	2	2	2	2	2	2	2	1	2
470.1744	1	1	2	2	2	2	2	2	2	2	1	2
470.1745	1	1	2	1	1	1	2	2	2	2	1	1
470.1746	1	1	2	2	2	2	2	2	2	2	2	2
470.1748	1	1	2	2	2	2	2	2	2	2	2	2
470.1749	1	1	2	1	1	1	2	2	2	2	1	1
470.1750	1	1	2	2	2	2	2	2	2	2	1	2
470.1751	1	1	2	2	2	2	2	2	2	2	2	2
470.1753	1	1	2	2	2	1	2	2	2	2	1	2
470.1754	1	1	2	2	2	2	2	2	2	2	2	2
470.1755	1	1	2	2	2	2	2	2	2	2	1	2
470.1756	1	1	2	1	2	1	2	2	2	2	1	1
470.1757	1	1	2	2	2	1	2	2	2	2	2	2
470.1758	1	1	2	2	2	1	2	2	2	2	1	2
470.1761	1	1	2	2	2	2	2	2	2	2	2	2
470.1762	1	1	2	2	2	2	2	2	2	2	1	2
470.1807	1	1	2	2	2	1	2	2	2	2	2	2
470.2142	1	1	2	1	1	1	1	2	2	2	2	1
470.2143	1	1	2	1	1	1	1	2	2	2	2	1
470.2155	1	1	2	1	2	1	1	2	2	2	2	1
470.2156	1	1	2	1	1	1	1	2	2	2	2	1
470.2157	1	1	2	1	1	1	0	2	2	2	2	1
470.2158	1	1	2	1	1	1	1	2	2	2	2	1
470.2159	1	1	2	1	1	1	1	2	2	2	2	1
470.2160	1	1	2	1	1	1	1	2	2	2	2	1
470.2161	1	1	2	1	1	1	1	2	2	2	2	1
470.2162	1	1	2	1	1	0	1	2	2	2	2	1
470.2163	1	1	2	1	1	1	1	2	2	2	2	1
470.2165	1	1	2	1	1	1	1	2	2	2	2	1
470.2166	1	1	2	1	1	1	0	2	2	2	2	2
470.2167	1	1	2	1	1	1	1	2	2	2	2	1
470.2168	1	0	2	1	1	1	0	2	2	2	2	1
470.2238	1	1	2	1	1	1	1	1	2	1	1	2
470.2239	1	1	2	1	1	1	1	1	2	1	2	2
470.2240	1	1	2	1	1	1	1	1	2	2	1	2
470.2241	1	1	2	1	1	1	1	1	2	1	1	2
470.2242	1	1	2	1	1	1	1	2	2	1	1	2
470.2243	1	1	2	1	1	1	2	1	2	2	1	2
470.2244	1	1	2	2	2	2	1	1	2	1	2	2
470.2245	1	0	2	1	1	1	0	1	2	0	2	2
470.2246	1	1	2	1	1	1	1	1	2	1	1	2
470.2247	1	1	2	1	1	1	1	1	2	1	1	2
