	ciprofloxacin	tetracycline	clindamycin
1323651.3	1	1	1
1323652.3	1	1	0
1323653.3	1	1	1
1323654.3	1	1	0
1440010.3	1	1	0
1440011.3	1	1	1
1440012.3	1	1	1
1440013.3	1	1	1
1440014.3	1	1	1
1440015.3	1	1	0
1440016.3	1	1	0
1440017.4	1	1	0
1440018.3	1	1	0
1440027.3	1	1	1
1440028.3	1	1	1
1440029.3	1	1	0
1440031.3	1	1	0
1440032.3	1	1	0
1440033.3	1	1	1
1440034.3	1	1	0
1440035.3	1	1	1
1440036.3	1	1	1
1440037.3	1	1	1
1440038.3	1	1	0
1440042.3	1	1	1
1440060.3	1	1	1
1440061.3	1	1	0
1440062.3	1	1	1
1440064.3	1	1	1
1440776.3	1	1	1
195.2024	1	0	0
195.2027	1	1	0
195.2028	1	1	0
195.2030	1	0	0
195.2032	1	1	0
195.2035	1	1	0
195.2037	1	1	0
195.2040	1	1	0
195.2041	1	0	0
195.2043	1	0	0
195.2047	1	1	0
195.2052	1	0	1
195.2054	1	1	0
195.2058	1	1	0
195.2070	1	1	0
195.2071	1	1	0
195.2074	1	1	0
195.2077	1	1	0
195.2090	1	1	0
195.2094	1	1	0
195.2099	1	1	0
195.2100	1	1	0
195.2101	1	1	0
195.2103	1	1	0
195.2105	1	1	0
195.2107	1	1	0
195.2110	1	0	0
195.2112	1	0	0
195.2115	1	1	0
195.2116	1	1	0
195.2119	1	1	0
195.2124	1	0	0
195.2126	1	1	0
195.2127	1	1	0
195.2131	1	1	0
195.2136	1	1	0
195.2137	1	1	0
195.2139	1	1	0
195.2142	1	1	0
195.2146	1	1	0
195.2147	1	0	0
195.2149	1	1	0
195.2152	1	1	0
195.2158	1	0	0
195.2159	1	1	0
195.2160	1	1	0
195.2163	1	1	0
195.2164	1	1	0
195.2169	1	0	0
195.2172	1	0	0
195.2190	1	1	0
195.2191	1	0	0
195.2193	1	1	0
195.2195	1	1	0
195.2208	1	1	0
195.2212	1	1	0
195.2213	1	1	0
195.2217	1	0	0
195.2221	1	0	0
195.2229	1	1	0
195.2234	1	1	1
195.2246	1	1	0
195.2248	1	1	0
195.2250	1	1	0
195.2251	1	1	0
195.2252	1	1	0
195.2256	1	1	0
195.2257	1	0	0
195.2258	1	1	0
195.2261	1	1	0
195.2263	1	1	0
195.2266	1	1	0
195.2268	1	1	0
195.2278	1	1	0
195.2281	1	1	0
195.2282	1	1	0
195.2283	1	1	1
195.2289	1	1	0
195.2298	1	1	0
195.2300	1	1	0
195.2302	1	0	0
195.2304	1	1	0
195.2305	1	1	0
195.2306	1	1	0
195.2307	1	1	0
195.2310	1	0	0
195.2311	1	0	0
195.364	1	1	1
195.369	1	1	0
195.372	1	1	1
195.374	1	1	1
195.392	1	1	0
195.393	1	1	1
195.396	1	1	0
195.401	1	1	1
195.402	1	1	1
195.404	1	1	1
195.406	1	0	1
195.409	1	1	1
195.412	1	1	1
195.413	1	1	0
195.414	1	1	1
195.416	1	1	1
195.419	1	1	0
195.424	1	1	0
195.426	1	1	1
197.15930	1	1	1
197.15931	1	1	0
197.15946	1	1	0
197.15951	1	1	0
197.15952	1	1	0
197.15955	1	1	0
197.15971	1	1	0
197.15973	1	1	0
197.15975	1	1	0
197.15981	1	1	0
197.15986	1	1	0
197.15991	1	1	0
197.15993	1	1	1
197.15994	1	1	0
197.16007	1	1	0
197.16010	1	1	0
197.16011	1	1	0
197.16013	1	1	0
197.16015	1	0	0
197.16018	1	1	0
197.16019	1	1	0
197.16029	1	1	0
197.16030	1	1	0
197.16031	1	1	0
197.16034	1	1	0
197.16036	1	0	0
197.16042	1	1	0
197.16045	1	1	0
197.16048	1	1	0
197.16056	1	1	0
197.16058	1	1	0
197.16064	1	1	0
197.16067	1	1	0
197.16074	1	0	0
197.16075	1	1	0
197.16083	1	1	0
197.16084	1	1	0
197.16086	1	1	0
197.16088	1	1	0
197.16098	1	1	0
197.16104	1	1	0
197.16110	1	0	0
197.16124	1	1	0
197.16135	1	1	0
197.16147	1	1	0
197.16154	1	0	0
197.16158	1	1	0
197.16160	1	1	0
197.16166	1	1	0
197.16168	1	1	0
197.16171	1	1	0
197.16175	1	1	0
197.16176	1	1	0
197.16181	1	1	0
197.16189	1	1	0
197.16193	1	1	0
197.16195	1	1	0
197.16202	1	1	0
197.16206	1	1	0
197.16213	1	1	0
197.16219	1	0	0
197.16227	1	1	0
197.16232	1	1	0
197.16237	1	0	0
197.16242	1	1	0
197.16248	1	1	0
197.16254	1	1	0
197.16255	1	1	0
197.16256	1	1	0
197.16262	1	1	0
197.16264	1	1	0
197.16265	1	1	0
197.16269	1	1	0
197.16283	1	1	0
197.16298	1	1	0
197.16299	1	1	1
197.16301	1	1	0
197.16312	1	1	0
197.16318	1	1	0
197.16335	1	0	0
197.16348	1	1	0
197.16351	1	1	1
197.16354	1	1	0
197.16356	1	1	0
197.16379	1	1	0
197.16385	1	1	0
197.16387	1	1	0
197.16392	1	1	0
197.16397	1	1	0
197.5230	1	1	0
197.5237	1	1	1
197.5238	1	1	0
197.5241	1	0	0
1323650.3	0	1	0
1323655.3	0	1	0
1323656.3	0	1	0
1440019.3	0	1	0
1440020.3	0	1	0
1440021.3	0	1	0
1440022.3	0	1	0
1440023.3	0	1	0
1440024.3	0	1	0
1440025.3	0	1	0
1440026.3	0	1	0
