	vancomycin
1351.1298	1
1351.1299	1
1351.1300	1
1351.1301	1
1351.1302	1
1352.1461	1
1352.1464	1
1352.1466	1
1352.1468	1
1352.1473	1
1352.1476	1
1352.1477	1
1352.1485	1
1352.1487	1
1352.1496	1
1352.1499	1
1352.1500	1
1352.1505	1
1352.1509	1
1352.1511	1
1352.1512	1
1352.1514	1
1352.1515	1
1352.1516	1
1352.1517	1
1352.1519	1
1352.1521	1
1352.1525	1
1352.1528	1
1352.1530	1
1352.1534	1
1352.1536	1
1352.1537	1
1352.1538	1
1352.1542	1
1352.1545	1
1352.1546	1
1352.1547	1
1352.1549	1
1352.1554	1
1352.1556	1
1352.1557	1
1352.1562	1
1352.1564	1
1352.1567	1
1352.1569	1
1352.1571	1
1352.1573	1
1352.1579	1
1352.1581	1
1352.1584	1
1352.1585	1
1352.1586	1
1352.1588	1
1352.1762	1
1352.1763	1
1352.1764	1
1352.1765	1
1352.1766	1
1352.1768	1
1352.1769	1
1352.1770	1
1352.1771	1
1352.1772	1
1352.1773	1
1352.1774	1
1352.1775	1
1352.1776	1
1352.1777	1
1352.1778	1
1352.1779	1
1352.1780	1
1352.1781	1
1352.1782	1
1352.1783	1
1352.1784	1
1352.1785	1
1352.1786	1
1352.1787	1
1352.1788	1
1352.1790	1
1352.1791	1
1352.1792	1
1352.1794	1
1352.1796	1
1352.1797	1
1352.1798	1
1352.1799	1
1352.1800	1
1352.1801	1
1352.1802	1
1352.1804	1
1352.1805	1
1352.1806	1
1352.1807	1
1352.1808	1
1352.1809	1
1352.1810	1
1352.1811	1
1352.1812	1
1352.1813	1
1352.1814	1
1352.1815	1
1352.1816	1
1352.1817	1
1352.1818	1
1352.1821	1
1352.1822	1
1352.1823	1
1352.1827	1
1352.1828	1
1352.1829	1
1352.1830	1
1352.1831	1
1352.1833	1
1352.1834	1
1352.1835	1
1352.1836	1
1352.1837	1
1352.1838	1
1352.1840	1
1352.1841	1
1352.1842	1
1352.1844	1
1352.1845	1
1352.1847	1
1352.1849	1
1352.1850	1
1352.1851	1
1352.1853	1
1352.1854	1
1352.1859	1
1352.1862	1
1352.1871	1
1352.1872	1
1352.1873	1
1352.1874	1
1352.1875	1
1352.1876	1
1352.1877	1
1352.1878	1
1352.1879	1
1352.1880	1
1352.1881	1
1352.1882	1
1352.1883	1
1352.1884	1
1352.1885	1
1352.1886	1
1352.1887	1
1352.1888	1
1352.1889	1
1352.1890	1
1352.1891	1
1352.1892	1
1352.1893	1
1352.1894	1
1352.1895	1
1352.1896	1
1352.1897	1
1352.1899	1
1352.1900	1
1352.1901	1
1352.1902	1
1352.1903	1
1352.1904	1
1352.1905	1
1352.1906	1
1352.1907	1
1352.1908	1
1352.1909	1
1352.1910	1
1352.1911	1
1352.1912	1
1352.1913	1
1352.1914	1
1352.1915	1
1352.1916	1
1352.1917	1
1352.1919	1
1352.1921	1
1352.1922	1
1352.1923	1
1352.1924	1
1352.1925	1
1352.1926	1
1352.1927	1
1352.1928	1
1352.1929	1
1352.1932	1
1352.1940	1
1352.1941	1
565646.5	1
565651.6	1
565664.22	1
565664.3	1
1351.1654	0
1351.1655	0
1351.434	0
1351.435	0
1351.436	0
1352.1458	0
1352.1459	0
1352.1460	0
1352.1462	0
1352.1463	0
1352.1465	0
1352.1467	0
1352.1469	0
1352.1470	0
1352.1471	0
1352.1472	0
1352.1474	0
1352.1475	0
1352.1478	0
1352.1479	0
1352.1480	0
1352.1481	0
1352.1482	0
1352.1483	0
1352.1484	0
1352.1486	0
1352.1488	0
1352.1489	0
1352.1490	0
1352.1491	0
1352.1492	0
1352.1493	0
1352.1494	0
1352.1495	0
1352.1497	0
1352.1498	0
1352.1501	0
1352.1502	0
1352.1503	0
1352.1504	0
1352.1506	0
1352.1507	0
1352.1508	0
1352.1510	0
1352.1513	0
1352.1518	0
1352.1520	0
1352.1522	0
1352.1523	0
1352.1524	0
1352.1526	0
1352.1527	0
1352.1529	0
1352.1531	0
1352.1532	0
1352.1533	0
1352.1535	0
1352.1539	0
1352.1540	0
1352.1541	0
1352.1543	0
1352.1544	0
1352.1548	0
1352.1550	0
1352.1551	0
1352.1552	0
1352.1553	0
1352.1555	0
1352.1558	0
1352.1559	0
1352.1560	0
1352.1561	0
1352.1563	0
1352.1565	0
1352.1566	0
1352.1568	0
1352.1570	0
1352.1572	0
1352.1574	0
1352.1575	0
1352.1576	0
1352.1577	0
1352.1578	0
1352.1580	0
1352.1582	0
1352.1583	0
1352.1587	0
1352.1589	0
1352.1767	0
1352.1789	0
1352.1793	0
1352.1795	0
1352.1819	0
1352.1820	0
1352.1824	0
1352.1825	0
1352.1826	0
1352.1832	0
1352.1839	0
1352.1843	0
1352.1846	0
1352.1848	0
1352.1852	0
1352.1855	0
1352.1856	0
1352.1857	0
1352.1858	0
1352.1860	0
1352.1861	0
1352.1863	0
1352.1864	0
1352.1865	0
1352.1866	0
1352.1867	0
1352.1868	0
1352.1869	0
1352.1870	0
1352.1898	0
1352.1920	0
1352.4398	0
