	ciprofloxacin	cefoxitin	tobramycin	ceftazidime	aztreonam	cefepime	amoxicillin	trimethoprim	piperacillin_tazobactam	gentamicin	cefotaxime	cefuroxime	trimethoprim_sulfamethoxazole	ampicillin
1328433.3	1	1	2	1	2	2	2	2	2	0	1	2	1	1
1328434.3	1	1	2	1	2	2	2	2	2	0	1	2	1	1
1438684.3	1	1	2	1	2	2	2	2	2	1	1	2	1	1
1438685.3	1	1	2	1	2	2	2	2	2	1	1	2	0	1
1438686.3	1	1	2	0	2	2	2	2	2	0	2	2	1	1
562.12959	1	1	1	1	1	1	2	2	1	0	1	2	1	1
562.12960	1	1	1	1	1	1	2	2	1	1	1	2	1	1
562.13502	1	0	2	2	2	2	2	2	2	1	1	2	2	2
562.16324	1	1	1	1	1	1	2	2	2	1	1	2	1	1
562.16327	1	1	0	1	1	1	2	2	1	0	1	2	1	1
562.16466	1	1	1	1	1	1	2	1	1	1	2	2	1	1
562.17359	1	2	2	1	1	2	2	2	2	0	1	2	1	2
562.17620	1	1	2	1	1	1	2	2	1	0	1	2	1	1
562.17621	1	1	0	1	1	1	2	2	1	0	1	2	1	1
562.17721	1	1	1	1	1	1	2	2	1	1	1	2	1	1
562.17722	1	1	1	1	1	1	2	2	1	1	1	2	1	1
562.19090	1	1	2	1	2	1	2	1	2	1	1	2	2	1
562.19631	1	1	1	1	1	1	2	2	1	0	1	2	1	1
562.19632	1	1	0	1	1	1	2	2	1	1	1	2	1	1
562.19633	1	1	2	1	2	1	2	2	2	2	1	2	2	1
562.19821	1	1	2	1	2	1	2	2	1	2	1	2	2	1
562.19823	1	1	1	1	1	1	2	2	2	1	1	2	1	1
562.20499	1	1	0	1	1	1	2	2	1	0	1	2	0	1
562.22426	1	1	0	1	1	1	2	2	1	0	1	2	0	1
562.22429	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22431	1	2	0	0	0	0	2	1	0	0	0	0	2	1
562.22432	1	0	1	2	1	2	2	1	0	0	1	1	2	1
562.22434	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22440	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22442	1	0	1	0	0	0	2	1	0	0	0	0	2	1
562.22455	1	0	1	0	0	0	2	1	0	1	0	0	2	1
562.22457	1	2	1	0	0	0	2	1	1	0	0	1	2	1
562.22460	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22465	1	0	2	0	0	0	2	1	0	1	0	0	2	1
562.22471	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22478	1	0	0	1	1	1	2	0	0	0	1	1	2	1
562.22479	1	0	1	1	1	1	2	1	0	0	1	1	2	1
562.22481	1	2	0	2	1	2	2	1	0	0	1	1	2	1
562.22483	1	0	0	0	0	0	2	1	0	0	0	0	2	0
562.22484	1	0	0	0	0	0	2	1	0	0	0	0	2	0
562.22488	1	0	0	1	1	2	2	1	0	0	1	1	2	1
562.22491	1	0	1	0	0	0	2	1	0	0	1	1	2	1
562.22495	1	0	0	0	0	0	2	1	0	0	0	0	2	0
562.22496	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22499	1	0	1	0	0	0	2	1	0	1	0	0	2	1
562.22501	1	2	0	1	0	0	2	1	2	0	1	1	2	1
562.22503	1	2	1	1	1	1	2	0	0	1	1	1	2	1
562.22518	1	0	1	0	0	0	2	1	0	0	1	1	2	1
562.22527	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22531	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22536	1	0	1	1	1	1	2	1	0	0	1	1	2	1
562.22539	1	0	1	0	0	0	2	1	0	0	0	1	2	1
562.22541	1	0	1	2	1	2	2	1	0	0	1	1	2	1
562.22551	1	0	0	1	1	0	2	1	0	0	0	0	2	1
562.22560	1	1	1	2	1	0	2	1	2	0	0	1	2	1
562.22565	1	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22582	1	0	1	0	0	0	2	0	0	1	0	1	2	1
562.22583	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22586	1	1	0	2	2	0	2	1	0	0	0	1	2	1
562.22588	1	0	1	0	0	0	2	1	0	0	1	1	2	1
562.22595	1	0	1	0	0	0	2	1	0	0	0	1	2	1
562.22596	1	2	1	0	0	0	2	1	0	1	0	1	2	1
562.22601	1	0	0	0	0	0	2	1	0	0	0	0	2	0
562.22602	1	0	0	0	0	0	2	1	0	0	0	0	2	0
562.22611	1	0	1	0	0	0	2	1	0	0	1	1	2	1
562.22620	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22622	1	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22626	1	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22630	1	2	0	0	0	0	2	1	0	0	0	1	2	1
562.22631	1	0	0	0	0	0	2	0	0	0	0	0	2	0
562.22636	1	0	0	0	0	0	2	1	0	0	0	0	2	0
562.22642	1	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22647	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22650	1	0	2	0	0	0	2	1	1	1	0	0	2	1
562.22651	1	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22655	1	0	1	2	1	2	2	1	0	1	1	1	2	1
562.22657	1	0	0	0	0	0	2	0	2	0	0	0	2	1
562.22669	1	0	1	2	2	0	2	1	0	0	1	1	2	1
562.22672	1	0	1	0	0	0	2	1	0	1	0	0	2	1
562.22677	1	0	1	0	0	0	2	1	2	1	0	1	2	1
562.22680	1	0	1	1	1	1	2	1	1	0	1	1	2	1
562.22691	1	0	1	0	0	0	2	0	0	1	0	0	2	1
562.22694	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22700	1	0	1	1	1	2	2	1	0	1	1	1	2	1
562.22708	1	2	1	0	0	0	2	1	0	1	0	1	2	1
562.22717	1	0	1	2	1	2	2	0	0	1	1	1	2	1
562.22718	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22721	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22724	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22733	1	0	0	2	1	2	2	0	0	0	1	1	2	1
562.22746	1	0	0	0	0	0	2	0	0	0	0	0	2	1
562.22754	1	0	1	2	1	2	2	1	0	1	1	1	2	1
562.22761	1	0	0	0	0	0	2	2	2	0	0	0	2	1
562.22765	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22767	1	0	0	0	0	0	2	1	0	0	0	0	2	1
562.22768	1	0	1	1	1	1	2	1	0	0	1	1	2	1
562.22770	1	0	0	0	0	0	2	0	2	0	0	0	2	1
562.22783	1	0	1	0	0	0	2	1	0	0	1	1	2	1
562.22787	1	0	0	2	2	0	2	1	0	0	1	1	2	1
562.22794	1	0	1	0	0	0	2	1	0	1	0	0	2	1
562.22797	1	2	0	0	0	0	2	0	0	0	0	1	2	0
562.22806	1	0	1	0	0	0	2	1	1	0	0	0	2	1
562.22811	1	0	0	2	2	0	2	1	0	0	1	1	2	1
562.22813	1	0	1	2	2	0	2	1	0	0	1	1	2	1
562.22821	1	0	1	1	1	1	2	1	0	1	1	1	2	1
562.22822	1	0	0	1	1	2	2	1	0	0	1	1	2	1
562.22843	1	2	2	0	2	2	1	2	0	0	2	0	2	2
562.22847	1	2	2	0	2	2	1	2	2	0	2	1	2	2
562.22854	1	2	2	0	2	2	0	2	0	1	2	1	2	2
562.22860	1	2	2	0	2	2	1	2	2	0	2	1	2	2
562.22865	1	2	2	0	2	2	1	2	0	1	2	0	2	2
562.22867	1	2	2	0	2	2	1	2	0	1	2	0	2	2
562.22868	1	2	2	0	2	2	0	2	0	1	2	0	2	2
562.22879	1	0	0	0	0	0	2	1	0	0	0	0	2	0
562.22918	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.22920	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.22923	1	2	2	0	2	2	0	2	0	1	0	0	2	2
562.22927	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.22933	1	2	2	0	2	2	1	2	2	0	0	1	2	2
562.22942	1	2	2	0	2	2	1	2	1	0	0	0	2	2
562.22997	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23028	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23029	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23047	1	2	2	1	2	2	1	2	1	1	1	1	2	2
562.23053	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23066	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23076	1	2	2	1	2	2	1	2	0	0	1	1	2	2
562.23078	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23079	1	2	2	0	2	2	1	2	1	0	0	0	2	2
562.23095	1	2	2	0	2	2	0	2	0	0	0	0	2	2
562.23096	1	2	2	0	2	2	1	2	1	1	0	0	2	2
562.23098	1	2	2	0	2	2	1	2	1	0	0	0	2	2
562.23100	1	2	2	0	2	2	0	2	0	0	0	1	2	2
562.23108	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23117	1	2	2	0	2	2	0	2	2	0	0	0	2	2
562.23129	1	2	2	0	2	2	0	2	0	0	0	0	2	2
562.23134	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23141	1	2	2	0	2	2	1	2	0	1	2	0	2	2
562.23144	1	2	2	1	2	2	1	2	1	0	1	1	2	2
562.23159	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23167	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23170	1	2	2	0	2	2	0	2	0	0	0	0	2	2
562.23181	1	2	2	1	2	2	1	2	0	0	1	1	2	2
562.23189	1	2	2	0	2	2	1	2	2	0	1	1	2	2
562.23191	1	2	2	0	2	2	0	2	0	0	0	0	2	2
562.23194	1	2	2	0	2	2	1	2	0	0	1	1	2	2
562.23195	1	2	2	0	2	2	1	2	2	0	1	1	2	2
562.23199	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23200	1	2	2	0	2	2	1	2	1	0	0	1	2	2
562.23205	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23212	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23226	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23229	1	2	2	1	2	2	1	2	1	0	1	1	2	2
562.23231	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23233	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23239	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23248	1	2	2	0	2	2	0	2	0	0	0	0	2	2
562.23255	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23259	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23261	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23272	1	2	2	2	2	2	1	2	2	0	0	1	2	2
562.23273	1	2	2	2	2	2	1	2	0	0	1	1	2	2
562.23282	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23284	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23286	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23287	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23288	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23305	1	2	2	0	2	2	1	2	0	1	0	1	2	2
