	ceftazidime	levofloxacin	tetracycline	cefazolin	gentamicin	trimethoprim_sulfamethoxazole	ceftriaxone	amikacin	aztreonam	piperacillin_tazobactam	meropenem	cefepime	imipenem	cefoxitin	ciprofloxacin	ertapenem	tobramycin
1134687.63	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0
1284787.3	1	1	2	2	1	1	2	0	1	1	1	1	1	2	1	1	1
1284788.3	1	1	2	2	0	1	2	2	1	1	1	1	1	2	1	1	1
1284789.4	1	1	2	2	0	0	2	2	1	1	1	1	1	2	1	1	1
1284790.3	1	1	2	2	0	1	2	2	1	1	1	1	1	2	1	1	1
1284791.4	1	1	2	2	0	1	2	2	1	1	1	1	1	2	1	1	1
1284792.4	1	1	2	2	1	1	2	0	1	1	1	2	1	2	1	1	1
1284793.4	1	1	2	2	1	1	2	0	1	1	1	1	1	2	1	1	1
1284794.4	1	1	2	2	1	1	2	0	1	1	1	2	1	2	1	1	1
1284795.4	1	1	2	2	1	1	2	0	1	1	1	2	1	2	1	1	1
1284796.3	1	1	2	2	0	1	2	0	1	1	1	1	1	2	1	1	2
1284797.4	1	0	2	2	0	0	2	0	1	1	1	0	1	2	0	1	2
1284798.4	1	1	2	2	0	1	2	0	1	1	1	2	1	2	1	1	2
1284799.4	1	1	2	2	1	1	2	0	1	1	1	1	1	2	1	1	1
1284800.4	1	1	2	2	0	0	2	0	1	1	1	1	1	2	1	1	1
1284801.3	1	1	2	2	1	1	2	0	1	1	1	2	1	2	1	1	1
1284802.4	1	1	2	2	0	1	2	2	1	1	1	1	1	2	1	1	1
1284803.4	1	1	2	2	1	1	2	0	1	1	1	2	1	2	1	1	1
1284804.4	1	1	2	2	0	1	2	0	1	1	1	1	1	2	1	1	1
1284805.4	1	1	2	2	1	1	2	0	1	1	0	2	2	2	1	1	1
1284806.4	1	1	2	2	1	1	2	0	1	2	1	2	1	2	1	1	1
1284807.4	1	1	2	2	0	1	2	0	1	1	1	1	1	2	1	1	1
1284808.4	1	1	2	2	0	0	2	2	1	1	1	1	1	2	1	1	1
1284809.4	1	1	2	2	1	1	2	0	1	1	1	1	1	2	1	1	1
