	moxifloxacin	azithromycin	clarithromycin
1496.1000	1	0	0
1496.1001	1	1	1
1496.1002	1	1	1
1496.1003	1	1	1
1496.1005	1	1	1
1496.1009	1	0	0
1496.1011	1	1	1
1496.1014	1	1	1
1496.1015	1	1	1
1496.1020	1	1	1
1496.1030	1	1	1
1496.1034	1	1	1
1496.1035	1	1	1
1496.1036	1	1	1
1496.1038	1	1	1
1496.1039	1	1	1
1496.1041	1	1	1
1496.1043	1	1	1
1496.1046	1	1	1
1496.1049	1	1	1
1496.1050	1	1	1
1496.1051	1	1	1
1496.1054	1	1	1
1496.1059	1	0	0
1496.1060	1	1	1
1496.1063	1	1	1
1496.1064	1	1	1
1496.1066	1	1	1
1496.1067	1	1	1
1496.1069	1	1	1
1496.1070	1	1	1
1496.1071	1	1	1
1496.1072	1	1	1
1496.1074	1	1	1
1496.1077	1	1	1
1496.1080	1	1	1
1496.1084	1	1	1
1496.1085	1	1	1
1496.1086	1	1	1
1496.1087	1	1	1
1496.1089	1	1	1
1496.1092	1	1	1
1496.1094	1	1	1
1496.1096	1	1	1
1496.1101	1	1	1
1496.1108	1	1	1
1496.1109	1	1	1
1496.1116	1	1	1
1496.1117	1	1	1
1496.1118	1	1	1
1496.1120	1	1	1
1496.1123	1	1	1
1496.1125	1	0	0
1496.1127	1	1	1
1496.1128	1	1	1
1496.1130	1	1	1
1496.1132	1	1	1
1496.1137	1	1	1
1496.1142	1	1	1
1496.1143	1	1	1
1496.1146	1	1	1
1496.1148	1	1	1
1496.1152	1	1	1
1496.1155	1	1	1
1496.1157	1	0	0
1496.1159	1	1	1
1496.1160	1	1	1
1496.1164	1	1	1
1496.1166	1	1	1
1496.1173	1	1	1
1496.1174	1	1	1
1496.1176	1	1	1
1496.1180	1	1	1
1496.1183	1	1	1
1496.1186	1	1	1
1496.1189	1	1	1
1496.1191	1	1	1
1496.1192	1	1	1
1496.1198	1	1	1
1496.1200	1	1	1
1496.1202	1	1	1
1496.1204	1	1	1
1496.1205	1	1	1
1496.1208	1	1	1
1496.1209	1	1	1
1496.1211	1	1	1
1496.1213	1	1	1
1496.1214	1	1	1
1496.1215	1	1	1
1496.1221	1	1	1
1496.1222	1	1	1
1496.1224	1	1	1
1496.1225	1	1	1
1496.1226	1	0	0
1496.1228	1	1	1
1496.1234	1	1	1
1496.1235	1	0	0
1496.1237	1	1	1
1496.1239	1	1	1
1496.1245	1	1	1
1496.1246	1	1	1
1496.899	1	1	1
1496.901	1	1	1
1496.902	1	1	1
1496.903	1	1	1
1496.904	1	0	1
1496.905	1	1	1
1496.906	1	1	1
1496.912	1	1	1
1496.913	1	1	1
1496.914	1	1	1
1496.918	1	1	1
1496.920	1	1	1
1496.922	1	1	1
1496.923	1	1	1
1496.924	1	1	1
1496.925	1	1	1
1496.926	1	1	1
1496.929	1	0	0
1496.930	1	1	1
1496.931	1	1	1
1496.935	1	1	1
1496.937	1	0	0
1496.939	1	1	1
1496.941	1	1	1
1496.946	1	1	1
1496.947	1	1	1
1496.950	1	1	1
1496.954	1	1	1
1496.959	1	1	1
1496.960	1	1	1
1496.961	1	1	1
1496.962	1	1	1
1496.964	1	1	1
1496.965	1	1	1
1496.971	1	1	1
1496.974	1	1	1
1496.975	1	1	1
1496.976	1	1	1
1496.981	1	1	1
1496.982	1	1	1
1496.983	1	1	1
1496.987	1	1	1
1496.988	1	1	1
1496.990	1	1	1
1496.995	1	1	1
1496.998	1	1	1
