	levofloxacin	imipenem	amikacin	ciprofloxacin	ceftazidime	cefepime	meropenem
1402490.3	1	0	0	1	0	2	2
1402491.3	1	1	1	1	2	2	2
1402492.3	1	0	0	1	0	2	2
1402494.3	1	0	0	1	1	2	2
1402496.3	1	0	0	1	0	2	2
1402499.3	1	0	0	2	0	2	2
1402500.3	1	1	0	1	0	2	2
1402501.3	1	0	0	1	1	2	2
1402502.3	1	1	0	1	0	2	2
1402503.3	1	1	0	1	0	2	2
1402506.3	1	1	0	1	1	2	2
1402507.3	1	1	1	1	2	2	2
1402517.3	1	0	0	1	0	2	2
1402533.3	1	0	0	1	0	2	2
1402536.3	1	0	0	0	0	2	2
1402540.3	1	0	0	1	0	2	2
1402544.3	1	0	0	1	0	2	2
1402548.3	1	0	0	1	2	2	2
1402558.3	1	2	0	1	0	2	2
1418235.3	1	0	0	1	0	2	2
1418236.3	1	0	0	0	0	2	2
1418239.3	1	1	0	1	0	2	2
1418246.3	1	2	0	1	0	2	2
1611770.3	1	1	0	1	1	2	1
287.1000	1	2	1	2	2	2	0
287.1004	1	2	1	2	2	2	1
287.1007	1	2	0	2	2	2	1
287.1010	1	2	1	2	2	2	1
287.1011	1	2	1	2	2	2	1
287.1013	1	2	0	2	2	2	1
287.1016	1	2	0	2	2	2	1
287.1018	1	2	2	2	2	2	0
287.1019	1	2	0	2	2	2	0
287.1021	1	2	1	2	2	2	1
287.1024	1	2	0	2	2	2	1
287.1029	1	2	0	2	2	2	1
287.1033	1	2	0	2	2	2	1
287.1042	1	2	0	2	2	2	1
287.1045	1	2	1	2	2	2	1
287.1050	1	2	0	2	2	2	1
287.1051	1	2	0	2	2	2	0
287.1052	1	2	0	2	2	2	0
287.1053	1	2	2	2	2	2	0
287.1054	1	2	0	2	2	2	1
287.1058	1	2	0	2	2	2	1
287.1060	1	2	0	2	2	2	1
287.1062	1	2	1	2	2	2	1
287.1063	1	2	0	2	2	2	0
287.1067	1	2	1	2	2	2	1
287.1069	1	2	0	2	2	2	0
287.1070	1	2	0	2	2	2	0
287.1072	1	2	0	2	2	2	0
287.1078	1	2	1	2	2	2	1
287.1079	1	2	1	2	2	2	1
287.1084	1	2	0	2	2	2	1
287.1087	1	2	0	2	2	2	0
287.1088	1	2	0	2	2	2	0
287.1092	1	2	2	2	2	2	1
287.1095	1	2	0	2	2	2	1
287.1096	1	2	1	2	2	2	1
287.1097	1	2	1	2	2	2	0
287.1100	1	2	1	2	2	2	0
287.1103	1	2	0	2	2	2	1
287.1104	1	2	0	2	2	2	0
287.1108	1	2	1	2	2	2	1
287.1109	1	2	1	2	2	2	1
287.1111	1	2	1	2	2	2	1
287.1112	1	2	0	2	2	2	0
287.1119	1	2	1	2	2	2	1
287.1123	1	2	1	2	2	2	1
287.1124	1	2	1	2	2	2	1
287.1125	1	2	1	2	2	2	1
287.1126	1	2	0	2	2	2	1
287.1127	1	2	0	2	2	2	1
287.1128	1	2	0	2	2	2	0
287.1130	1	2	0	2	2	2	1
287.1131	1	2	2	2	2	2	1
287.1132	1	2	0	2	2	2	1
287.1133	1	2	0	2	2	2	1
287.1134	1	2	1	2	2	2	1
287.1135	1	2	0	2	2	2	1
287.1136	1	2	1	2	2	2	2
287.1138	1	2	1	2	2	2	1
287.1139	1	2	2	2	2	2	1
287.1140	1	2	1	2	2	2	1
287.1141	1	2	1	2	2	2	1
287.1142	1	2	1	2	2	2	1
287.1143	1	2	2	2	2	2	0
287.1144	1	2	0	2	2	2	1
287.1145	1	2	0	2	2	2	1
287.1146	1	2	1	2	2	2	1
287.1147	1	2	1	2	2	2	1
287.1148	1	2	2	2	2	2	1
287.1150	1	2	2	2	2	2	1
287.1151	1	2	0	2	2	2	1
287.1152	1	2	0	2	2	2	0
287.1153	1	2	1	2	2	2	1
287.1158	1	2	1	2	2	2	1
287.1159	1	2	0	2	2	2	0
287.1160	1	2	1	2	2	2	1
287.1162	1	2	2	2	2	2	2
287.1163	1	2	1	2	2	2	1
287.1164	1	2	1	2	2	2	1
287.1165	1	2	1	2	2	2	1
287.1166	1	2	0	2	2	2	0
287.1169	1	2	0	2	2	2	1
287.1171	1	2	0	2	2	2	1
287.1172	1	2	0	2	2	2	0
287.1176	1	2	0	2	2	2	1
287.1178	1	2	1	2	2	2	1
287.1179	1	2	1	2	2	2	1
287.1180	1	2	0	2	2	2	0
287.1181	1	2	1	2	2	2	1
287.1182	1	2	0	2	2	2	1
287.1183	1	2	0	2	2	2	0
287.1184	1	2	0	2	2	2	1
287.1185	1	2	0	2	2	2	0
287.1188	1	2	0	2	2	2	1
287.1192	1	2	0	2	2	2	1
287.1195	1	2	1	2	2	2	1
