	chloramphenicol	gentamicin	ceftiofur	sulfisoxazole	streptomycin	ampicillin	cefoxitin	ceftriaxone	tetracycline
108619.101	1	2	1	1	1	1	1	1	1
108619.160	1	1	0	1	1	1	0	0	1
108619.172	1	0	1	1	1	1	1	1	1
108619.38	1	2	1	1	1	1	1	1	1
108619.39	1	2	1	1	1	1	1	1	1
108619.40	1	2	1	1	1	1	1	1	1
108619.41	1	2	1	1	1	1	1	1	1
108619.42	1	2	1	1	1	1	1	1	1
108619.43	1	2	1	1	1	1	1	1	1
108619.44	1	2	1	1	1	1	1	1	1
108619.45	1	2	1	1	1	1	1	1	1
108619.46	1	2	1	1	1	1	1	1	1
108619.47	1	2	1	1	1	1	1	1	1
108619.48	1	2	1	1	1	1	1	1	1
108619.49	1	2	1	1	1	1	1	1	1
108619.50	1	2	1	1	1	1	1	1	1
108619.51	1	2	1	1	1	1	1	1	1
108619.84	1	2	1	1	1	1	1	1	1
108619.85	1	2	1	1	1	1	1	1	1
108619.86	1	2	1	1	1	1	1	1	1
108619.87	1	2	1	1	1	1	1	1	1
108619.88	1	2	1	1	1	1	1	1	1
108619.89	1	2	1	1	1	1	1	1	1
108619.90	1	2	1	1	1	1	1	1	1
108619.91	1	2	1	1	1	1	1	1	1
108619.92	1	2	1	1	1	1	1	1	1
108619.93	1	2	1	1	1	1	1	1	1
108619.94	1	2	1	1	1	1	1	1	1
108619.95	1	2	1	1	1	1	1	1	1
108619.96	1	2	1	1	1	1	1	1	1
108619.97	1	2	1	1	1	1	1	1	1
108619.98	1	2	1	1	1	1	1	1	1
149539.889	1	2	2	0	1	1	2	2	1
149539.896	1	2	2	1	1	1	2	2	1
1620419.55	1	0	0	1	1	1	0	0	1
1620419.59	1	0	0	1	1	1	0	0	1
1620419.60	1	0	0	1	1	1	0	0	1
1620419.62	1	0	0	1	1	1	0	0	1
1620419.67	1	0	0	1	1	1	0	0	1
28147.40	1	1	1	1	1	1	1	1	1
28150.17	1	0	1	1	1	1	1	1	0
28901.761	1	0	0	0	0	0	0	0	1
28901.762	1	1	0	1	1	1	0	0	1
28901.765	1	0	0	1	1	1	0	0	1
28901.766	1	0	0	1	0	0	0	0	1
28901.767	1	0	0	1	1	0	0	0	1
28901.776	1	1	1	1	1	1	1	1	0
28901.783	1	0	0	0	0	0	0	0	1
28901.787	1	1	1	1	0	1	0	1	1
28901.791	1	0	0	1	0	1	0	0	1
28901.792	1	0	1	1	1	1	1	1	1
28901.808	1	0	0	1	1	1	0	0	1
28901.817	1	1	0	1	1	1	1	0	1
28901.8200	1	1	0	1	1	1	0	0	1
