	tetracycline	trimethoprim_sulfamethoxazole	clindamycin	ciprofloxacin	methicillin	oxacillin	gentamicin	erythromycin	penicillin
1280.10018	1	2	2	0	0	2	0	0	1
1280.10019	1	2	2	0	0	2	0	1	1
1280.10038	1	2	2	0	0	2	0	0	1
1280.10045	1	2	2	0	0	2	0	0	1
1280.16550	1	0	1	2	2	1	1	1	1
1280.16761	1	1	0	2	2	1	1	0	1
1280.16763	1	0	1	1	2	1	1	0	1
1280.7334	1	1	1	1	2	2	1	1	2
1280.7337	1	1	1	1	2	2	1	1	2
1280.7343	1	1	1	1	2	2	1	1	2
1280.7349	1	1	1	1	2	2	1	1	2
1280.7352	1	1	1	1	2	2	1	1	2
1280.7354	1	1	1	1	2	2	1	1	2
1280.7355	1	1	1	1	2	2	1	1	2
1280.7356	1	1	1	1	2	2	1	1	2
1280.7357	1	1	1	1	2	2	1	1	2
1280.7359	1	1	1	1	2	2	1	1	2
1280.7360	1	1	1	1	2	2	1	1	2
1280.7361	1	1	1	1	2	2	1	1	2
1280.7362	1	1	1	1	2	2	1	1	2
1280.7363	1	1	1	1	2	2	1	1	2
1280.7374	1	0	1	0	2	2	1	1	2
1280.7375	1	0	1	0	2	2	1	1	2
1280.7376	1	0	1	0	2	2	1	1	2
1280.7420	1	2	2	0	0	2	0	0	1
1280.7951	1	2	2	0	0	2	0	0	1
1280.8055	1	2	2	0	0	2	0	0	1
1280.8236	1	2	2	0	1	2	0	0	1
1280.8269	1	2	2	0	0	2	0	0	1
1280.8275	1	2	2	0	0	2	0	0	1
1280.8285	1	2	2	0	0	2	0	0	1
1280.8305	1	2	2	0	0	2	0	0	1
1280.8309	1	2	2	0	0	2	0	0	1
1280.8344	1	2	2	0	0	2	0	0	0
1280.8410	1	2	0	0	0	2	0	0	1
1280.8460	1	2	2	0	0	2	0	0	1
1280.8466	1	2	2	0	0	2	0	0	1
1280.8520	1	2	1	1	1	2	0	1	1
1280.8613	1	2	2	0	0	2	0	0	0
1280.8617	1	2	2	0	0	2	0	1	1
1280.8687	1	2	1	0	0	2	0	1	1
1280.8736	1	2	1	1	1	2	0	1	1
1280.8760	1	2	0	0	1	2	0	0	1
1280.8766	1	2	0	0	1	2	0	0	1
1280.8773	1	2	2	0	0	2	0	0	1
1280.8833	1	2	2	0	0	2	0	0	1
1280.8840	1	1	1	1	2	2	1	1	2
1280.8844	1	1	1	1	2	2	1	1	2
1280.8845	1	1	1	1	2	2	1	1	2
1280.8848	1	1	1	1	2	2	1	1	2
1280.8849	1	1	1	1	2	2	1	1	2
1280.9188	1	1	0	1	2	2	0	0	2
1280.9189	1	1	1	1	2	2	1	1	2
1280.9192	1	1	1	1	2	2	1	1	2
1280.9197	1	1	1	1	2	2	1	1	2
1280.9199	1	1	1	1	2	2	1	1	2
1280.9200	1	1	1	1	2	2	1	1	2
1280.9202	1	1	1	1	2	2	1	1	2
1280.9204	1	1	1	1	2	2	1	1	2
1280.9206	1	1	1	1	2	2	1	1	2
1280.9207	1	1	1	1	2	2	1	1	2
1280.9209	1	1	1	1	2	2	1	1	2
1280.9211	1	1	1	1	2	2	1	1	2
1280.9212	1	1	1	1	2	2	1	1	2
