	chloramphenicol	erythromycin	penicillin	trimethoprim_sulfamethoxazole	tetracycline
1313.17170	1	1	0	1	1
1313.17229	1	0	0	0	1
1313.17294	1	1	2	1	1
1313.5430	1	2	2	2	2
1313.5461	1	1	2	2	1
1313.5465	1	1	1	2	1
1313.5466	1	1	2	2	1
1313.5487	1	1	2	2	1
1313.5503	1	1	1	2	0
1313.5529	1	1	2	2	1
1313.5558	1	0	1	2	1
1313.5560	1	1	2	2	1
1313.5572	1	1	1	2	1
1313.5574	1	1	2	2	1
1313.5586	1	1	1	2	1
1313.5588	1	1	2	2	2
1313.5613	1	1	2	2	0
1313.5621	1	1	2	2	1
1313.5624	1	1	2	2	1
1313.5634	1	1	1	2	1
1313.5645	1	1	1	2	1
1313.5662	1	1	2	2	1
1313.5676	1	2	1	2	1
1313.5683	1	1	2	2	1
1313.5685	1	1	2	2	1
1313.5691	1	1	2	2	1
1313.5695	1	1	2	2	1
1313.5707	1	1	2	2	1
1313.5722	1	1	2	2	1
1313.5723	1	1	1	2	0
1313.5729	1	1	1	2	1
1313.5746	1	1	1	2	1
1313.5759	1	1	2	2	1
1313.5766	1	2	2	2	2
1313.5770	1	1	2	2	1
1313.5796	1	1	2	2	1
1313.5838	1	1	2	2	1
1313.5846	1	1	2	2	1
1313.5865	1	0	1	2	1
1313.5870	1	1	2	2	1
1313.5875	1	1	1	2	1
1313.5876	1	1	2	2	1
1313.5900	1	2	2	2	2
1313.5902	1	1	2	2	1
1313.5910	1	1	2	2	1
1313.5947	1	1	2	2	1
1313.5956	1	1	2	2	1
1313.5960	1	1	2	2	1
1313.5982	1	1	2	2	1
1313.5984	1	1	2	2	1
1313.5989	1	1	2	2	1
1313.6002	1	1	1	2	1
1313.6007	1	1	2	2	1
1313.6043	1	1	2	2	1
1313.6068	1	1	1	2	1
1313.6073	1	1	2	2	1
1313.6081	1	1	2	2	1
1313.6084	1	1	2	2	1
1313.6092	1	1	2	2	1
1313.6119	1	1	2	2	1
1313.6121	1	1	2	2	1
1313.6127	1	1	2	2	1
1313.6154	1	0	1	2	1
1313.6155	1	1	2	2	1
1313.6163	1	0	1	2	0
1313.6175	1	1	2	2	1
1313.6178	1	1	2	2	1
1313.6197	1	0	1	2	1
1313.6201	1	1	2	2	1
1313.6212	1	1	1	2	1
1313.6213	1	2	2	2	2
1313.6228	1	1	2	2	1
1313.6230	1	1	2	2	1
1313.6239	1	0	2	2	1
1313.6273	1	1	2	2	1
1313.6279	1	1	2	2	1
1313.6298	1	1	2	2	1
1313.6303	1	1	2	2	1
1313.6308	1	1	2	2	1
1313.6313	1	1	2	2	1
1313.6326	1	1	2	2	1
1313.6344	1	1	2	2	1
1313.6351	1	1	2	2	1
1313.6354	1	0	1	2	1
1313.6377	1	0	1	2	1
1313.6401	1	1	2	2	1
1313.6447	1	1	2	2	1
1313.6455	1	1	2	2	1
1313.6492	1	1	2	2	1
1313.6678	1	1	2	2	1
1313.6682	1	2	2	2	2
1313.6700	1	1	2	2	1
1313.6705	1	2	2	2	2
1313.6708	1	1	2	2	1
1313.6710	1	1	2	2	1
1313.6711	1	1	2	2	1
1313.6713	1	1	2	2	1
1313.6714	1	1	2	2	1
1313.6715	1	1	2	2	1
1313.6716	1	1	2	2	1
1313.6717	1	1	2	2	1
1313.6718	1	1	2	2	1
1313.6720	1	1	2	2	0
1313.6725	1	1	1	2	1
1313.6728	1	1	1	2	1
1313.6741	1	0	1	2	1
1313.6760	1	0	1	2	0
1313.6761	1	0	1	2	0
1313.6762	1	1	1	2	0
1313.6769	1	0	1	2	1
1313.6867	1	1	2	2	1
1313.7156	1	1	2	2	1
1313.9751	1	1	2	2	2
1313.9755	1	1	2	2	1
1313.9756	1	1	2	2	1
1313.9758	1	1	2	2	1
1313.9759	1	1	2	2	1
1313.9760	1	1	2	2	1
1313.9764	1	0	2	2	1
1313.9767	1	0	2	2	1
1313.9768	1	0	2	2	1
1313.9769	1	0	2	2	1
1313.9770	1	0	2	2	1
1313.9775	1	0	2	2	1
1313.9824	1	0	2	2	1
1313.9825	1	0	2	2	1
1313.9827	1	0	2	2	1
1313.9839	1	0	2	2	1
1313.9845	1	0	2	2	1
1313.9851	1	1	2	2	1
1313.9853	1	1	2	2	1
1313.9867	1	0	2	2	1
1313.9936	1	1	2	2	2
1313.9941	1	0	2	2	1
1313.9942	1	0	2	2	1
1313.9943	1	0	2	2	1
1313.9944	1	1	2	2	1
1313.9945	1	1	2	2	0
1313.9946	1	1	2	2	1
760763.3	1	1	1	1	1
760765.3	1	1	1	1	1
760770.3	1	1	2	1	1
760772.3	1	1	0	0	1
760798.3	1	1	0	0	1
760806.3	1	1	0	0	1
760814.3	1	1	2	1	1
760823.3	1	1	1	1	1
760839.3	1	1	2	2	1
760842.3	1	1	0	0	1
760844.3	1	1	1	1	1
760887.3	1	1	1	0	0
760888.3	1	0	0	0	0
1069623.3	0	1	1	1	0
1069624.3	0	1	1	1	0
1069625.3	0	1	1	0	0
1069626.3	0	1	1	2	1
1069627.3	0	1	2	1	0
1069628.3	0	1	1	1	1
1105115.3	0	1	2	0	0
1105116.3	0	1	1	1	0
1105117.3	0	1	0	0	0
1105118.3	0	1	1	1	0
1105119.3	0	1	2	1	0
1105120.3	0	1	2	1	0
1105121.3	0	1	1	1	1
1131627.3	0	1	0	0	1
1131628.3	0	1	0	2	1
1131629.3	0	1	0	0	0
1131630.3	0	1	2	0	0
1311.2189	0	1	0	2	0
1313.17135	0	0	0	0	0
1313.17136	0	0	0	0	0
1313.17137	0	1	2	1	1
1313.17138	0	1	1	1	1
1313.17139	0	1	0	0	0
1313.17140	0	1	0	0	0
1313.17141	0	0	0	0	0
1313.17142	0	0	0	0	0
1313.17143	0	0	0	0	0
1313.17144	0	0	0	0	0
1313.17145	0	0	0	0	0
1313.17146	0	0	0	1	0
1313.17147	0	0	0	0	0
1313.17148	0	0	0	0	0
1313.17149	0	0	0	0	0
1313.17150	0	1	0	0	0
1313.17151	0	0	0	0	0
1313.17152	0	0	0	0	0
1313.17153	0	0	0	0	0
1313.17154	0	0	0	0	0
1313.17155	0	0	0	0	0
1313.17156	0	0	0	0	0
1313.17157	0	0	0	0	0
1313.17158	0	0	0	2	0
1313.17159	0	0	0	0	0
1313.17160	0	0	0	0	0
1313.17161	0	0	0	0	0
1313.17162	0	0	0	0	0
1313.17163	0	0	0	0	0
1313.17164	0	0	0	0	0
1313.17165	0	0	0	0	0
1313.17166	0	1	0	0	0
1313.17167	0	1	0	0	0
1313.17168	0	0	0	2	0
1313.17169	0	0	0	0	0
1313.17171	0	1	0	0	0
1313.17172	0	0	0	2	0
1313.17173	0	0	0	0	0
1313.17174	0	0	0	0	0
1313.17175	0	0	0	0	0
1313.17176	0	0	0	0	0
1313.17177	0	0	0	2	0
1313.17178	0	0	0	2	0
1313.17179	0	0	0	0	0
1313.17180	0	1	0	2	0
1313.17181	0	0	0	0	0
1313.17182	0	1	0	2	0
1313.17183	0	0	0	2	0
1313.17184	0	0	0	2	0
1313.17185	0	1	0	2	0
1313.17186	0	1	0	1	0
1313.17187	0	1	0	1	0
1313.17188	0	1	0	2	0
1313.17189	0	1	0	2	0
1313.17190	0	0	0	0	0
1313.17191	0	1	0	2	0
1313.17192	0	1	0	2	0
1313.17193	0	1	0	2	0
1313.17194	0	1	0	2	0
1313.17195	0	1	0	2	0
1313.17196	0	1	0	2	0
1313.17197	0	1	0	2	0
1313.17198	0	1	0	2	0
1313.17199	0	1	0	2	0
1313.17200	0	1	0	2	0
1313.17201	0	1	0	2	0
1313.17202	0	0	0	0	0
1313.17203	0	1	0	2	0
1313.17204	0	1	0	2	0
1313.17205	0	1	0	1	0
1313.17206	0	1	0	0	2
1313.17207	0	1	0	2	0
1313.17208	0	1	0	2	0
1313.17209	0	0	0	0	0
1313.17210	0	1	0	0	0
1313.17211	0	1	0	0	0
1313.17212	0	0	0	0	0
1313.17213	0	1	0	0	0
1313.17214	0	1	0	0	0
1313.17215	0	1	0	0	0
1313.17216	0	1	0	0	0
1313.17217	0	0	0	0	0
1313.17218	0	1	0	0	0
1313.17219	0	1	0	0	0
1313.17220	0	1	0	0	0
1313.17221	0	0	0	0	0
1313.17222	0	1	0	0	0
1313.17223	0	0	0	0	0
1313.17224	0	0	0	0	0
1313.17225	0	0	0	0	0
1313.17226	0	0	0	0	0
1313.17227	0	0	0	0	0
1313.17228	0	0	0	0	0
1313.17230	0	0	0	0	0
1313.17231	0	0	0	0	0
1313.17232	0	0	0	0	0
1313.17233	0	0	0	0	0
1313.17234	0	0	0	0	0
1313.17235	0	0	0	0	0
1313.17236	0	0	0	0	0
1313.17237	0	0	0	0	0
1313.17238	0	0	0	0	0
1313.17239	0	0	0	0	0
1313.17240	0	0	0	0	0
1313.17241	0	0	0	0	0
1313.17242	0	0	0	0	0
1313.17243	0	0	0	0	0
1313.17244	0	0	0	0	0
1313.17245	0	0	0	0	0
1313.17246	0	0	0	0	0
1313.17247	0	0	0	0	0
1313.17248	0	0	0	0	0
1313.17249	0	0	0	0	0
1313.17250	0	0	0	0	0
1313.17251	0	0	0	0	0
1313.17252	0	0	0	0	0
1313.17253	0	0	0	0	0
1313.17254	0	0	0	0	0
