	amikacin	ceftazidime	ciprofloxacin	gentamicin	imipenem	meropenem	tetracycline	tobramycin	ceftriaxone	cefepime	levofloxacin	minocycline	ampicillin_sulbactam	doripenem	trimethoprim_sulfamethoxazole	piperacillin_tazobactam
GCA_001511995.1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2
GCA_001511915.1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2
GCA_001512055.1	1	1	2	1	1	1	1	1	2	2	2	2	2	2	2	2
GCA_001512195.1	1	1	2	1	2	2	1	2	2	2	2	2	2	2	2	2
GCA_000278685.1	1	1	1	1	0	2	1	1	1	1	1	2	2	2	1	2
GCA_000214965.2	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	2
GCA_000214985.2	1	0	1	1	0	2	1	1	1	0	1	2	2	2	1	2
GCA_000305295.1	1	1	1	1	0	2	1	1	1	1	1	2	2	2	1	2
GCA_000304695.1	1	1	1	1	1	1	0	1	1	2	1	2	2	2	1	2
GCA_000304655.1	1	1	1	1	1	1	0	1	1	2	1	2	2	2	1	2
GCA_000314655.1	1	1	1	1	0	2	1	1	1	1	1	2	2	2	1	2
GCA_000309175.1	1	1	1	1	0	2	1	1	1	1	1	2	2	2	0	2
GCA_000305255.1	1	1	1	1	0	2	1	1	1	1	1	2	2	2	1	2
GCA_000305315.1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	2
GCA_000335675.1	1	1	1	1	0	2	1	1	1	1	1	2	2	2	1	2
GCA_001028385.1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2
GCA_001028325.1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2
GCA_001028335.1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2
GCA_001028305.1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2
GCA_001027885.1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2
GCA_000830055.1	1	1	1	1	0	2	1	1	1	2	1	2	1	2	2	2
GCA_000808905.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000808775.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000809045.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000809005.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_016497185.1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2
GCA_016497065.1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2
GCA_016496965.1	1	1	1	1	1	1	2	0	2	2	2	2	2	2	2	2
GCA_016496985.1	1	1	1	0	1	1	2	0	2	2	2	2	2	2	2	2
GCA_016497085.1	1	1	1	1	1	1	2	0	2	2	2	2	2	2	2	2
GCA_002948925.1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1
GCA_002996805.1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
GCA_003006035.1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
GCA_003010675.1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
GCA_003010655.1	1	1	1	1	0	1	1	1	1	1	1	2	0	1	1	1
GCA_001441565.1	1	0	2	2	2	0	1	1	2	2	1	2	2	2	2	2
GCA_001442575.1	1	1	2	2	2	1	1	2	2	2	1	2	1	2	2	2
GCA_001443265.1	1	2	2	2	2	1	1	2	2	2	2	2	0	2	2	2
GCA_001444225.1	1	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2
GCA_001444255.1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2
GCA_001444265.1	1	2	2	2	1	1	1	1	2	2	2	2	0	2	2	2
GCA_016541605.2	1	2	2	2	2	2	1	2	2	2	2	2	0	2	2	2
GCA_016540905.2	1	2	2	2	2	1	1	1	2	2	2	2	1	2	1	2
GCA_016540705.2	1	2	2	2	2	1	0	2	2	2	2	2	1	2	1	2
GCA_016540345.2	1	2	1	2	1	1	1	2	2	2	1	2	1	2	2	2
GCA_016540405.2	1	2	1	2	1	1	1	1	2	2	1	2	2	2	2	2
GCA_016540295.2	1	2	1	2	1	1	2	2	2	2	1	2	1	2	2	2
GCA_016540315.2	1	1	2	2	2	1	2	2	2	2	1	2	2	2	2	2
GCA_016540065.2	1	2	1	2	1	1	1	2	2	2	2	2	1	2	2	2
GCA_016540125.2	1	2	1	2	1	1	0	1	2	2	2	2	2	2	2	2
GCA_016539365.2	1	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2
GCA_016539245.2	1	1	2	2	2	0	1	1	2	2	1	2	2	0	2	2
GCA_016538945.2	1	2	2	2	2	1	1	2	2	1	2	2	0	2	1	2
GCA_016538845.2	1	2	1	2	0	0	1	2	2	2	2	2	2	2	0	2
GCA_016537775.2	1	2	2	1	0	2	1	1	2	2	2	2	2	2	2	2
GCA_016537005.2	1	2	1	2	0	0	0	1	2	1	2	2	2	0	2	2
GCA_016536825.2	1	2	1	2	0	0	1	1	2	2	2	2	2	0	2	2
GCA_016536725.2	1	1	2	2	0	0	1	2	2	2	1	2	1	2	2	2
