	azithromycin	clindamycin	erythromycin	telithromycin	gentamicin	ciprofloxacin	nalidixic_acid	tetracycline
GCA_010213435.1	1	1	1	1	1	1	1	1
GCA_005132965.1	1	1	1	1	0	0	0	0
GCA_005085665.1	1	1	1	1	0	1	1	1
GCA_005132985.1	1	1	1	1	0	0	0	0
GCA_004923915.1	1	1	1	0	0	0	0	0
GCA_005098085.1	1	1	1	1	0	1	1	1
GCA_005201195.1	1	1	1	1	0	0	0	1
GCA_005191055.1	1	1	1	1	1	1	1	1
GCA_004989765.1	1	1	1	1	0	1	1	0
GCA_005167165.1	1	1	1	1	1	1	1	1
GCA_005353545.1	1	1	1	1	0	0	0	1
GCA_005373645.1	1	1	1	1	0	1	1	1
GCA_004818495.1	1	1	1	1	0	1	1	0
GCA_004902975.1	1	1	1	1	1	1	1	1
GCA_005281765.1	1	1	1	0	0	0	0	1
GCA_005283965.1	1	1	1	0	0	0	0	1
GCA_005283945.1	1	1	1	1	0	0	0	1
GCA_005287885.1	1	1	1	1	0	0	0	1
GCA_005286245.1	1	1	1	1	0	0	0	1
GCA_005286525.1	1	1	1	0	0	0	0	1
GCA_005286785.1	1	1	1	1	0	0	0	1
GCA_005286945.1	1	1	1	1	0	0	0	1
GCA_005285945.1	1	1	1	1	0	0	0	1
GCA_005289365.1	1	1	1	1	0	0	0	1
GCA_005289465.1	1	1	1	1	0	0	0	1
GCA_005288785.1	1	1	1	1	0	0	0	1
GCA_005289025.1	1	1	1	1	0	0	0	1
GCA_005290925.1	1	1	1	0	0	0	0	1
GCA_004804455.1	1	1	1	0	0	0	0	1
GCA_005291485.1	1	1	1	1	0	0	0	1
GCA_005291965.1	1	1	1	1	0	0	0	1
GCA_005292485.1	1	1	1	0	0	0	0	1
GCA_005292985.1	1	1	1	0	0	0	0	1
GCA_005293225.1	1	1	1	1	0	0	0	1
GCA_005293525.1	1	1	1	1	0	0	0	1
GCA_005291565.1	1	1	1	1	0	0	0	0
GCA_005294485.1	1	1	1	1	0	0	0	1
GCA_005295285.1	1	1	1	1	0	0	0	1
GCA_005295065.1	1	1	1	1	0	0	0	1
GCA_005295865.1	1	1	1	0	0	0	0	1
GCA_005297405.1	1	1	1	1	0	0	0	1
GCA_005297725.1	1	1	1	1	0	0	0	1
GCA_004973605.1	1	1	1	0	0	0	0	0
GCA_004973065.1	1	1	1	1	0	0	0	0
GCA_004973505.1	1	1	1	0	0	1	1	0
GCA_005206085.1	1	1	1	0	0	1	1	0
GCA_005149025.1	1	1	1	1	0	0	0	1
GCA_004972865.1	1	1	1	1	0	0	0	1
GCA_005148305.1	1	1	1	1	0	0	0	0
GCA_004975725.1	1	1	1	1	0	0	0	1
GCA_005150185.1	1	1	1	1	0	0	0	0
GCA_005178425.1	1	1	1	1	0	0	0	0
GCA_005020875.1	1	1	1	0	0	1	1	0
GCA_004976465.1	1	1	1	1	0	0	0	1
GCA_005011675.1	1	1	1	1	0	0	0	1
GCA_005205155.1	1	1	1	1	0	0	0	0
GCA_005326905.1	1	1	1	1	0	0	0	1
GCA_005327835.1	1	1	1	1	0	0	0	0
GCA_005329585.1	1	1	1	1	0	0	0	0
GCA_005331065.1	1	1	1	1	0	0	0	0
GCA_005332425.1	1	1	1	1	1	1	1	1
GCA_005334425.1	1	1	1	1	1	1	1	1
GCA_005335205.1	1	1	1	1	0	0	0	1
GCA_005358685.1	1	1	1	1	0	0	0	1
GCA_005358845.1	1	1	1	1	1	1	1	1
GCA_005359165.2	1	1	1	1	1	1	1	1
GCA_005360425.1	1	1	1	1	1	1	1	1
GCA_005362465.1	1	1	1	1	0	0	0	1
GCA_005363005.1	1	1	1	0	0	0	0	0
GCA_004874645.1	1	1	1	0	0	0	0	0
GCA_004876785.1	1	1	1	1	0	0	0	1
GCA_006364835.1	1	1	1	0	0	0	0	0
GCA_006359595.1	1	1	1	1	0	0	0	1
GCA_008890065.1	1	1	1	1	0	0	0	0
GCA_008897805.1	1	1	1	1	1	1	1	1
GCA_009011035.1	1	1	1	2	0	0	0	1
GCA_009153075.1	1	1	1	1	0	0	0	1
GCA_014344715.1	1	1	1	2	0	0	0	1
GCA_010216055.1	1	1	1	2	0	1	1	1
GCA_011646215.1	1	0	1	2	1	1	1	1
GCA_013766325.1	1	1	1	2	0	0	0	1
GCA_001418825.1	1	1	1	1	1	1	1	1
GCA_001419005.1	1	1	1	1	1	1	1	1
GCA_001419015.1	1	1	1	1	1	1	1	1
GCA_001419265.1	1	1	1	1	1	1	1	1
GCA_001419275.1	1	1	1	1	1	1	1	1
GCA_006349415.1	1	1	1	2	0	1	2	1
GCA_006370435.1	1	1	1	2	0	1	2	1
GCA_006370375.1	1	1	1	2	0	1	2	1
GCA_006370415.1	1	1	1	2	0	1	2	1
GCA_006370345.1	1	1	1	2	0	1	2	1
GCA_006349525.1	1	1	1	2	1	1	2	1
GCA_006349535.1	1	1	1	2	1	1	2	1
GCA_006349405.1	1	1	1	2	0	1	2	1
GCA_006349385.1	1	1	1	2	0	1	2	1
GCA_001441745.1	1	1	1	1	0	1	1	1
GCA_001442405.1	1	1	1	1	0	0	0	1
GCA_001442045.1	1	1	1	1	0	1	1	1
GCA_001442375.1	1	1	1	1	0	0	0	1
GCA_001442095.1	1	1	1	1	0	0	0	1
GCA_001442455.1	1	1	1	1	0	1	1	1
GCA_001441765.1	1	1	1	1	0	1	1	1
GCA_001540985.1	1	1	1	1	0	0	0	1
GCA_001442435.1	1	0	1	1	0	1	1	1
GCA_001442175.1	1	1	1	1	0	1	1	1
GCA_001441845.1	1	1	1	1	0	0	0	1
GCA_001442195.1	1	1	1	1	0	0	0	1
GCA_001441815.1	1	1	1	1	0	0	0	1
GCA_001442235.1	1	1	1	1	0	0	0	1
GCA_001416745.1	1	1	1	1	1	1	1	1
GCA_001441825.1	1	1	1	1	0	1	1	1
GCA_001416925.1	1	1	1	1	1	1	1	1
GCA_001441915.1	1	1	1	1	0	0	0	0
GCA_001417385.1	1	1	1	1	1	1	1	1
GCA_001417405.1	1	1	1	0	1	0	0	1
GCA_001441905.1	1	1	1	1	0	0	0	1
GCA_001417415.1	1	1	1	0	1	0	0	1
GCA_001416985.1	1	1	1	1	1	1	1	1
GCA_001441895.1	1	1	1	1	0	1	1	0
GCA_001442395.1	1	1	1	1	0	0	0	1
GCA_001441965.1	1	1	1	1	0	0	0	1
GCA_001441955.1	1	1	1	1	0	1	1	1
GCA_001441975.1	1	1	1	1	0	0	0	1
GCA_001442305.1	1	1	1	1	0	0	0	0
GCA_001442015.1	1	1	0	1	0	1	1	1
GCA_001442345.1	1	1	1	1	0	0	0	0
GCA_006370305.1	1	1	1	2	1	1	2	1
GCA_006349425.1	1	1	1	2	0	1	2	1
GCA_006349485.1	1	1	1	2	0	1	2	1
GCA_006370255.1	1	1	1	2	1	1	2	1
GCA_006349395.1	1	1	1	2	0	1	2	1
GCA_041941655.1	1	1	1	1	0	0	0	1
GCA_008165725.1	0	0	0	0	0	1	1	1
GCA_008719595.1	0	0	0	0	0	1	1	0
GCA_008820605.1	0	0	0	0	0	1	1	1
GCA_010269175.1	0	0	0	0	0	0	0	0
GCA_010268975.1	0	0	0	1	0	0	0	0
GCA_010205765.1	0	1	0	0	0	1	1	1
GCA_010208685.1	0	0	0	0	0	1	1	1
GCA_010215235.1	0	0	0	0	0	0	0	0
GCA_010217215.1	0	0	0	0	0	0	0	0
GCA_010271435.1	0	0	0	1	0	0	0	1
GCA_010217655.1	0	0	0	0	0	1	1	1
GCA_010273455.1	0	0	0	2	0	0	0	0
GCA_010276815.1	0	0	0	2	0	0	0	0
GCA_010276915.1	0	0	0	2	0	0	0	0
GCA_010219735.1	0	0	0	2	0	0	0	0
GCA_010274895.1	0	0	0	0	0	1	1	0
GCA_010219495.1	0	0	0	0	0	1	1	0
GCA_012783595.1	0	0	0	2	0	0	0	0
GCA_013773085.1	0	0	0	2	0	1	1	1
GCA_013711505.1	0	0	0	2	0	1	1	1
GCA_014341775.1	0	0	0	0	0	0	0	1
GCA_015563625.1	0	0	0	2	0	0	0	1
GCA_015561525.1	0	0	0	2	0	1	1	0
GCA_015688675.1	0	0	0	0	0	0	0	1
GCA_015688975.1	0	0	0	0	0	1	1	0
GCA_015914835.1	0	0	0	0	0	0	0	0
GCA_015692145.1	0	0	0	0	0	0	0	0
GCA_015692125.1	0	0	0	0	0	1	1	1
GCA_016141935.1	0	0	0	2	0	1	1	0
GCA_016494885.1	0	0	0	2	0	0	0	0
GCA_017130655.1	0	0	0	0	0	0	0	0
GCA_017130315.1	0	0	0	0	0	1	1	1
GCA_017130335.1	0	0	0	0	0	1	1	1
GCA_017130255.1	0	0	0	0	0	0	0	0
GCA_017130215.1	0	0	0	0	0	1	1	1
GCA_017130715.1	0	0	0	0	0	0	0	1
GCA_017130615.1	0	0	0	0	0	0	0	1
GCA_017130555.1	0	0	0	0	0	1	1	1
GCA_017130195.1	0	0	0	0	0	1	1	0
