	ciprofloxacin	erythromycin	gentamicin	nalidixic_acid	tetracycline	azithromycin	clindamycin	telithromycin
GCA_033321775.1	1	0	0	1	1	2	2	2
GCA_033321585.1	1	0	0	1	1	2	2	2
GCA_033321545.1	1	0	0	1	0	2	2	2
GCA_033319745.1	1	0	0	1	0	2	2	2
GCA_033319705.1	1	0	0	1	0	2	2	2
GCA_033319425.1	1	0	0	1	0	2	2	2
GCA_033319345.1	1	0	0	1	1	2	2	2
GCA_033319105.1	1	0	0	1	1	2	2	2
GCA_033318105.1	1	0	0	1	0	2	2	2
GCA_033318085.1	1	0	0	1	1	2	2	2
GCA_033317985.1	1	1	0	1	1	2	2	2
GCA_033317965.1	1	0	0	1	1	2	2	2
GCA_033317925.1	1	0	0	1	0	2	2	2
GCA_033317945.1	1	0	0	1	0	2	2	2
GCA_033317805.1	1	0	0	1	0	2	2	2
GCA_033317685.1	1	0	0	1	0	2	2	2
GCA_033317385.1	1	0	0	1	0	2	2	2
GCA_033317545.1	1	0	0	1	0	2	2	2
GCA_033317305.1	1	0	0	1	0	2	2	2
GCA_033317285.1	1	0	0	1	1	2	2	2
GCA_033317165.1	1	0	0	1	0	2	2	2
GCA_033316605.1	1	0	0	1	1	2	2	2
GCA_033316575.1	1	0	0	1	0	2	2	2
GCA_033316545.1	1	0	0	1	0	2	2	2
GCA_033316505.1	1	0	0	1	0	2	2	2
GCA_033316385.1	1	0	0	1	1	2	2	2
GCA_033316365.1	1	0	0	1	1	2	2	2
GCA_033316345.1	1	0	0	1	0	2	2	2
GCA_033316325.1	1	0	0	1	0	2	2	2
GCA_033316285.1	1	0	0	1	0	2	2	2
GCA_033316235.1	1	0	0	1	1	2	2	2
GCA_033316225.1	1	0	0	1	1	2	2	2
GCA_033314185.1	1	0	0	1	0	2	2	2
GCA_033313885.1	1	0	0	1	1	2	2	2
GCA_033313905.1	1	0	0	1	0	2	2	2
GCA_033313845.1	1	0	0	1	1	2	2	2
GCA_033309615.1	1	0	0	1	0	2	2	2
GCA_033309595.1	1	0	0	1	0	2	2	2
GCA_033309555.1	1	0	0	1	1	2	2	2
GCA_033309415.1	1	0	0	1	0	2	2	2
GCA_033309495.1	1	0	0	1	1	2	2	2
GCA_033309315.1	1	0	0	1	0	2	2	2
GCA_033308175.1	1	0	0	1	1	2	2	2
GCA_033307875.1	1	0	0	1	0	2	2	2
GCA_033307855.1	1	0	0	1	0	2	2	2
GCA_033307135.1	1	0	0	1	0	2	2	2
GCA_033306975.1	1	0	0	1	0	2	2	2
GCA_033306655.1	1	0	0	1	1	2	2	2
GCA_033306595.1	1	0	0	1	1	2	2	2
GCA_033306515.1	1	0	0	1	1	2	2	2
GCA_033306405.1	1	0	0	1	1	2	2	2
GCA_033306395.1	1	0	0	1	0	2	2	2
GCA_033306255.1	1	0	0	1	0	2	2	2
GCA_033305835.1	1	0	0	1	0	2	2	2
GCA_033305775.1	1	0	0	1	0	2	2	2
GCA_033305755.1	1	0	0	1	1	2	2	2
GCA_033305795.1	1	0	0	1	0	2	2	2
GCA_033305675.1	1	0	0	1	0	2	2	2
GCA_033301195.1	1	0	0	1	0	2	2	2
GCA_033300835.1	1	0	0	1	1	2	2	2
GCA_033300595.1	1	0	0	1	1	2	2	2
GCA_033300155.1	1	0	0	1	1	2	2	2
GCA_033300055.1	1	0	0	1	0	2	2	2
GCA_033299995.1	1	0	0	1	0	2	2	2
GCA_033299315.1	1	0	0	1	0	2	2	2
GCA_033299075.1	1	0	0	1	1	2	2	2
GCA_033298995.1	1	0	0	1	0	2	2	2
GCA_033298735.1	1	0	0	1	0	2	2	2
GCA_033298595.1	1	0	0	1	0	2	2	2
GCA_033298475.1	1	0	0	1	0	2	2	2
GCA_033298435.1	1	0	0	1	0	2	2	2
GCA_033298375.1	1	0	0	1	0	2	2	2
GCA_033298355.1	1	0	0	1	0	2	2	2
GCA_033298115.1	1	0	0	1	0	2	2	2
GCA_033298055.1	1	0	0	1	0	2	2	2
GCA_033297995.1	1	0	0	1	0	2	2	2
GCA_033297895.1	1	0	0	1	1	2	2	2
GCA_033297415.1	1	0	0	1	1	2	2	2
GCA_033297375.1	1	0	0	1	0	2	2	2
GCA_033297335.1	1	0	0	1	1	2	2	2
GCA_033297295.1	1	0	0	1	0	2	2	2
GCA_033297285.1	1	0	0	1	1	2	2	2
GCA_033296995.1	1	0	0	1	0	2	2	2
GCA_033296945.1	1	0	0	1	0	2	2	2
GCA_033296925.1	1	0	0	1	0	2	2	2
GCA_033296785.1	1	0	0	1	0	2	2	2
GCA_033296735.1	1	0	0	1	0	2	2	2
GCA_033296655.1	1	0	0	1	0	2	2	2
GCA_033296615.1	1	0	0	1	0	2	2	2
GCA_033296555.1	1	0	0	1	0	2	2	2
