	moxifloxacin
GCA_900007565.1	1
GCA_900013335.1	1
GCA_900008355.1	1
GCA_900013195.1	1
GCA_900014865.1	1
GCA_900015235.1	1
GCA_900012155.1	1
GCA_900012205.1	1
GCA_900010115.1	1
GCA_900012765.1	1
GCA_900012775.1	1
GCA_900011665.1	1
GCA_900012855.1	1
GCA_900012895.1	1
GCA_900012915.1	1
GCA_900013235.1	1
GCA_900015655.1	1
GCA_900013785.1	1
GCA_900008485.1	1
GCA_900007645.1	1
GCA_900007685.1	1
GCA_900012495.1	1
GCA_900009825.1	1
GCA_900013875.1	1
GCA_900012505.1	1
GCA_900010945.1	1
GCA_900013945.1	1
GCA_900013995.1	1
GCA_900014015.1	1
GCA_900014045.1	1
GCA_900011685.1	1
GCA_900012375.1	1
GCA_900008805.1	1
GCA_900014715.1	1
GCA_900010985.1	1
GCA_900015935.1	1
GCA_900014745.1	1
GCA_051108855.1	1
GCA_051114435.1	1
GCA_051114655.1	1
GCA_051109115.1	1
GCA_051109135.1	1
GCA_051109155.1	1
GCA_051114675.1	1
GCA_051108875.1	1
GCA_051108895.1	1
GCA_051114395.1	1
GCA_051114415.1	1
GCA_051108935.1	1
GCA_051108955.1	1
GCA_051114455.1	1
GCA_051114475.1	1
GCA_051114495.1	1
GCA_051109035.1	1
GCA_051114615.1	1
GCA_051114625.1	1
GCA_051109055.1	1
GCA_051109075.1	1
GCA_051109095.1	1
GCA_002234355.1	0
GCA_900015515.1	0
GCA_900010865.1	0
GCA_900010835.1	0
GCA_900011325.1	0
GCA_900010815.1	0
GCA_900013595.1	0
GCA_900011085.1	0
GCA_900008405.1	0
GCA_900012005.1	0
GCA_900010905.1	0
GCA_900012185.1	0
GCA_900015315.1	0
GCA_900008455.1	0
GCA_900013215.1	0
GCA_900011505.1	0
GCA_900012345.1	0
GCA_900012965.1	0
GCA_900012995.1	0
GCA_900013025.1	0
GCA_900013035.1	0
GCA_900013075.1	0
GCA_900011125.1	0
GCA_900013365.1	0
GCA_900013705.1	0
GCA_900015635.1	0
GCA_900013715.1	0
GCA_900013765.1	0
GCA_900013775.1	0
GCA_900014145.1	0
GCA_900007695.1	0
GCA_900011135.1	0
GCA_900013855.1	0
GCA_900013885.1	0
GCA_900019295.1	0
GCA_900008535.1	0
GCA_900016325.1	0
GCA_900013985.1	0
GCA_900010365.1	0
GCA_900014935.1	0
GCA_900009435.1	0
GCA_900013375.1	0
GCA_900013245.1	0
GCA_900015915.1	0
GCA_900014435.1	0
GCA_900014305.1	0
GCA_900014175.1	0
GCA_900013385.1	0
GCA_900014515.1	0
GCA_900014605.1	0
GCA_900011725.1	0
GCA_900014665.1	0
GCA_900009245.1	0
GCA_900008645.1	0
GCA_900014705.1	0
GCA_900014725.1	0
GCA_900010405.1	0
GCA_900014805.1	0
GCA_900014815.1	0
GCA_051108915.1	0
