	ampicillin	vancomycin	gentamicin	tetracycline	doxycycline	linezolid	streptomycin
GCA_020751175.1	1	1	0	0	0	0	2
GCA_042705595.1	1	0	0	1	1	0	2
GCA_020662505.1	1	0	0	1	1	0	2
GCA_020658235.1	1	1	0	0	0	0	2
GCA_020750665.1	1	1	0	1	1	0	2
GCA_045018035.1	1	0	0	1	1	0	2
GCA_045017935.1	1	0	0	1	1	0	2
GCA_020747745.1	1	1	0	1	1	0	2
GCA_020739465.1	1	1	0	1	1	0	2
GCA_020746855.1	1	1	0	0	0	0	2
GCA_015451805.1	1	1	2	2	2	2	2
GCA_015451465.1	1	0	2	2	2	2	2
GCA_015451485.1	1	1	2	2	2	2	2
GCA_015451535.1	1	1	2	2	2	2	2
GCA_015451905.1	1	1	2	2	2	2	2
GCA_015451165.1	1	1	2	2	2	2	2
GCA_015451125.1	1	0	2	2	2	2	2
GCA_015451105.1	1	1	2	2	2	2	2
GCA_015451045.1	1	1	2	2	2	2	2
GCA_015451025.1	1	1	2	2	2	2	2
GCA_015450975.1	1	1	2	2	2	2	2
GCA_015451835.1	1	1	2	2	2	2	2
GCA_015450965.1	1	1	2	2	2	2	2
GCA_015450905.1	1	1	2	2	2	2	2
GCA_015449945.1	1	0	2	2	2	2	2
GCA_015450065.1	1	0	2	2	2	2	2
GCA_015450305.1	1	1	2	2	2	2	2
GCA_015450875.1	1	0	2	2	2	2	2
GCA_015450845.1	1	0	2	2	2	2	2
GCA_015450815.1	1	1	2	2	2	2	2
GCA_015450665.1	1	1	2	2	2	2	2
GCA_015450565.1	1	1	2	2	2	2	2
GCA_015450505.1	1	1	2	2	2	2	2
GCA_015450585.1	1	1	2	2	2	2	2
GCA_018086685.1	1	1	2	2	2	2	2
GCA_015449965.1	1	0	2	2	2	2	2
GCA_015450405.1	1	0	2	2	2	2	2
GCA_015450265.1	1	0	2	2	2	2	2
GCA_015450245.1	1	0	2	2	2	2	2
GCA_015450205.1	1	0	2	2	2	2	2
GCA_015449865.1	1	1	2	2	2	2	2
GCA_015450125.1	1	0	2	2	2	2	2
GCA_015450085.1	1	1	2	2	2	2	2
GCA_015450165.1	1	0	2	2	2	2	2
GCA_015450185.1	1	1	2	2	2	2	2
GCA_015450145.1	1	1	2	2	2	2	2
GCA_015449845.1	1	1	2	2	2	2	2
GCA_015449725.1	1	1	2	2	2	2	2
GCA_015449785.1	1	1	2	2	2	2	2
GCA_015450045.1	1	0	2	2	2	2	2
GCA_015433745.1	1	1	2	2	2	2	2
GCA_015433565.1	1	1	2	2	2	2	2
GCA_015433545.1	1	0	2	2	2	2	2
GCA_015433445.1	1	0	2	2	2	2	2
GCA_015432765.1	1	1	2	2	2	2	2
GCA_015435145.1	1	1	2	2	2	2	2
GCA_015433325.1	1	1	2	2	2	2	2
GCA_015433145.1	1	1	2	2	2	2	2
GCA_015433125.1	1	0	2	2	2	2	2
GCA_015433085.1	1	1	2	2	2	2	2
GCA_042714195.1	1	0	2	2	2	2	2
GCA_015432485.1	1	0	2	2	2	2	2
GCA_015432345.1	1	1	2	2	2	2	2
GCA_015433045.1	1	1	2	2	2	2	2
GCA_015433025.1	1	0	2	2	2	2	2
GCA_015432925.1	1	1	2	2	2	2	2
GCA_015432885.1	1	1	2	2	2	2	2
GCA_015432845.1	1	1	2	2	2	2	2
GCA_017979245.1	1	1	2	2	2	2	2
