	cefotaxime	ampicillin	cefuroxime	gentamicin	tobramycin	trimethoprim	ciprofloxacin	amoxicillin_clavulanic_acid	amikacin	ampicillin_sulbactam	ceftazidime	ertapenem	cefoxitin	imipenem	levofloxacin	meropenem	cefazolin	cefepime	pentizidone	tetracycline	azithromycin	chloramphenicol	ceftriaxone	nalidixic_acid	trimethoprim_sulfamethoxazole	aztreonam	doxycycline	moxifloxacin	piperacillin_tazobactam	streptomycin	sulfisoxazole	ceftiofur	kanamycin	ceftazidime_clavulanic_acid	cefpodoxime	piperacillin	colistin	sulfamethoxazole	nitrofurantoin	cefotaxime_clavulanic_acid	norfloxacin
GCA_013079355.1	1	1	1	1	1	1	1	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013079165.1	1	1	1	1	1	0	1	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013079175.1	1	1	1	1	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013078205.1	1	1	1	1	1	0	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_012503035.1	1	1	1	0	0	1	0	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_012503115.1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013078445.1	1	1	1	1	0	0	1	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013079085.1	1	1	1	0	0	1	1	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013078665.1	1	1	1	0	0	0	1	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013078085.1	1	1	1	1	1	1	1	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013078765.1	1	1	1	1	1	1	1	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_012503135.1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013078345.1	1	1	1	1	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
