	isoniazid	rifampin	ethambutol	pyrazinamide	amikacin	capreomycin	ethionamide	kanamycin	ofloxacin	para_aminosalicylic_acid	streptomycin	moxifloxacin	prothionamide	cycloserine	rifabutin	pyrazinamide_nicotinamide	nicotinamide
GCA_001321665.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001375755.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001375935.1	1	1	0	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001376195.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001322025.1	1	0	1	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001322145.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001377395.1	1	1	1	0	1	1	2	2	1	2	1	1	0	2	2	2	2
GCA_001322245.1	1	0	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001377255.1	1	1	0	0	0	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001377155.1	1	1	0	0	0	1	2	2	0	2	1	0	0	2	2	2	2
GCA_001378255.1	1	1	1	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001377855.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001322605.1	1	1	0	1	0	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001376875.1	1	0	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001376615.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001376455.1	1	0	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001377915.1	1	0	0	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001377175.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001376575.1	1	1	0	0	0	0	2	2	0	2	1	1	0	2	2	2	2
GCA_001376375.1	1	1	0	0	0	0	2	2	0	2	1	1	0	2	2	2	2
GCA_001376315.1	1	0	0	0	0	0	2	2	0	2	1	1	0	2	2	2	2
GCA_001376735.1	1	0	0	1	0	0	2	2	0	2	0	2	0	2	2	2	2
GCA_001375735.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001375835.1	1	1	0	1	0	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001377895.1	1	1	0	1	0	0	2	2	1	2	0	0	0	2	2	2	2
GCA_001322505.1	1	1	1	0	0	0	2	2	1	2	0	2	0	2	2	2	2
GCA_001322405.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001322385.1	1	1	1	0	0	0	2	2	0	2	1	1	0	2	2	2	2
GCA_001377035.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001377495.1	1	1	1	0	0	0	2	2	0	2	1	0	2	2	2	2	2
GCA_001322345.1	1	1	0	1	0	0	2	2	0	2	1	0	2	2	2	2	2
GCA_001378315.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001378115.1	1	1	0	0	0	0	2	2	0	2	1	0	2	2	2	2	2
GCA_001376915.1	1	1	0	0	0	0	2	2	1	2	0	1	1	2	2	2	2
GCA_001376795.1	1	0	0	1	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001377355.1	1	1	0	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001322645.1	1	1	1	0	0	0	2	2	1	2	1	0	1	2	2	2	2
