	cefixime	penicillin	azithromycin	ciprofloxacin	tetracycline	erythromycin
GCA_041957685.1	1	2	2	1	2	2
GCA_041957215.1	1	2	2	1	2	2
GCA_041955575.1	1	2	2	1	2	2
GCA_041955535.1	1	2	2	1	2	2
GCA_041971715.1	1	2	2	1	2	2
GCA_041955175.1	1	2	2	1	2	2
GCA_041971665.1	1	2	2	1	2	2
GCA_041954315.1	1	2	2	1	2	2
GCA_041971525.1	1	2	2	1	2	2
GCA_041953535.1	1	2	2	1	2	2
GCA_041971285.1	1	2	2	1	2	2
GCA_041952515.1	1	2	2	1	2	2
GCA_041951295.1	1	2	2	1	2	2
GCA_041951275.1	1	2	2	1	2	2
GCA_041950605.1	1	2	2	1	2	2
GCA_042132645.1	1	2	2	1	2	2
GCA_042045035.1	1	1	0	1	1	2
GCA_042045415.1	1	1	0	1	1	2
GCA_042045395.1	1	1	0	1	1	2
GCA_042046135.1	1	1	0	1	1	2
GCA_042045535.1	1	1	0	1	1	2
GCA_042046375.1	1	1	0	1	1	2
GCA_042044515.1	1	1	0	1	1	2
GCA_042046555.1	1	1	0	1	1	2
GCA_042047055.1	1	1	0	1	1	2
GCA_042045115.1	1	1	0	1	1	2
GCA_042046615.1	1	1	0	1	1	2
GCA_042045195.1	1	1	0	1	1	2
GCA_042046235.1	1	1	0	1	1	2
GCA_042044495.1	1	1	0	1	1	2
GCA_042045835.1	1	1	0	1	1	2
GCA_042045575.1	1	1	0	1	1	2
GCA_042046585.1	1	1	0	1	1	2
GCA_042045755.1	1	1	0	1	1	2
GCA_042059035.1	1	2	2	1	2	2
GCA_042061455.1	1	2	2	1	2	2
GCA_042059455.1	1	2	2	1	2	2
GCA_042058635.1	1	2	2	1	2	2
GCA_042059235.1	1	2	2	1	2	2
GCA_042059635.1	1	2	2	1	2	2
GCA_042058715.1	1	2	2	1	2	2
GCA_042058295.1	1	2	2	1	2	2
GCA_042017775.1	1	2	2	1	2	2
GCA_042017755.1	1	2	2	1	2	2
GCA_042017715.1	1	2	2	1	2	2
GCA_042017735.1	1	2	2	1	2	2
GCA_042017675.1	1	2	2	2	2	2
GCA_042017695.1	1	2	2	1	2	2
GCA_042017635.1	1	2	2	1	2	2
GCA_042017575.1	1	2	2	1	2	2
GCA_042017555.1	1	2	2	1	2	2
GCA_042017535.1	1	2	2	1	2	2
GCA_042017515.1	1	2	2	1	2	2
GCA_042017495.1	1	2	2	1	2	2
GCA_042017475.1	1	2	2	1	2	2
GCA_042017455.1	1	2	2	1	2	2
GCA_042017435.1	1	2	2	1	2	2
GCA_042017375.1	1	2	2	1	2	2
GCA_042017335.1	1	2	2	1	2	2
GCA_042017355.1	1	2	2	1	2	2
GCA_042017295.1	1	2	2	1	2	2
GCA_042017315.1	1	2	2	1	2	2
GCA_042017275.1	1	2	2	1	2	2
GCA_042017235.1	1	2	2	1	2	2
GCA_042017215.1	1	2	2	1	2	2
GCA_042017255.1	1	2	2	1	2	2
GCA_042017195.1	1	2	2	1	2	2
GCA_042017175.1	1	2	2	1	2	2
GCA_042017105.1	1	2	2	1	2	2
GCA_042017045.1	1	2	2	1	2	2
GCA_042017065.1	1	2	2	1	2	2
GCA_042017025.1	1	2	2	1	2	2
GCA_042016985.1	1	2	2	1	2	2
GCA_042016965.1	1	2	2	1	2	2
GCA_042016925.1	1	2	2	1	2	2
GCA_042016905.1	1	2	2	1	2	2
GCA_042016865.1	1	2	2	1	2	2
GCA_042016885.1	1	2	2	1	2	2
GCA_042016845.1	1	2	2	1	2	2
GCA_042016765.1	1	2	2	1	2	2
GCA_042016805.1	1	2	2	1	2	2
GCA_042016785.1	1	2	2	1	2	2
GCA_042016705.1	1	2	2	1	2	2
GCA_042016745.1	1	2	2	1	2	2
GCA_042056895.1	1	1	2	1	1	2
GCA_042057255.1	1	1	2	1	1	2
GCA_042293035.1	1	1	2	1	1	2
GCA_042057215.1	1	1	2	1	1	2
GCA_042056815.1	1	1	2	1	1	2
GCA_042293165.1	1	1	2	1	1	2
GCA_042575725.1	1	2	2	1	2	2
GCA_042110825.1	1	2	2	1	2	2
GCA_042113165.1	1	2	2	0	2	2
GCA_042089195.1	1	2	2	0	2	2
GCA_004001105.1	1	1	2	1	2	2
GCA_004001185.1	1	1	2	1	2	2
GCA_042064945.1	1	1	2	1	1	2
GCA_042068165.1	1	1	2	1	1	2
GCA_042019025.1	1	2	2	1	2	2
GCA_042019005.1	1	2	2	1	2	2
GCA_042018985.1	1	2	2	1	2	2
GCA_042018965.1	1	2	2	1	2	2
GCA_042018925.1	1	2	2	1	2	2
GCA_042013335.1	1	2	2	2	2	2
GCA_042013075.1	1	2	2	2	2	2
GCA_042006985.1	1	2	2	2	2	2
GCA_042006565.1	1	2	2	2	2	2
GCA_042005805.1	1	2	2	2	2	2
GCA_042005745.1	1	2	2	2	2	2
GCA_042000205.1	1	2	2	2	2	2
GCA_041974065.1	1	2	2	2	2	2
GCA_042540245.1	1	2	2	1	2	2
GCA_042538525.1	1	2	2	1	2	2
GCA_042539445.1	1	2	2	1	2	2
GCA_042540385.1	1	2	2	1	2	2
GCA_042539125.1	1	2	2	1	2	2
GCA_028483175.2	1	1	0	1	1	2
GCA_047513265.1	1	1	0	1	0	2
GCA_047513305.1	1	1	1	1	1	2
GCA_047513325.1	1	1	0	1	1	2
GCA_047513405.1	1	1	0	1	0	2
GCA_047513425.1	1	1	0	1	1	2
GCA_047647385.1	1	1	0	1	1	2
GCA_047647445.1	1	1	1	1	1	2
GCA_047503895.1	1	1	0	1	1	2
GCA_047503855.1	1	1	0	1	0	2
GCA_047647255.1	1	1	0	1	1	2
GCA_047645455.1	1	1	1	0	1	2
GCA_047644695.1	1	1	0	1	1	2
GCA_047645495.1	1	1	0	1	1	2
GCA_047764425.1	1	1	2	1	0	2
GCA_047982625.1	1	1	2	0	1	2
GCA_049838915.1	1	1	2	1	0	2
GCA_001158885.1	0	2	2	2	2	2
GCA_001109425.1	0	2	2	2	2	2
GCA_001319105.1	0	2	2	2	2	2
GCA_001094285.1	0	2	2	2	2	2
GCA_001085725.1	0	2	2	2	2	2
GCA_001123845.1	0	2	2	2	2	2
GCA_001161785.1	0	2	2	2	2	2
GCA_001125025.1	0	2	2	2	2	2
GCA_001088845.1	0	2	2	2	2	2
GCA_001144005.1	0	2	2	2	2	2
GCA_001135405.1	0	2	2	2	2	2
GCA_001155685.1	0	2	2	2	2	2
GCA_001103185.1	0	2	2	2	2	2
GCA_001166485.1	0	2	2	2	2	2
GCA_001151425.1	0	2	2	2	2	2
GCA_001319125.1	0	2	2	2	2	2
GCA_001130585.1	0	2	2	2	0	2
GCA_001099505.1	0	2	2	2	2	2
GCA_001116905.1	0	2	2	2	2	2
GCA_001319205.1	0	2	2	2	2	2
GCA_001117665.1	0	2	2	2	2	2
GCA_001109305.1	0	2	2	2	2	2
GCA_001319185.1	0	2	2	2	2	2
GCA_001319085.1	0	2	2	2	2	2
GCA_001124565.1	0	2	2	2	2	2
GCA_001103845.1	0	2	2	2	2	2
GCA_001128365.1	0	2	2	2	2	2
GCA_001354775.1	0	2	2	2	2	2
GCA_001167545.1	0	2	2	2	2	2
GCA_001118585.1	0	2	2	2	2	2
GCA_001135285.1	0	2	2	2	2	2
GCA_001095685.1	0	2	2	2	2	2
GCA_001103565.1	0	2	2	2	2	2
GCA_001097725.1	0	2	2	2	2	2
GCA_001140845.1	0	2	2	2	2	2
GCA_001354995.1	0	2	2	2	2	2
GCA_001150765.1	0	2	2	2	2	2
GCA_001355315.1	0	2	2	2	2	2
GCA_001146625.1	0	2	2	2	2	2
GCA_001130625.1	0	2	2	2	2	2
GCA_001097605.1	0	2	2	2	2	2
GCA_001083925.1	0	2	2	2	2	2
GCA_001354895.1	0	2	2	2	2	2
GCA_001145985.1	0	2	2	2	2	2
GCA_001154185.1	0	2	2	2	2	2
GCA_001114185.1	0	2	2	2	2	2
GCA_001355275.1	0	2	2	2	2	2
GCA_001092945.1	0	2	2	2	2	2
GCA_001150905.1	0	2	2	2	2	2
GCA_001162645.1	0	2	2	2	2	2
GCA_001137365.1	0	2	2	2	2	2
GCA_001110045.1	0	2	2	2	2	2
GCA_001117305.1	0	2	2	2	2	2
GCA_001354935.1	0	2	2	2	2	2
GCA_001086405.1	0	2	2	2	2	2
GCA_001355235.1	0	2	2	2	2	2
GCA_001091685.1	0	2	2	2	2	2
GCA_001121745.1	0	2	2	2	2	2
GCA_001355295.1	0	2	2	2	2	2
GCA_001122125.1	0	2	2	2	2	2
GCA_001090725.1	0	2	2	2	2	2
GCA_001103805.1	0	2	2	2	2	2
GCA_001106145.1	0	2	2	2	2	2
GCA_001355135.1	0	2	2	2	2	2
GCA_001131965.1	0	2	2	2	2	2
GCA_001355175.1	0	2	2	2	2	2
GCA_001125445.1	0	2	2	2	2	2
GCA_001112845.1	0	2	2	2	2	2
GCA_001119185.1	0	2	2	2	2	2
GCA_001144945.1	0	2	2	2	2	2
GCA_001158065.1	0	2	2	2	2	2
GCA_001086345.1	0	2	2	2	2	2
GCA_001159225.1	0	2	2	2	2	2
GCA_001167785.1	0	2	2	2	2	2
GCA_001156005.1	0	2	2	2	2	2
GCA_001157345.1	0	2	2	2	2	2
GCA_001133565.1	0	2	2	2	2	2
GCA_001355255.1	0	2	2	2	2	2
GCA_001155665.1	0	2	2	2	2	2
GCA_001131185.1	0	2	2	2	2	2
GCA_001135125.1	0	2	2	2	2	2
GCA_001100765.1	0	2	2	2	2	2
GCA_001120685.1	0	2	2	2	2	2
GCA_001084125.1	0	2	2	2	2	2
GCA_001168565.1	0	2	2	2	2	2
GCA_001159665.1	0	2	2	2	2	2
GCA_001146365.1	0	2	2	2	2	2
GCA_001355195.1	0	2	2	2	2	2
GCA_001355335.1	0	2	2	2	2	2
GCA_001143605.1	0	2	2	2	2	2
GCA_001170125.1	0	2	2	2	2	2
GCA_001143005.1	0	2	2	2	2	2
GCA_001103925.1	0	2	2	2	2	2
GCA_001133405.1	0	2	2	2	2	2
GCA_001115505.1	0	2	2	2	2	2
GCA_001101525.1	0	2	2	2	2	2
GCA_001354635.1	0	2	2	2	2	2
GCA_001171845.1	0	2	2	2	2	2
GCA_001355155.1	0	2	2	2	2	2
GCA_001135245.1	0	2	2	2	2	2
GCA_042061495.1	0	0	0	0	2	0
GCA_042061475.1	0	2	0	0	2	0
GCA_042061535.1	0	0	0	2	2	0
GCA_042061575.1	0	0	0	2	0	0
GCA_042061555.1	0	0	0	0	2	0
GCA_042061595.1	0	0	0	0	0	0
GCA_042063725.1	0	1	0	0	1	1
GCA_042063745.1	0	1	0	0	1	1
GCA_042063415.1	0	1	0	1	1	1
GCA_042062695.1	0	1	2	1	1	1
GCA_042062475.1	0	1	0	1	1	1
GCA_042062055.1	0	1	0	0	1	1
GCA_037846365.1	0	2	1	2	2	2
GCA_037846305.1	0	2	1	2	2	2
GCA_037846225.1	0	2	1	2	2	2
GCA_037846125.1	0	2	1	2	2	2
GCA_037846085.1	0	2	1	2	2	2
GCA_037846015.1	0	2	1	2	2	2
GCA_037845975.1	0	2	1	2	2	2
GCA_037845935.1	0	2	1	2	2	2
GCA_037845895.1	0	2	0	2	2	2
GCA_037845795.1	0	2	1	2	2	2
GCA_037845455.1	0	2	1	2	2	2
GCA_037845395.1	0	2	1	2	2	2
GCA_037845335.1	0	2	1	2	2	2
GCA_037845175.1	0	2	1	2	2	2
GCA_037845135.1	0	2	1	2	2	2
GCA_037844915.1	0	2	1	2	2	2
GCA_037844865.1	0	2	1	2	2	2
GCA_037844705.1	0	2	1	2	2	2
GCA_037844645.1	0	2	1	2	2	2
GCA_037844625.1	0	2	1	2	2	2
GCA_037844485.1	0	2	1	2	2	2
GCA_037875345.1	0	2	1	2	2	2
GCA_037844195.1	0	2	1	2	2	2
GCA_037844175.1	0	2	1	2	2	2
GCA_037844095.1	0	2	1	2	2	2
GCA_037843995.1	0	2	1	2	2	2
GCA_037843875.1	0	2	1	2	2	2
GCA_037843795.1	0	2	1	2	2	2
GCA_037843735.1	0	2	1	2	2	2
GCA_037843635.1	0	2	1	2	2	2
GCA_037843375.1	0	2	1	2	2	2
GCA_037843105.1	0	2	1	2	2	2
GCA_037842825.1	0	2	1	2	2	2
GCA_037842545.1	0	2	1	2	2	2
GCA_037842525.1	0	2	1	2	2	2
GCA_037842425.1	0	2	1	2	2	2
GCA_037842405.1	0	2	1	2	2	2
GCA_037844545.1	0	2	1	2	2	2
GCA_037844955.1	0	2	1	2	2	2
GCA_037843535.1	0	2	1	2	2	2
GCA_037843775.1	0	2	1	2	2	2
GCA_042063765.1	0	2	1	2	2	2
GCA_037843495.1	0	2	1	2	2	2
GCA_042063475.1	0	1	0	1	1	1
GCA_037843275.1	0	2	1	2	2	2
GCA_037844135.1	0	2	0	2	2	2
GCA_037844825.1	0	2	1	2	2	2
GCA_037844975.1	0	2	1	2	2	2
GCA_037843855.1	0	2	1	2	2	2
GCA_037845275.1	0	2	1	2	2	2
GCA_037844585.1	0	2	1	2	2	2
GCA_037846265.1	0	2	1	2	2	2
GCA_037843135.1	0	2	1	2	2	2
GCA_037843655.1	0	2	1	2	2	2
GCA_037842725.1	0	2	1	2	2	2
GCA_037842625.1	0	2	1	2	2	2
GCA_037846185.1	0	2	1	2	2	2
GCA_037845575.1	0	2	1	2	2	2
GCA_042062355.1	0	1	0	1	1	1
GCA_037842745.1	0	2	1	2	2	2
GCA_037845595.1	0	2	1	2	2	2
GCA_037842465.1	0	2	1	2	2	2
GCA_037843455.1	0	2	1	2	2	2
GCA_037844155.1	0	2	1	2	2	2
GCA_037842845.1	0	2	1	2	2	2
GCA_037845775.1	0	2	1	2	2	2
GCA_037845995.1	0	2	1	2	2	2
GCA_037842765.1	0	2	1	2	2	2
GCA_037842445.1	0	2	0	2	2	2
GCA_037844365.1	0	2	1	2	2	2
GCA_037842785.1	0	2	1	2	2	2
GCA_037844885.1	0	2	1	2	2	2
GCA_037845955.1	0	2	1	2	2	2
GCA_037845215.1	0	2	1	2	2	2
GCA_037843025.1	0	2	1	2	2	2
GCA_037846165.1	0	2	1	2	2	2
GCA_037842385.1	0	2	1	2	2	2
GCA_037845875.1	0	2	1	2	2	2
GCA_037844265.1	0	2	1	2	2	2
GCA_037845355.1	0	2	1	2	2	2
GCA_037845155.1	0	2	1	2	2	2
GCA_037846345.1	0	2	1	2	2	2
GCA_037842685.1	0	2	1	2	2	2
GCA_037844285.1	0	2	0	2	2	2
GCA_037846385.1	0	2	1	2	2	2
GCA_037844725.1	0	2	1	2	2	2
GCA_037845655.1	0	2	1	2	2	2
GCA_037843005.1	0	2	1	2	2	2
GCA_037842805.1	0	2	1	2	2	2
GCA_037845735.1	0	2	1	2	2	2
GCA_037845235.1	0	2	1	2	2	2
GCA_037844425.1	0	2	1	2	2	2
GCA_037846035.1	0	2	1	2	2	2
GCA_037845035.1	0	2	1	2	2	2
GCA_037846285.1	0	2	1	2	2	2
GCA_037843755.1	0	2	1	2	2	2
GCA_037842925.1	0	2	1	2	2	2
GCA_037843155.1	0	2	1	2	2	2
GCA_037844505.1	0	2	1	2	2	2
GCA_037842365.1	0	2	1	2	2	2
GCA_037842605.1	0	2	1	2	2	2
GCA_037842645.1	0	2	1	2	2	2
GCA_037844765.1	0	2	1	2	2	2
GCA_037844665.1	0	2	1	2	2	2
GCA_037845015.1	0	2	1	2	2	2
GCA_037842865.1	0	2	1	2	2	2
GCA_037845475.1	0	2	1	2	2	2
GCA_042062315.1	0	1	2	1	1	1
GCA_037842975.1	0	2	1	2	2	2
GCA_037846205.1	0	2	1	2	2	2
GCA_037845495.1	0	2	1	2	2	2
GCA_037846245.1	0	2	1	2	2	2
GCA_037842585.1	0	2	1	2	2	2
GCA_037844605.1	0	2	1	2	2	2
GCA_042111575.1	0	1	0	0	1	0
GCA_037845815.1	0	2	1	2	2	2
GCA_037844935.1	0	2	1	2	2	2
GCA_037845255.1	0	2	1	2	2	2
GCA_037844345.1	0	2	1	2	2	2
GCA_037845715.1	0	2	1	2	2	2
GCA_037843395.1	0	2	1	2	2	2
GCA_037845285.1	0	2	1	2	2	2
GCA_037845535.1	0	2	1	2	2	2
GCA_037843435.1	0	2	1	2	2	2
GCA_037844245.1	0	2	1	2	2	2
GCA_037844785.1	0	2	1	2	2	2
GCA_037845055.1	0	2	1	2	2	2
GCA_037875365.1	0	2	1	2	2	2
GCA_037845555.1	0	2	1	2	2	2
GCA_037843295.1	0	2	1	2	2	2
GCA_037842505.1	0	2	1	2	2	2
GCA_037844115.1	0	2	1	2	2	2
GCA_037845635.1	0	2	1	2	2	2
GCA_042063085.1	0	1	0	1	1	1
GCA_042104065.1	0	1	0	1	1	1
GCA_042063505.1	0	1	1	0	1	1
GCA_037846075.1	0	2	1	2	2	2
GCA_042062955.1	0	1	2	1	1	1
GCA_037845415.1	0	2	1	2	2	2
GCA_037844745.1	0	2	1	2	2	2
GCA_037842565.1	0	2	1	2	2	2
GCA_037845835.1	0	2	1	2	2	2
GCA_037843355.1	0	2	1	2	2	2
GCA_037843815.1	0	2	1	2	2	2
GCA_042061615.1	0	1	1	1	1	1
GCA_037843065.1	0	2	1	2	2	2
GCA_037843695.1	0	2	1	2	2	2
GCA_037846065.1	0	2	1	2	2	2
GCA_037843035.1	0	2	1	2	2	2
GCA_037844685.1	0	2	1	2	2	2
GCA_037844305.1	0	2	1	2	2	2
GCA_037842665.1	0	2	1	2	2	2
GCA_037845695.1	0	2	1	2	2	2
GCA_037846145.1	0	2	1	2	2	2
GCA_037842705.1	0	2	1	2	2	2
GCA_037845855.1	0	2	1	2	2	2
GCA_037842485.1	0	2	1	2	2	2
GCA_037845675.1	0	2	1	2	2	2
GCA_037845755.1	0	2	1	2	2	2
GCA_037848435.1	0	2	1	2	2	2
GCA_037875385.1	0	2	1	2	2	2
GCA_037843715.1	0	2	1	2	2	2
GCA_042013545.1	0	1	0	0	1	2
GCA_042013555.1	0	1	0	0	0	2
GCA_041999075.1	0	1	0	2	1	2
GCA_041999025.1	0	1	0	2	0	2
GCA_041999005.1	0	1	0	2	1	2
GCA_041998965.1	0	1	1	2	1	2
GCA_041998985.1	0	1	0	2	1	2
GCA_042013625.1	0	1	0	0	0	2
GCA_042022515.1	0	1	0	2	1	2
GCA_042022495.1	0	1	0	2	1	2
GCA_042022455.1	0	1	0	0	0	2
GCA_042022465.1	0	1	0	0	1	2
GCA_042022595.1	0	1	0	0	0	2
GCA_042022555.1	0	1	1	2	1	2
GCA_042022575.1	0	1	0	0	0	2
