	tobramycin	ciprofloxacin	meropenem	ceftazidime	amikacin	gentamicin	imipenem	levofloxacin	cefepime	colistin	ceftolozane_tazobactam	piperacillin_tazobactam	ceftazidime_avibactam	aztreonam
GCA_023917945.1	1	1	1	1	2	2	2	2	2	2	2	2	2	2
GCA_023916425.1	1	1	1	1	2	2	2	2	2	2	2	2	2	2
GCA_023946275.1	1	1	1	0	2	2	2	2	2	2	0	2	0	2
GCA_023916225.1	1	1	1	1	2	2	2	2	2	2	1	2	1	2
GCA_023937205.1	1	1	1	1	2	2	2	2	2	2	2	2	2	2
GCA_023935505.1	1	1	1	1	2	2	2	2	2	2	2	2	2	2
GCA_023934985.1	1	1	1	0	2	2	2	2	2	2	2	2	2	2
GCA_000481885.1	1	1	2	1	1	1	1	1	2	0	2	2	2	2
GCA_000481785.1	1	1	2	0	0	1	0	1	2	0	2	2	2	2
GCA_000481745.1	1	0	2	0	0	1	0	0	2	0	2	2	2	2
GCA_000481565.1	1	1	2	1	1	1	1	1	2	1	2	2	2	2
GCA_000480805.1	1	1	2	0	0	1	1	1	2	0	2	2	2	2
GCA_001875165.1	1	1	1	1	0	1	1	1	1	0	1	1	1	1
GCA_001874955.1	1	1	1	1	1	1	1	1	1	0	1	1	0	1
GCA_001874805.1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
GCA_001874975.1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
GCA_001874795.1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
GCA_001874995.1	1	1	1	1	0	1	2	1	1	2	0	2	0	1
GCA_003204335.1	1	1	1	1	1	1	1	1	1	0	2	1	1	0
GCA_003571805.1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
GCA_002968695.1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
GCA_003324405.1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
GCA_003000795.1	1	1	1	1	1	1	1	1	1	0	2	1	1	1
GCA_002968655.1	1	1	1	1	1	1	1	1	1	2	1	1	0	1
GCA_002968585.1	1	1	1	1	0	1	1	1	2	2	2	1	0	2
GCA_002968755.1	1	0	1	1	0	1	1	0	1	0	1	1	0	1
GCA_002968955.1	1	1	1	1	1	1	1	1	1	0	1	1	2	1
GCA_003000755.1	1	0	1	1	0	1	1	0	1	0	1	1	0	1
GCA_003073895.1	1	1	1	1	1	1	1	1	1	0	1	0	1	0
GCA_003073795.1	1	0	1	1	0	1	1	0	1	0	2	1	1	1
GCA_003074115.1	1	1	1	1	2	1	1	1	1	2	1	1	1	1
GCA_003073615.1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
GCA_003073735.1	1	1	1	1	1	1	1	1	1	0	0	1	1	1
GCA_003324385.1	1	1	1	1	0	1	1	1	1	0	1	1	0	1
GCA_003324275.1	1	1	1	1	0	0	1	1	1	0	1	1	1	1
GCA_003288335.1	1	1	1	1	1	1	1	1	1	0	2	1	1	1
GCA_001875215.1	1	1	1	1	1	1	1	1	1	0	2	1	1	0
GCA_003073695.1	1	2	1	1	2	1	1	2	1	0	1	1	2	1
GCA_003969955.1	1	1	1	0	1	1	1	1	1	2	2	0	2	1
GCA_003970615.1	1	1	1	0	0	1	1	1	0	2	2	0	2	1
GCA_003969855.1	1	1	1	1	0	1	1	1	1	2	2	1	2	1
GCA_003969715.1	1	1	1	0	1	1	1	1	1	2	2	0	2	0
GCA_003969695.1	1	1	1	1	0	1	1	1	1	2	2	1	2	1
GCA_003969165.1	1	1	0	0	0	1	0	1	0	2	2	0	2	0
GCA_003969175.1	1	1	1	0	0	1	1	1	0	2	2	0	2	0
GCA_003969105.1	1	1	0	1	1	1	1	1	1	2	2	1	2	1
GCA_003968395.1	1	1	1	1	1	1	1	1	1	2	2	1	2	1
GCA_003969055.1	1	1	1	0	0	1	1	1	0	2	2	0	2	1
GCA_003969615.1	1	1	0	1	0	0	0	0	0	2	2	0	2	0
