	chloramphenicol	trimethoprim_sulfamethoxazole	ampicillin	nalidixic_acid	ciprofloxacin	amoxicillin_clavulanic_acid	ceftriaxone	azithromycin	sulfisoxazole	cefoxitin	gentamicin	tetracycline	ceftiofur	kanamycin	enrofloxacin	streptomycin	ceftazidime	colistin	ampicillin_sulbactam	cefotaxime	spectinomycin	sulfamethoxazole	trimethoprim	cefazolin	sulphathiazole
GCA_900478305.1	1	1	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_008472805.1	1	0	1	0	0	1	1	0	1	1	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001478405.1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	2	2	2	2	2	2	2	2	2
GCA_001480165.1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	2	2	2	2	2	2	2
GCA_001480245.1	1	0	1	0	0	0	0	0	1	0	0	1	0	2	2	1	2	2	2	2	2	2	2	2	2
GCA_001241155.1	1	0	1	0	0	0	0	0	1	0	1	1	0	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008552695.1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	2
GCA_001478975.1	1	0	1	0	0	1	1	0	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008405245.1	1	0	1	0	0	1	1	0	1	1	0	1	1	2	2	1	2	2	2	2	2	2	2	2	2
GCA_001241455.1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008405235.1	1	0	1	0	0	1	1	0	1	1	0	1	1	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008469665.1	1	0	1	0	0	1	1	0	1	1	0	1	1	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010765825.1	1	0	0	0	0	0	0	0	1	0	0	1	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001272035.1	1	0	1	0	0	0	0	0	1	0	0	1	0	2	2	1	2	2	2	2	2	2	2	2	2
GCA_007196015.1	1	0	1	0	0	1	1	2	1	1	0	0	1	1	2	0	2	2	2	2	2	2	2	2	2
GCA_008405505.1	1	0	1	0	0	1	1	0	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2
