	ceftazidime	colistin	trimethoprim_sulfamethoxazole	ciprofloxacin	tobramycin	amikacin	ampicillin	cefoxitin	azithromycin	gentamicin	cefotaxime	tetracycline	nalidixic_acid	ertapenem	ceftriaxone	sulfisoxazole	streptomycin	ticarcillin_clavulanic_acid	trimethoprim	cefpirome	temocillin
GCA_026502625.1	1	0	1	2	1	0	1	1	1	1	2	1	2	2	1	2	2	1	2	2	2
GCA_026694125.1	1	0	1	2	1	0	1	1	1	1	2	1	2	2	1	2	2	1	2	2	2
GCA_026492845.1	1	0	1	2	1	0	1	1	1	1	2	1	2	2	1	2	2	1	2	2	2
GCA_026492645.1	1	0	1	2	0	0	1	0	0	1	2	1	2	2	1	2	2	0	2	2	2
GCA_026492925.1	1	0	0	2	0	0	1	0	0	0	2	0	2	2	1	2	2	1	2	2	2
GCA_026491945.1	1	0	1	2	1	0	1	1	1	1	2	1	2	2	1	2	2	1	2	2	2
GCA_026491845.1	1	0	1	2	1	0	1	1	1	1	2	1	2	2	1	2	2	1	2	2	2
GCA_026491825.1	1	0	1	2	1	0	1	1	1	1	2	1	2	2	1	2	2	1	2	2	2
GCA_026491765.1	1	0	0	2	0	0	1	0	0	0	2	0	2	2	1	2	2	1	2	2	2
GCA_026491705.1	1	0	1	2	1	0	1	1	1	1	2	1	2	2	1	2	2	1	2	2	2
GCA_026491645.1	1	0	1	2	1	0	1	1	1	1	2	1	2	2	1	2	2	1	2	2	2
GCA_026491605.1	1	0	0	2	0	0	1	0	0	0	2	0	2	2	1	2	2	0	2	2	2
GCA_026491585.1	1	0	1	2	1	0	1	1	1	1	2	1	2	2	1	2	2	1	2	2	2
GCA_026491625.1	1	0	1	2	1	0	1	1	1	1	2	1	2	2	1	2	2	1	2	2	2
GCA_026873195.1	1	0	1	2	1	0	1	1	1	1	2	1	2	2	1	2	2	1	2	2	2
GCA_026503365.1	1	0	1	2	1	0	1	0	1	1	2	1	2	2	1	2	2	1	2	2	2
GCA_014031815.1	1	2	2	0	1	1	1	1	0	1	1	1	0	1	2	2	1	2	1	1	1
