	methicillin	clindamycin	erythromycin	penicillin	ciprofloxacin	gentamicin	tetracycline	cefoxitin	levofloxacin	oxacillin	trimethoprim_sulfamethoxazole	moxifloxacin	penicillin_clavulanic_acid
GCA_015715195.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729385.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729165.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729285.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729295.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015728555.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717925.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717845.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717855.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717795.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717805.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717765.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717785.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717725.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717465.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729335.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729355.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015712285.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015712325.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015712295.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715825.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715775.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715865.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715805.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715845.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715885.1	1	2	2	2	2	2	2	2	2	2	2	2	2
