	trimethoprim_sulfamethoxazole	chloramphenicol	erythromycin	clindamycin	penicillin	tetracycline	cefuroxime	meropenem	azithromycin
GCA_001164245.1	1	2	2	2	2	2	2	2	2
GCA_001132945.1	1	2	2	2	2	2	2	2	2
GCA_001133945.1	1	2	2	2	2	2	2	2	2
GCA_001098705.1	1	2	2	2	2	2	2	2	2
GCA_001145885.1	1	2	2	2	2	2	2	2	2
GCA_001338955.1	1	2	2	2	2	2	2	2	2
GCA_001195785.1	1	2	2	2	2	2	2	2	2
GCA_001146245.1	1	2	2	2	2	2	2	2	2
GCA_001339835.1	1	2	2	2	2	2	2	2	2
GCA_001159705.1	1	2	2	2	2	2	2	2	2
GCA_001342435.1	1	2	2	2	2	2	2	2	2
GCA_001201095.1	1	2	2	2	2	2	2	2	2
GCA_001109005.1	1	2	2	2	2	2	2	2	2
GCA_001151085.1	1	2	2	2	2	2	2	2	2
GCA_001141765.1	1	2	2	2	2	2	2	2	2
GCA_001130885.1	1	2	2	2	2	2	2	2	2
GCA_001102225.1	1	2	2	2	2	2	2	2	2
GCA_001174185.1	1	2	2	2	2	2	2	2	2
GCA_001170085.1	1	2	2	2	2	2	2	2	2
GCA_001099905.1	1	2	2	2	2	2	2	2	2
GCA_001160465.1	1	2	2	2	2	2	2	2	2
GCA_001086105.1	1	2	2	2	2	2	2	2	2
GCA_001116485.1	1	2	2	2	2	2	2	2	2
GCA_001108925.1	1	2	2	2	2	2	2	2	2
GCA_001085825.1	1	2	2	2	2	2	2	2	2
GCA_001113825.1	1	2	2	2	2	2	2	2	2
GCA_001172965.1	1	2	2	2	2	2	2	2	2
GCA_001147405.1	1	2	2	2	2	2	2	2	2
GCA_001132325.1	1	2	2	2	2	2	2	2	2
GCA_001153525.1	1	2	2	2	2	2	2	2	2
GCA_001172825.1	1	2	2	2	2	2	2	2	2
GCA_001136685.1	1	2	2	2	2	2	2	2	2
GCA_001151785.1	1	2	2	2	2	2	2	2	2
GCA_001133465.1	1	2	2	2	2	2	2	2	2
GCA_001094305.1	1	2	2	2	2	2	2	2	2
GCA_001087285.1	1	2	2	2	2	2	2	2	2
GCA_001346535.1	1	2	2	2	2	2	2	2	2
GCA_001346555.1	1	2	2	2	2	2	2	2	2
GCA_001152825.1	1	2	2	2	2	2	2	2	2
GCA_001129605.1	1	2	2	2	2	2	2	2	2
GCA_001172405.1	1	2	2	2	2	2	2	2	2
GCA_001159125.1	1	2	2	2	2	2	2	2	2
GCA_001132045.1	1	2	2	2	2	2	2	2	2
GCA_001149325.1	1	2	2	2	2	2	2	2	2
GCA_001104625.1	1	2	2	2	2	2	2	2	2
GCA_001121825.1	1	2	2	2	2	2	2	2	2
GCA_001130225.1	1	2	2	2	2	2	2	2	2
GCA_001347795.1	1	2	2	2	2	2	2	2	2
GCA_001347675.1	1	2	2	2	2	2	2	2	2
GCA_001129785.1	1	2	2	2	2	2	2	2	2
GCA_001162505.1	1	2	2	2	2	2	2	2	2
GCA_001167465.1	1	2	2	2	2	2	2	2	2
GCA_001115985.1	1	2	2	2	2	2	2	2	2
GCA_001336515.1	1	2	2	2	2	2	2	2	2
GCA_001139985.1	1	2	2	2	2	2	2	2	2
GCA_001167265.1	1	2	2	2	2	2	2	2	2
GCA_001168905.1	1	2	2	2	2	2	2	2	2
GCA_001154825.1	1	2	2	2	2	2	2	2	2
GCA_001336035.1	1	2	2	2	2	2	2	2	2
GCA_001087945.1	1	2	2	2	2	2	2	2	2
GCA_001148245.1	1	2	2	2	2	2	2	2	2
GCA_001137085.1	1	2	2	2	2	2	2	2	2
GCA_001137445.1	1	2	2	2	2	2	2	2	2
GCA_001092685.1	1	2	2	2	2	2	2	2	2
GCA_001143305.1	1	2	2	2	2	2	2	2	2
GCA_001174845.1	1	2	2	2	2	2	2	2	2
GCA_001155325.1	1	2	2	2	2	2	2	2	2
GCA_001103405.1	1	2	2	2	2	2	2	2	2
GCA_001336255.1	1	2	2	2	2	2	2	2	2
GCA_001097405.1	1	2	2	2	2	2	2	2	2
GCA_001155845.1	1	2	2	2	2	2	2	2	2
GCA_001337935.1	1	2	2	2	2	2	2	2	2
GCA_001337575.1	1	2	2	2	2	2	2	2	2
GCA_002889035.1	1	2	2	2	2	2	2	2	2
GCA_001403855.1	1	2	2	2	2	2	2	2	2
GCA_001403935.1	1	2	2	2	2	2	2	2	2
GCA_002889495.1	1	2	2	2	2	2	2	2	2
GCA_001337915.1	1	2	2	2	2	2	2	2	2
GCA_001338415.1	1	2	2	2	2	2	2	2	2
GCA_001100965.1	1	2	2	2	2	2	2	2	2
GCA_001203275.1	1	2	2	2	2	2	2	2	2
GCA_001168445.1	1	2	2	2	2	2	2	2	2
GCA_001337695.1	1	2	2	2	2	2	2	2	2
GCA_001337275.1	1	2	2	2	2	2	2	2	2
GCA_001339235.1	1	2	2	2	2	2	2	2	2
GCA_001208025.1	1	2	2	2	2	2	2	2	2
GCA_001339095.1	1	2	2	2	2	2	2	2	2
GCA_001099865.1	1	2	2	2	2	2	2	2	2
GCA_001207805.1	1	2	2	2	2	2	2	2	2
GCA_001203215.1	1	2	2	2	2	2	2	2	2
GCA_001339675.1	1	2	2	2	2	2	2	2	2
GCA_001156905.1	1	2	2	2	2	2	2	2	2
GCA_001339695.1	1	2	2	2	2	2	2	2	2
GCA_001339575.1	1	2	2	2	2	2	2	2	2
GCA_001151445.1	1	2	2	2	2	2	2	2	2
GCA_001337095.1	1	2	2	2	2	2	2	2	2
GCA_001201955.1	1	2	2	2	2	2	2	2	2
GCA_001338015.1	1	2	2	2	2	2	2	2	2
GCA_001337415.1	1	2	2	2	2	2	2	2	2
GCA_001143205.1	1	2	2	2	2	2	2	2	2
GCA_001337655.1	1	2	2	2	2	2	2	2	2
GCA_001155305.1	1	2	2	2	2	2	2	2	2
GCA_001161585.1	1	2	2	2	2	2	2	2	2
GCA_001200355.1	1	2	2	2	2	2	2	2	2
GCA_001193235.1	1	2	2	2	2	2	2	2	2
GCA_001148485.1	1	2	2	2	2	2	2	2	2
GCA_001338615.1	1	2	2	2	2	2	2	2	2
GCA_001116405.1	1	2	2	2	2	2	2	2	2
GCA_001141285.1	1	2	2	2	2	2	2	2	2
GCA_001109845.1	1	2	2	2	2	2	2	2	2
GCA_001107325.1	1	2	2	2	2	2	2	2	2
GCA_001115625.1	1	2	2	2	2	2	2	2	2
GCA_001106725.1	1	2	2	2	2	2	2	2	2
GCA_001338355.1	1	2	2	2	2	2	2	2	2
GCA_001101485.1	1	2	2	2	2	2	2	2	2
GCA_001171865.1	1	2	2	2	2	2	2	2	2
GCA_001116605.1	1	2	2	2	2	2	2	2	2
GCA_001090845.1	1	2	2	2	2	2	2	2	2
GCA_001117565.1	1	2	2	2	2	2	2	2	2
GCA_001157605.1	1	2	2	2	2	2	2	2	2
GCA_001127925.1	1	2	2	2	2	2	2	2	2
GCA_001158685.1	1	2	2	2	2	2	2	2	2
GCA_001105705.1	1	2	2	2	2	2	2	2	2
GCA_001095385.1	1	2	2	2	2	2	2	2	2
GCA_001339075.1	1	2	2	2	2	2	2	2	2
GCA_001089765.1	1	2	2	2	2	2	2	2	2
GCA_001104825.1	1	2	2	2	2	2	2	2	2
GCA_001338975.1	1	2	2	2	2	2	2	2	2
GCA_001200035.1	1	2	2	2	2	2	2	2	2
GCA_001339435.1	1	2	2	2	2	2	2	2	2
GCA_001337795.1	1	2	2	2	2	2	2	2	2
GCA_002889875.1	1	2	2	2	2	2	2	2	2
GCA_002889995.1	1	2	2	2	2	2	2	2	2
GCA_002889155.1	1	2	2	2	2	2	2	2	2
