	ciprofloxacin
SRR3138676	1
SRR3138681	1
SRR3147791	1
SRR3171747	1
SRR3171748	1
SRR3171750	1
SRR3183453	1
SRR3183459	1
SRR3183468	1
SRR3183476	1
SRR3183482	1
SRR3194381	1
SRR3196132	1
SRR3196446	1
SRR3196686	1
SRR3201098	1
SRR3201099	1
SRR3201101	1
SRR3201105	1
SRR3201108	1
SRR3201110	1
SRR3201120	1
SRR3201121	1
SRR3201123	1
SRR3209757	1
SRR3209760	1
SRR3214702	1
SRR3214711	1
SRR3215109	1
SRR3215120	1
SRR3215127	1
SRR3241809	1
SRR3297723	1
SRR3297732	1
SRR3297742	1
SRR3319970	1
SRR3319985	1
SRR3319993	1
SRR3319995	1
SRR3321624	1
SRR3321647	1
SRR3350788	1
SRR3350802	1
SRR3350889	1
SRR3402093	1
SRR3475854	1
SRR3475856	1
SRR3479926	1
SRR3479997	1
SRR3480035	1
SRR3543487	1
SRR3543499	1
SRR3543503	1
SRR3543505	1
SRR3545750	1
SRR3545856	1
SRR3545908	1
SRR3575121	1
SRR3583301	1
SRR3583305	1
SRR3583309	1
SRR3611597	1
SRR3611598	1
SRR3611637	1
SRR3611705	1
SRR3611728	1
SRR3611732	1
SRR3611740	1
SRR3611758	1
SRR3611768	1
SRR3666681	1
SRR3726402	1
SRR3726429	1
SRR3726432	1
SRR3726437	1
SRR3774212	1
SRR3774251	1
SRR3774326	1
SRR3928608	1
SRR3928620	1
SRR3953109	1
SRR3953114	1
SRR3953116	1
SRR3995977	1
SRR4005443	1
SRR4018124	1
SRR4018136	1
SRR4018331	1
SRR4018341	1
SRR3138666	0
SRR3138667	0
SRR3138668	0
SRR3138669	0
SRR3138670	0
SRR3138671	0
SRR3138672	0
SRR3138673	0
SRR3138675	0
SRR3138683	0
SRR3138686	0
SRR3147787	0
SRR3147788	0
SRR3147790	0
SRR3148205	0
SRR3148208	0
SRR3148212	0
SRR3148213	0
SRR3148215	0
SRR3148216	0
SRR3148242	0
SRR3148243	0
SRR3148303	0
SRR3148313	0
SRR3148323	0
SRR3148332	0
SRR3171757	0
SRR3171758	0
SRR3171761	0
SRR3171764	0
SRR3183448	0
SRR3183449	0
SRR3183451	0
SRR3183457	0
SRR3183458	0
SRR3183462	0
SRR3183463	0
SRR3183467	0
SRR3183471	0
SRR3183472	0
SRR3183477	0
SRR3183478	0
SRR3183479	0
SRR3183481	0
SRR3183483	0
SRR3185255	0
SRR3185256	0
SRR3185258	0
SRR3185260	0
SRR3185263	0
SRR3185902	0
SRR3185903	0
SRR3185904	0
SRR3185905	0
SRR3185979	0
SRR3185980	0
SRR3185981	0
SRR3194380	0
SRR3194383	0
SRR3196126	0
SRR3196127	0
SRR3196128	0
SRR3196129	0
SRR3196130	0
SRR3196133	0
SRR3196134	0
SRR3196135	0
SRR3196141	0
SRR3196142	0
SRR3196143	0
SRR3196679	0
SRR3196683	0
SRR3196687	0
SRR3199489	0
SRR3199584	0
SRR3199585	0
SRR3201100	0
SRR3201102	0
SRR3201106	0
SRR3201107	0
SRR3201111	0
SRR3201112	0
SRR3201116	0
SRR3201117	0
SRR3201119	0
SRR3201124	0
SRR3201125	0
SRR3209758	0
SRR3209759	0
SRR3209763	0
SRR3209766	0
SRR3209797	0
SRR3209814	0
SRR3214704	0
SRR3214705	0
SRR3214706	0
SRR3214707	0
SRR3214710	0
SRR3214714	0
SRR3215111	0
SRR3215112	0
SRR3215113	0
SRR3215116	0
SRR3215117	0
SRR3215118	0
SRR3215121	0
SRR3215125	0
SRR3215128	0
SRR3215131	0
SRR3215132	0
SRR3215134	0
SRR3297731	0
SRR3297734	0
SRR3297737	0
SRR3319956	0
SRR3319968	0
SRR3319969	0
SRR3319973	0
SRR3319975	0
SRR3319977	0
SRR3319978	0
SRR3319983	0
SRR3319986	0
SRR3319987	0
SRR3319988	0
SRR3319990	0
SRR3319992	0
SRR3319994	0
SRR3320062	0
SRR3321616	0
SRR3321620	0
SRR3321622	0
SRR3321623	0
SRR3321626	0
SRR3321628	0
SRR3321631	0
SRR3321632	0
SRR3321633	0
SRR3321635	0
SRR3321639	0
SRR3321641	0
SRR3321642	0
SRR3321643	0
SRR3321648	0
SRR3321651	0
SRR3321655	0
SRR3350799	0
SRR3350801	0
SRR3350808	0
SRR3350809	0
SRR3350811	0
SRR3350812	0
SRR3350813	0
SRR3350814	0
SRR3350821	0
SRR3350833	0
SRR3350834	0
SRR3350836	0
SRR3350838	0
SRR3350839	0
SRR3350850	0
SRR3350852	0
SRR3350887	0
SRR3350890	0
SRR3350891	0
SRR3350892	0
SRR3350893	0
SRR3350897	0
SRR3350898	0
SRR3350904	0
SRR3350905	0
SRR3350906	0
SRR3402079	0
SRR3402080	0
SRR3402082	0
SRR3402085	0
SRR3402091	0
SRR3402092	0
SRR3402095	0
SRR3402096	0
SRR3402097	0
SRR3402101	0
SRR3402105	0
SRR3475824	0
SRR3475830	0
SRR3475873	0
SRR3479923	0
SRR3479925	0
SRR3479932	0
SRR3479989	0
SRR3479992	0
SRR3479993	0
SRR3479996	0
SRR3479998	0
SRR3479999	0
SRR3480023	0
SRR3543479	0
SRR3543480	0
SRR3543481	0
SRR3543484	0
SRR3543485	0
SRR3543486	0
SRR3543488	0
SRR3543491	0
SRR3543492	0
SRR3543493	0
SRR3543495	0
SRR3543496	0
SRR3543498	0
SRR3543501	0
SRR3543504	0
SRR3543506	0
SRR3543507	0
SRR3543509	0
SRR3543510	0
SRR3545759	0
SRR3545861	0
SRR3545862	0
SRR3545864	0
SRR3545867	0
SRR3545868	0
SRR3545870	0
SRR3545871	0
SRR3545872	0
SRR3545883	0
SRR3545886	0
SRR3545893	0
SRR3545907	0
SRR3545921	0
SRR3545923	0
SRR3545924	0
SRR3545936	0
SRR3575110	0
SRR3575114	0
SRR3575117	0
SRR3583302	0
SRR3583303	0
SRR3583304	0
SRR3583307	0
SRR3583311	0
SRR3583312	0
SRR3583315	0
SRR3583317	0
SRR3583318	0
SRR3583321	0
SRR3583322	0
SRR3583323	0
SRR3611607	0
SRR3611608	0
SRR3611610	0
SRR3611611	0
SRR3611687	0
SRR3611703	0
SRR3611721	0
SRR3611725	0
SRR3611727	0
SRR3611730	0
SRR3611734	0
SRR3611736	0
SRR3611737	0
SRR3611742	0
SRR3611744	0
SRR3611746	0
SRR3611749	0
SRR3611752	0
SRR3611753	0
SRR3611755	0
SRR3611760	0
SRR3611763	0
SRR3611765	0
SRR3666677	0
SRR3666678	0
SRR3666679	0
SRR3666710	0
SRR3666711	0
SRR3666712	0
SRR3666713	0
SRR3666715	0
SRR3666717	0
SRR3666718	0
SRR3666721	0
SRR3666740	0
SRR3666741	0
SRR3710035	0
SRR3710221	0
SRR3726334	0
SRR3726391	0
SRR3726393	0
SRR3726394	0
SRR3726395	0
SRR3726397	0
SRR3726398	0
SRR3726400	0
SRR3726425	0
SRR3726428	0
SRR3726436	0
SRR3726438	0
SRR3726439	0
SRR3726440	0
SRR3726441	0
SRR3771471	0
SRR3771472	0
SRR3774210	0
SRR3774213	0
SRR3774215	0
SRR3774252	0
SRR3774322	0
SRR3774323	0
SRR3774324	0
SRR3774325	0
SRR3774341	0
SRR3774343	0
SRR3774344	0
SRR3774368	0
SRR3774374	0
SRR3779203	0
SRR3925096	0
SRR3925104	0
SRR3928599	0
SRR3928600	0
SRR3928601	0
SRR3928602	0
SRR3928603	0
SRR3928604	0
SRR3928605	0
SRR3928606	0
SRR3928610	0
SRR3928611	0
SRR3928612	0
SRR3928614	0
SRR3928616	0
SRR3928619	0
