	meropenem
GCA_002968455.1	1
GCA_003010695.1	1
GCA_003053755.1	1
GCA_003071645.1	1
GCA_003260505.1	1
GCA_003288475.1	1
GCA_003324425.1	1
GCF_001922365.1	1
SRR2449301	1
SRR2544781	1
SRR3168645	1
SRR3290093	1
SRR3982284	1
SRR3987107	1
SRR3996269	1
SRR4017911	1
SRR5862470	1
SRR5862479	1
SRR3982095	1
SRR3982101	1
SRR3982102	1
SRR3982283	1
SRR3987106	1
SRR3996247	1
SRR3996257	1
SRR3996267	1
SRR4017858	1
SRR4017907	1
SRR4017912	1
SRR4017913	1
SRR4035129	1
GCA_002947755.1	0
GCA_002954165.1	0
GCA_003000605.1	0
GCA_003186415.1	0
GCA_003573505.1	0
SRR3095377	0
SRR3996264	0
SRR4035127	0
SRR4069217	0
SRR4105460	0
SRR4294849	0
SRR5093708	0
SRR5120208	0
SRR5237404	0
SRR5398451	0
SRR5420066	0
SRR5445920	0
SRR568037	0
SRR5806878	0
SRR5810507	0
SRR5810508	0
SRR3982096	0
SRR3996263	0
SRR4017816	0
SRR4017818	0
SRR4017819	0
SRR4017884	0
SRR4017917	0
SRR4035128	0
SRR4035130	0
SRR4035131	0
SRR4035132	0
SRR4065648	0
SRR4065665	0
SRR4065674	0
SRR4065701	0
SRR4069218	0
