	meropenem
GCA_002180055.1	1
GCA_002180095.1	1
GCA_002180135.1	1
GCA_002180215.1	1
GCA_002180275.1	1
GCA_003073835.1	1
GCA_003288415.1	1
GCA_003324445.1	1
GCA_004564175.1	1
GCF_001874785.1	1
GCF_001874845.1	1
SRR3095381	1
SRR3615372	1
SRR3615373	1
SRR3618626	1
SRR3932425	1
SRR3932426	1
SRR4017857	1
SRR4017889	1
SRR3982099	1
SRR3982152	1
SRR3987130	1
SRR3996237	1
SRR3996244	1
SRR4017832	1
SRR4017838	1
SRR4017896	1
SRR4017899	1
SRR4065675	1
SRR4065706	1
ERR1912619	1
GCA_002180195.1	0
GCA_002948655.1	0
GCA_002968715.1	0
GCA_002996945.1	0
GCA_002999075.1	0
GCA_003000595.1	0
GCA_003000615.1	0
GCA_003000675.1	0
GCA_003073815.1	0
GCA_003073875.1	0
GCA_003073955.1	0
GCA_003075555.1	0
GCA_003204155.1	0
GCA_003288455.1	0
GCA_003324505.1	0
GCA_003571665.1	0
GCA_003571685.1	0
GCA_003571785.1	0
GCA_003571825.1	0
GCA_004566475.1	0
GCA_004566575.1	0
GCA_004567065.1	0
GCA_004567165.1	0
GCA_004567315.1	0
GCA_004567345.1	0
GCA_004567475.1	0
GCA_004567665.1	0
GCA_004569165.1	0
GCA_004569695.1	0
GCA_004681485.1	0
SRR2134675	0
SRR2449036	0
SRR2449085	0
SRR2449109	0
SRR2449140	0
SRR2449141	0
SRR2449142	0
SRR2449143	0
SRR2449168	0
SRR2449204	0
SRR2449248	0
SRR2449254	0
SRR2544769	0
SRR2544770	0
SRR2544771	0
SRR2544772	0
SRR2544773	0
SRR2544774	0
SRR2544775	0
SRR2544776	0
SRR2544777	0
SRR2544778	0
SRR2927303	0
SRR2927304	0
SRR2927305	0
SRR2927306	0
SRR2927307	0
SRR2927308	0
SRR2976832	0
SRR2976833	0
SRR2976834	0
SRR2976836	0
SRR3057119	0
SRR3057120	0
SRR3057121	0
SRR3057122	0
SRR3057123	0
SRR3057124	0
SRR3057125	0
SRR3057126	0
SRR3057131	0
SRR3057133	0
SRR3057134	0
SRR3057135	0
SRR3095378	0
SRR3095379	0
SRR3095380	0
SRR3095382	0
SRR3095384	0
SRR3095385	0
SRR3095387	0
SRR3095388	0
SRR3095391	0
SRR3168634	0
SRR3168641	0
SRR3168643	0
SRR3222296	0
SRR3242018	0
SRR3290089	0
SRR3290090	0
SRR3290091	0
SRR3345825	0
SRR3345826	0
SRR3345827	0
SRR3345828	0
SRR3345829	0
SRR3345830	0
SRR3345831	0
SRR3345832	0
SRR3345833	0
SRR3345834	0
SRR3588895	0
SRR3588896	0
SRR3588897	0
SRR3618617	0
SRR3618619	0
SRR3618620	0
SRR3618621	0
SRR3618622	0
SRR3618631	0
SRR3618632	0
SRR3618633	0
SRR3618634	0
SRR3932418	0
SRR3932419	0
SRR3932421	0
SRR3932427	0
SRR3932428	0
SRR3932429	0
SRR3982317	0
SRR4017814	0
SRR4017905	0
SRR4019388	0
SRR4019403	0
SRR4019404	0
SRR4019413	0
SRR4019414	0
SRR4025843	0
SRR4065649	0
SRR4065703	0
SRR4245477	0
SRR4245478	0
SRR4245479	0
SRR4245480	0
SRR4245481	0
SRR4245482	0
SRR4245483	0
SRR4245484	0
SRR4245486	0
SRR4294836	0
SRR4294837	0
SRR4294841	0
SRR4294842	0
SRR4294845	0
SRR4294846	0
SRR4294847	0
SRR4294850	0
SRR5093679	0
SRR5093681	0
SRR5093683	0
SRR5120209	0
SRR5120214	0
SRR5120215	0
SRR5120217	0
SRR5120221	0
SRR5120222	0
SRR5120226	0
SRR5120228	0
SRR5120230	0
SRR5120231	0
SRR5120235	0
SRR5120238	0
SRR5237400	0
SRR5237401	0
SRR5237402	0
SRR5341981	0
SRR5341982	0
SRR5398450	0
SRR5398452	0
SRR5420065	0
SRR5420067	0
SRR5420068	0
SRR5420070	0
SRR5420071	0
SRR5445911	0
SRR5445916	0
SRR5445917	0
SRR5445918	0
SRR5445919	0
SRR5445921	0
SRR5445922	0
SRR5806867	0
SRR5806874	0
SRR5806875	0
SRR5806876	0
SRR5806879	0
SRR5806880	0
SRR5810504	0
SRR5810505	0
SRR5810510	0
SRR5810511	0
SRR5810512	0
SRR5810513	0
SRR5810514	0
SRR5862468	0
SRR5862472	0
SRR5901126	0
SRR5901129	0
SRR5901134	0
SRR5901135	0
SRR5901138	0
SRR5901139	0
SRR3982177	0
SRR3982215	0
SRR3982375	0
SRR3982377	0
SRR3996243	0
SRR3996249	0
SRR3996259	0
SRR4017839	0
SRR4017845	0
SRR4017886	0
SRR4017888	0
SRR4017891	0
SRR4017900	0
SRR4017901	0
SRR4017903	0
SRR4017904	0
SRR4017926	0
SRR4035117	0
SRR4035121	0
SRR4035122	0
SRR4065643	0
SRR4065650	0
SRR4065662	0
SRR4065666	0
SRR4065676	0
SRR4065708	0
SRR4069212	0
SRR4069214	0
SRR5120218	0
SRR5120224	0
SRR5901125	0
