	meropenem
GCA_001701415.1	1
GCA_001701935.1	1
GCA_002180075.1	1
GCA_002180155.1	1
GCA_002180175.1	1
GCA_002180255.1	1
GCA_002180295.1	1
GCA_002180315.1	1
GCA_002948565.1	1
GCA_002968475.1	1
GCA_002968495.1	1
GCA_003010595.1	1
GCA_003010735.1	1
GCA_003069525.1	1
GCA_003071305.1	1
GCA_003073335.1	1
GCA_003073675.1	1
GCA_003204465.1	1
GCA_003288375.1	1
GCA_003324315.1	1
GCA_003571525.1	1
GCA_003571545.1	1
GCA_003571585.1	1
GCA_003571605.1	1
GCA_003571645.1	1
GCA_003571705.1	1
GCA_003571745.1	1
GCA_900180605	1
GCA_900180665	1
GCA_900180675	1
GCA_900180845	1
GCA_900180945	1
GCA_900180965	1
GCA_900180985	1
GCA_900180995	1
GCA_900181115	1
GCA_900181165	1
GCA_900181255	1
GCA_900181375	1
GCA_900181455	1
GCA_900181685	1
GCA_900181725	1
GCA_900181745	1
GCA_900181775	1
GCA_900181825	1
GCA_900182105	1
GCF_001701355.1	1
GCF_001701365.1	1
GCF_001701395.1	1
GCF_001701425.1	1
GCF_001701445.1	1
GCF_001701475.1	1
GCF_001701495.1	1
GCF_001701505.1	1
GCF_001701525.1	1
GCF_001701555.1	1
GCF_001701815.1	1
GCF_001701835.1	1
GCF_001701845.1	1
GCF_001701895.1	1
GCF_001701915.1	1
GCF_001701925.1	1
GCF_001701975.1	1
GCF_001701985.1	1
GCF_001702005.1	1
GCF_001702035.1	1
GCF_001702045.1	1
GCF_001704235.1	1
GCF_001874875.1	1
GCF_001875025.1	1
GCF_001875045.1	1
GCF_001875055.1	1
GCF_001875105.1	1
GCF_001875125.1	1
GCF_001875135.1	1
GCF_001922465.1	1
SRR2134674	1
SRR2134679	1
SRR2449299	1
SRR2449365	1
SRR3057129	1
SRR3185094	1
SRR3185095	1
SRR3185096	1
SRR3185097	1
SRR3185098	1
SRR3219271	1
SRR3219817	1
SRR3219831	1
SRR3219834	1
SRR3219835	1
SRR3221668	1
SRR3221670	1
SRR3221675	1
SRR3221676	1
SRR3221684	1
SRR3221782	1
SRR3221942	1
SRR3221987	1
SRR3222075	1
SRR3222121	1
SRR3222204	1
SRR3222390	1
SRR3222406	1
SRR3222415	1
SRR3222424	1
SRR3222446	1
SRR3222447	1
SRR3242006	1
SRR3242028	1
SRR3618629	1
SRR3982098	1
SRR3982230	1
SRR3987115	1
SRR3996236	1
SRR3996246	1
SRR4017811	1
SRR4017830	1
SRR4017842	1
SRR4017844	1
SRR4017852	1
SRR4065637	1
SRR5341976	1
SRR5341977	1
SRR5385400	1
SRR5385402	1
SRR5385405	1
SRR5385408	1
SRR5385412	1
SRR5385414	1
SRR5385417	1
SRR5385418	1
SRR5385422	1
SRR5385431	1
SRR5385432	1
SRR5385434	1
SRR5385436	1
SRR5385437	1
SRR5385441	1
SRR5385446	1
SRR5385447	1
SRR5385449	1
SRR5385450	1
SRR5385451	1
SRR5385454	1
SRR5385455	1
SRR5385458	1
SRR5385459	1
SRR5385461	1
SRR5385462	1
SRR5385463	1
