	ciprofloxacin
SRR1661156	1
SRR1661161	1
SRR1661164	1
SRR1661166	1
SRR1661168	1
SRR1661170	1
SRR1661173	1
SRR1661174	1
SRR1661175	1
SRR1661176	1
SRR1661179	1
SRR1661181	1
SRR1661182	1
SRR1661183	1
SRR1661184	1
SRR1661185	1
SRR1661186	1
SRR1661187	1
SRR1661188	1
SRR1661189	1
SRR1661190	1
SRR1661191	1
SRR1661192	1
SRR1661193	1
SRR1661195	1
SRR1661196	1
SRR1661197	1
SRR1661198	1
SRR1661199	1
SRR1661200	1
SRR1661201	1
SRR1661202	1
SRR1661203	1
SRR1661204	1
SRR1661205	1
SRR1661206	1
SRR1661207	1
SRR1661208	1
SRR1661209	1
SRR1661210	1
SRR1661212	1
SRR1661213	1
SRR1661214	1
SRR1661215	1
SRR1661216	1
SRR1661217	1
SRR1661220	1
SRR1661221	1
SRR1661222	1
SRR1661226	1
SRR1661227	1
SRR1661228	1
SRR1661230	1
SRR1661231	1
SRR1661233	1
SRR1661242	1
SRR1661243	1
SRR1661244	1
SRR1661245	1
SRR1661246	1
SRR1661247	1
SRR1661248	1
SRR1661249	1
SRR1661250	1
SRR1661251	1
SRR1661252	1
SRR1661253	1
SRR1661254	1
SRR1661258	1
SRR1661259	1
SRR1661262	1
SRR1661265	1
SRR1661268	1
SRR1661269	1
SRR1661270	1
SRR1661271	1
SRR1661272	1
SRR1661273	1
SRR1661274	1
SRR1661276	1
SRR1661277	1
SRR1661278	1
SRR1661279	1
SRR1661280	1
SRR1661283	1
SRR1661284	1
SRR1661292	1
SRR1661293	1
SRR1661294	1
SRR1661296	1
SRR1661297	1
SRR1661298	1
SRR1661299	1
SRR1661300	1
SRR1661301	1
SRR1661302	1
SRR1661303	1
SRR1661304	1
SRR1661305	1
SRR1661306	1
SRR1661307	1
SRR1661308	1
SRR1661309	1
SRR1661310	1
SRR1661311	1
SRR1661315	1
SRR6191747	1
SRR6238583	1
SRR6238584	1
SRR6238585	1
SRR6238586	1
SRR1661153	0
SRR1661155	0
SRR1661157	0
SRR1661159	0
SRR1661160	0
SRR1661162	0
SRR1661163	0
SRR1661167	0
SRR1661169	0
SRR1661171	0
SRR1661172	0
SRR1661177	0
SRR1661178	0
SRR1661180	0
SRR1661194	0
SRR1661211	0
SRR1661219	0
SRR1661224	0
SRR1661225	0
SRR1661229	0
SRR1661232	0
SRR1661234	0
SRR1661235	0
SRR1661236	0
SRR1661237	0
SRR1661238	0
SRR1661239	0
SRR1661240	0
SRR1661241	0
SRR1661255	0
SRR1661256	0
SRR1661257	0
SRR1661260	0
SRR1661261	0
SRR1661263	0
SRR1661264	0
SRR1661266	0
SRR1661267	0
SRR1661275	0
SRR1661281	0
SRR1661282	0
SRR1661285	0
SRR1661286	0
SRR1661287	0
SRR1661288	0
SRR1661289	0
SRR1661290	0
SRR1661291	0
SRR1661295	0
SRR1661312	0
SRR1661313	0
SRR1661314	0
SRR1661316	0
SRR1661317	0
SRR1661318	0
SRR1661319	0
SRR1661320	0
SRR1661321	0
SRR1661322	0
SRR1661323	0
SRR1661324	0
SRR1661325	0
SRR1661326	0
SRR1661327	0
SRR1661328	0
SRR1661330	0
SRR1661331	0
