	meropenem
GCA_000789495.1	1
GCA_000789525.1	1
GCA_000789535.1	1
GCA_000789745.1	1
GCA_000789845.1	1
GCA_000789905.1	1
GCA_000790185.1	1
GCA_000790285.1	1
GCA_000790305.1	1
GCA_000790355.1	1
GCA_000790405.1	1
GCA_000790505.1	1
GCA_000790605.1	1
GCA_000790655.1	1
GCA_000790705.1	1
GCA_000790725.1	1
GCA_000790825.1	1
GCA_000790835.1	1
GCA_000790885.1	1
GCA_000790915.1	1
GCA_000791085.1	1
GCA_000791125.1	1
GCA_000791155.1	1
GCA_000791185.1	1
GCA_000791205.1	1
GCA_000791275.1	1
GCA_000791385.1	1
GCA_000791445.1	1
GCA_000791485.1	1
GCA_000791495.1	1
GCA_000791545.1	1
GCA_000791625.1	1
GCA_000791685.1	1
GCA_000791725.1	1
GCA_000791735.1	1
GCA_000791785.1	1
GCA_000791825.1	1
GCA_000791915.1	1
GCA_000791965.1	1
GCA_000791985.1	1
GCA_000792115.1	1
GCA_000792145.1	1
GCA_000792225.1	1
GCA_000792305.1	1
GCA_000792325.1	1
GCA_000792395.1	1
GCA_000792445.1	1
GCA_000792545.1	1
GCA_000792665.1	1
GCA_000792675.1	1
GCA_000792705.1	1
GCA_000792725.1	1
GCA_000792785.1	1
GCA_000792825.1	1
GCA_000793055.1	1
GCA_000793125.1	1
GCA_000793165.1	1
GCA_000793345.1	1
GCA_000793365.1	1
GCA_000793455.1	1
GCA_000793485.1	1
GCA_000793505.1	1
GCA_000793595.1	1
GCA_000793645.1	1
GCA_000793665.1	1
GCA_000793685.1	1
GCA_000793745.1	1
GCA_000793765.1	1
GCA_000793785.1	1
GCA_000793945.1	1
GCA_000794005.1	1
GCA_000794025.1	1
GCA_000794045.1	1
GCA_000794055.1	1
GCA_000794245.1	1
GCA_000794285.1	1
GCA_000794325.1	1
GCA_000794335.1	1
GCA_000794365.1	1
GCA_000794405.1	1
GCA_000794445.1	1
GCA_000794505.1	1
GCA_000794515.1	1
GCA_000794545.1	1
GCA_000794585.1	1
GCA_000794645.1	1
GCA_000794725.1	1
GCA_000794735.1	1
GCA_000794785.1	1
GCA_000794805.1	1
GCA_000794825.1	1
GCA_000794885.1	1
GCA_000794905.1	1
GCA_000794925.1	1
GCA_000794945.1	1
GCA_000794965.1	1
GCA_000794985.1	1
GCA_000795045.1	1
GCA_000795205.1	1
GCA_000795235.1	1
GCA_000795265.1	1
GCA_000795365.1	1
GCA_000795405.1	1
GCA_000795435.1	1
GCA_000795465.1	1
GCA_000795505.1	1
GCA_000795525.1	1
GCA_000795535.1	1
GCA_000795605.1	1
GCA_000795625.1	1
GCA_000795635.1	1
GCA_000795665.1	1
GCA_000795685.1	1
GCA_000795705.1	1
GCA_000795725.1	1
GCA_000795785.1	1
GCA_000795805.1	1
GCA_000795815.1	1
GCA_000795845.1	1
GCA_000795865.1	1
GCA_000795875.1	1
GCA_000795925.1	1
GCA_000795945.1	1
GCA_000795955.1	1
GCA_000796025.1	1
GCA_000796045.1	1
GCA_000796125.1	1
GCA_000796165.1	1
GCA_000796225.1	1
GCA_000796245.1	1
GCA_000796285.1	1
GCA_000796295.1	1
GCA_000796345.1	1
GCA_000796365.1	1
GCA_000796405.1	1
GCA_000796505.1	1
GCA_000796585.1	1
GCA_000796615.1	1
GCA_000796645.1	1
GCA_000796655.1	1
GCA_000796725.1	1
GCA_000796745.1	1
GCA_000796785.1	1
GCA_000796795.1	1
GCA_000796845.1	1
GCA_000796945.1	1
GCA_000796985.1	1
GCA_000797025.1	1
GCA_000797085.1	1
GCA_000797125.1	1
GCA_000797145.1	1
GCA_000797165.1	1
GCA_000797205.1	1
GCA_000797395.1	1
GCA_000937495.2	1
GCA_001874955.1	1
GCA_002968515.1	1
GCA_002968655.1	1
GCA_002968695.1	1
GCA_002968755.1	1
GCA_002968955.1	1
GCA_002997005.1	1
GCA_003000655.1	1
GCA_003000695.1	1
GCA_003000755.1	1
GCA_003000795.1	1
GCA_003073615.1	1
GCA_003073695.1	1
GCA_003073735.1	1
GCA_003073795.1	1
GCA_003073895.1	1
GCA_003074095.1	1
GCA_003074115.1	1
GCA_003193645.1	1
GCA_003204335.1	1
GCA_003288335.1	1
GCA_003288355.1	1
GCA_003324255.1	1
GCA_003324275.1	1
GCA_003324295.1	1
GCA_003324385.1	1
GCA_003324405.1	1
GCA_003324465.1	1
GCA_003571805.1	1
GCA_003968015.1	1
GCA_003968025.1	1
GCA_003968035.1	1
GCA_003968055.1	1
GCA_003968115.1	1
GCA_003968125.1	1
GCA_003968135.1	1
GCA_003968155.1	1
GCA_003968165.1	1
GCA_003968215.1	1
GCA_003968225.1	1
GCA_003968235.1	1
GCA_003968275.1	1
GCA_003968295.1	1
GCA_003968315.1	1
GCA_003968385.1	1
GCA_003968395.1	1
GCA_003968425.1	1
GCA_003968445.1	1
GCA_003968475.1	1
GCA_003968495.1	1
GCA_003968535.1	1
GCA_003968585.1	1
GCA_003968895.1	1
GCA_003968985.1	1
GCA_003969035.1	1
GCA_003969055.1	1
GCA_003969095.1	1
GCA_003969295.1	1
GCA_003969305.1	1
GCA_003969485.1	1
GCA_003969535.1	1
GCA_003969575.1	1
GCA_003969645.1	1
GCA_003969655.1	1
GCA_003969695.1	1
GCA_003969735.1	1
GCA_003969775.1	1
GCA_003969855.1	1
GCA_003969875.1	1
GCA_003969885.1	1
GCA_003969915.1	1
GCA_003969955.1	1
GCA_003969975.1	1
GCA_003970005.1	1
GCA_003970065.1	1
GCA_003970615.1	1
GCA_003977955.1	1
GCA_003977995.1	1
GCF_001874795.1	1
GCF_001874805.1	1
GCF_001874975.1	1
GCF_001874995.1	1
GCF_001875165.1	1
GCF_001875185.1	1
GCF_001875205.1	1
GCF_001875215.1	1
SRR4294838	1
SRR4417530	1
SRR4417532	1
SRR4417533	1
SRR4417537	1
SRR4417538	1
SRR4417542	1
SRR4417544	1
SRR4417549	1
SRR4417550	1
SRR4417552	1
SRR4417556	1
SRR4417558	1
SRR4417560	1
SRR5122323	1
SRR5122327	1
SRR5122329	1
SRR5122330	1
SRR5122331	1
SRR5122332	1
GCA_000789485.1	0
GCA_000789545.1	0
GCA_000789555.1	0
GCA_000789605.1	0
GCA_000789625.1	0
GCA_000789635.1	0
GCA_000789645.1	0
GCA_000789685.1	0
GCA_000789705.1	0
GCA_000789725.1	0
GCA_000789755.1	0
GCA_000789785.1	0
GCA_000789805.1	0
GCA_000789815.1	0
GCA_000789835.1	0
GCA_000789885.1	0
GCA_000789925.1	0
GCA_000789935.1	0
GCA_000789965.1	0
GCA_000789975.1	0
GCA_000789995.1	0
GCA_000790025.1	0
GCA_000790035.1	0
GCA_000790065.1	0
GCA_000790085.1	0
GCA_000790105.1	0
GCA_000790145.1	0
GCA_000790155.1	0
GCA_000790205.1	0
GCA_000790215.1	0
GCA_000790245.1	0
GCA_000790265.1	0
GCA_000790325.1	0
GCA_000790345.1	0
GCA_000790385.1	0
GCA_000790425.1	0
GCA_000790445.1	0
GCA_000790465.1	0
GCA_000790485.1	0
GCA_000790525.1	0
GCA_000790545.1	0
GCA_000790565.1	0
GCA_000790585.1	0
GCA_000790625.1	0
GCA_000790645.1	0
GCA_000790685.1	0
GCA_000790735.1	0
GCA_000790765.1	0
GCA_000790785.1	0
GCA_000790805.1	0
GCA_000790865.1	0
GCA_000790905.1	0
GCA_000790965.1	0
GCA_000790985.1	0
GCA_000791005.1	0
GCA_000791025.1	0
GCA_000791035.1	0
GCA_000791065.1	0
GCA_000791105.1	0
GCA_000791145.1	0
GCA_000791225.1	0
GCA_000791235.1	0
GCA_000791265.1	0
GCA_000791305.1	0
GCA_000791325.1	0
GCA_000791345.1	0
GCA_000791365.1	0
GCA_000791405.1	0
GCA_000791425.1	0
GCA_000791465.1	0
GCA_000791525.1	0
GCA_000791565.1	0
GCA_000791585.1	0
GCA_000791605.1	0
GCA_000791635.1	0
GCA_000791665.1	0
GCA_000791705.1	0
GCA_000791765.1	0
GCA_000791805.1	0
GCA_000791835.1	0
GCA_000791855.1	0
GCA_000791885.1	0
GCA_000791905.1	0
GCA_000791945.1	0
GCA_000792005.1	0
GCA_000792025.1	0
GCA_000792045.1	0
GCA_000792085.1	0
GCA_000792095.1	0
GCA_000792155.1	0
GCA_000792205.1	0
GCA_000792245.1	0
GCA_000792265.1	0
GCA_000792285.1	0
GCA_000792345.1	0
GCA_000792365.1	0
GCA_000792385.1	0
GCA_000792425.1	0
GCA_000792465.1	0
GCA_000792475.1	0
GCA_000792505.1	0
GCA_000792515.1	0
GCA_000792565.1	0
GCA_000792575.1	0
GCA_000792605.1	0
GCA_000792625.1	0
GCA_000792635.1	0
GCA_000792745.1	0
GCA_000792765.1	0
GCA_000792805.1	0
GCA_000792845.1	0
GCA_000792855.1	0
GCA_000792895.1	0
