	TET
SRR3479998	1
SRR3214707	1
SRR3545924	1
SRR3475824	1
SRR3214702	1
SRR3147790	1
SRR3545871	1
SRR3666713	1
SRR3995977	1
SRR3995981	1
SRR3319990	1
SRR3350852	1
SRR3297737	1
SRR3148242	1
SRR3319975	1
SRR3171764	1
SRR3953098	1
SRR3183453	1
SRR3319995	1
SRR3774323	1
SRR3666715	1
SRR3183479	1
SRR3196142	1
SRR3545856	1
SRR3350905	1
SRR3583305	1
SRR3726391	1
SRR3666721	1
SRR3147788	1
SRR3319993	1
SRR3928610	1
SRR3611740	1
SRR9207841	1
SRR3138667	1
SRR3995962	1
SRR3953116	1
SRR3350850	1
SRR3215131	1
SRR3183477	1
SRR3543487	1
SRR3475854	1
SRR3575121	1
SRR3215128	1
SRR3319978	1
SRR3774341	1
SRR3995456	1
SRR3196143	1
SRR3611721	1
SRR3350892	1
SRR3666740	1
SRR4018336	1
SRR3726429	1
SRR3183448	1
SRR3475873	1
SRR3995975	1
SRR3774215	1
SRR3611737	1
SRR3611755	1
SRR3196679	1
SRR3479993	1
SRR3138676	1
SRR3215111	1
SRR3611611	1
SRR3215125	1
SRR3148205	1
SRR3545872	1
SRR3543495	1
SRR3199585	1
SRR3995457	1
SRR3297723	1
SRR3147787	1
SRR3774325	1
SRR3479926	1
SRR3201116	1
SRR3185258	1
SRR3319969	1
SRR3215109	1
SRR3183478	1
SRR3350814	1
SRR3543503	1
SRR3774322	1
SRR3196126	1
SRR3196132	1
SRR3543486	1
SRR3297742	1
SRR3611734	1
SRR3995966	1
SRR3774374	1
SRR3771472	1
SRR4018126	1
SRR3201121	1
SRR3321632	1
SRR3726425	1
SRR3995955	1
SRR3196446	1
SRR3196135	1
SRR3543509	1
SRR3928611	1
SRR3611725	1
SRR3545870	1
SRR4018331	1
SRR3995963	1
SRR3583307	1
SRR3543499	1
SRR3319992	1
SRR3995982	1
SRR3583317	1
SRR3209763	1
SRR3185260	1
SRR3710035	1
SRR3575110	1
SRR3995960	1
SRR3209766	1
SRR3611768	1
SRR3583301	1
SRR3319977	1
SRR3543506	1
SRR3321616	1
SRR3201106	1
SRR3201110	1
SRR3666679	1
SRR3196128	1
SRR3611610	1
SRR3148208	1
SRR3350891	1
SRR3183481	1
SRR3666710	1
SRR3201099	1
