	GEN
SRR2449168	1
SRR1187826	1
ERR2540223	1
SRR1187834	1
SRR3345831	1
ERR3449878	1
SRR1173075	1
SRR1187752	1
SRR1187784	1
SRR5398452	1
SRR1187810	1
SRR3878674	1
SRR3618633	1
SRR5806874	1
SRR3057126	1
SRR2239649	1
SRR3095387	1
SRR5120226	1
SRR3618621	1
ERR3449876	1
SRR3618626	1
SRR2449248	1
ERR2209728	1
SRR4069214	1
SRR8448315	1
SRR3345834	1
SRR2449085	1
SRR4017889	1
ERR3449879	1
SRR5742589	1
SRR4017896	1
SRR2544772	1
SRR3095389	1
SRR5724753	1
SRR1180761	1
SRR6994976	1
ERR2209713	1
SRR6807652	1
SRR4294841	1
ERR2209724	1
SRR8449826	1
ERR2209393	1
SRR2544778	1
SRR2544769	1
SRR3168641	1
ERR2209642	1
SRR3345827	1
SRR6985738	1
SRR3982153	1
SRR2544774	1
SRR3222296	1
SRR4294845	1
SRR1010892	1
SRR3618634	1
SRR1187848	1
ERR2209727	1
SRR5750295	1
SRR2449204	1
SRR6799401	1
SRR4035121	1
SRR3618620	1
SRR3618622	1
SRR1010890	1
ERR3449877	1
SRR2239614	1
ERR2209392	1
SRR4245478	1
SRR3932428	1
SRR2449036	1
SRR2544773	1
SRR3932418	1
SRR4017845	1
SRR7817826	1
SRR5806875	1
SRR7818146	1
SRR3932429	1
ERR1218722	1
SRR5445916	1
ERR3449885	1
SRR5237400	1
SRR3618617	1
SRR5740776	1
SRR2544776	1
SRR4035120	1
SRR4245482	1
SRR3345825	1
SRR2239626	1
ERR2209745	1
SRR2449254	1
SRR1181001	1
SRR4294837	1
SRR2449109	1
SRR2544771	1
SRR2544777	1
ERR2209391	1
ERR3449884	1
SRR8444321	1
SRR4017886	1
SRR3095382	1
SRR4017853	1
SRR5746514	1
SRR2449143	1
SRR3290089	1
SRR5420070	1
ERR2209708	1
ERR2209705	1
ERR2209744	1
SRR5901139	1
SRR3932425	1
ERR2209737	1
ERR2540224	1
SRR8448905	1
ERR2209736	1
SRR5093681	1
SRR5120238	1
SRR1187820	1
SRR5806880	1
SRR850823	1
SRR2449140	1
SRR4245479	1
SRR4294846	1
SRR3987130	1
SRR3932421	1
SRR5420068	1
SRR3618619	1
ERR3449881	1
SRR5750770	1
SRR3588895	1
SRR4017891	1
SRR850788	1
SRR4017814	1
SRR3615372	1
SRR5749732	1
SRR850791	1
SRR4065649	1
SRR4065676	1
SRR3932426	1
SRR2976833	1
SRR3932427	1
SRR3168634	1
SRR6994978	1
SRR3588896	1
SRR4035117	1
SRR3345832	1
SRR2449141	1
SRR3615373	1
SRR4065662	1
ERR4013452	1
ERR4013465	1
ERR2580159	0
SRR5750458	0
ERR2209646	0
ERR2580161	0
ERR2209723	0
SRR3095385	0
SRR2239620	0
SRR1187837	0
SRR2239642	0
SRR2239593	0
SRR1187783	0
SRR2239597	0
SRR2976834	0
SRR2239619	0
SRR4017888	0
SRR5750456	0
SRR3095391	0
SRR6817615	0
SRR5806867	0
SRR3057135	0
SRR2239636	0
SRR4065643	0
SRR4035119	0
SRR2239587	0
SRR3095380	0
ERR1407280	0
SRR2239612	0
SRR4294850	0
SRR3982177	0
ERR2580164	0
SRR5120215	0
SRR4019388	0
SRR1187805	0
SRR1187763	0
SRR5806876	0
SRR2927305	0
SRR2134675	0
SRR2927306	0
SRR2976836	0
SRR4245484	0
ERR2580171	0
SRR2239608	0
ERR1407278	0
SRR2239621	0
SRR1187782	0
SRR5445921	0
SRR3095384	0
SRR2544770	0
SRR6985676	0
SRR2239627	0
SRR5740852	0
SRR2239644	0
ERR1359224	0
SRR5120235	0
SRR850820	0
SRR2239595	0
SRR3982317	0
SRR3982375	0
SRR5810514	0
SRR5862472	0
SRR4245480	0
SRR3996249	0
SRR5420065	0
ERR2209639	0
SRR3982099	0
SRR3057134	0
SRR1180880	0
ERR2209634	0
ERR2209720	0
SRR5237402	0
SRR2239578	0
SRR7817909	0
SRR5341982	0
ERR2580156	0
ERR2209645	0
SRR3057119	0
ERR3449883	0
SRR3345829	0
SRR2239581	0
SRR2239588	0
ERR2580166	0
SRR3345828	0
ERR2580168	0
SRR3618632	0
SRR2239604	0
SRR2239596	0
SRR4065650	0
SRR1187841	0
ERR2209710	0
SRR6807650	0
SRR5750477	0
SRR4019414	0
SRR5806879	0
SRR2239582	0
SRR4017900	0
SRR2239586	0
SRR1187772	0
SRR3982152	0
SRR4019403	0
SRR1187774	0
SRR5120221	0
ERR2580160	0
SRR2239617	0
SRR4017901	0
SRR4017899	0
SRR5740850	0
SRR2239600	0
SRR1187803	0
SRR2239575	0
ERR2580170	0
SRR2239648	0
SRR6994993	0
SRR2239584	0
SRR4245477	0
ERR2209630	0
SRR5810513	0
ERR2580154	0
SRR2239611	0
SRR6994975	0
SRR3588897	0
SRR5810504	0
SRR3982376	0
SRR5445919	0
SRR3996237	0
SRR3290090	0
SRR4065706	0
SRR1204067	0
SRR2239640	0
SRR4017839	0
SRR5445918	0
SRR5445922	0
SRR2927308	0
SRR2976832	0
ERR3449886	0
SRR5901129	0
SRR2239577	0
ERR2209725	0
SRR2239590	0
SRR3057120	0
SRR3932419	0
SRR2239646	0
SRR2239641	0
SRR2239624	0
SRR2239635	0
SRR3982377	0
SRR2927304	0
SRR3982215	0
SRR1187819	0
SRR3345830	0
SRR1187781	0
SRR2239599	0
SRR3057121	0
SRR4065703	0
SRR3996243	0
SRR4294842	0
SRR2239602	0
SRR1187780	0
SRR5482170	0
SRR5120230	0
SRR2239631	0
ERR2209735	0
SRR2239598	0
SRR2239601	0
SRR5120214	0
ERR2209721	0
SRR6985671	0
SRR5120218	0
SRR1187825	0
SRR1187708	0
SRR3057123	0
ERR2580162	0
SRR850815	0
ERR1912619	0
SRR3057131	0
SRR3057124	0
SRR2449142	0
SRR4069212	0
SRR2239638	0
SRR4065708	0
SRR2239637	0
SRR2239643	0
SRR6703161	0
SRR4025843	0
ERR2580151	0
SRR3290091	0
SRR3095379	0
SRR4017857	0
SRR1181064	0
ERR3449880	0
SRR3057133	0
SRR6037661	0
SRR5420071	0
SRR2239632	0
ERR3449887	0
SRR3095378	0
SRR5120231	0
SRR2239625	0
SRR2239583	0
SRR2239650	0
SRR3618631	0
SRR4245483	0
SRR1173096	0
SRR2239592	0
SRR2239628	0
SRR2239623	0
SRR3168643	0
SRR2239576	0
SRR4019413	0
SRR5445917	0
ERR2580167	0
SRR7252659	0
SRR1187790	0
ERR1407279	0
SRR5120224	0
SRR5093683	0
ERR2580169	0
SRR2239603	0
SRR2239580	0
SRR2239618	0
ERR2209647	0
SRR2544775	0
SRR2239606	0
SRR4245486	0
ERR2209641	0
ERR2580153	0
SRR2239605	0
SRR2239630	0
SRR2239629	0
SRR5810511	0
ERR2580149	0
SRR2239634	0
ERR2209631	0
ERR2580163	0
SRR4017903	0
SRR2239609	0
SRR5120217	0
SRR2927303	0
SRR1204059	0
SRR5901126	0
SRR2239607	0
SRR1187796	0
SRR2239610	0
SRR4035122	0
SRR2239639	0
ERR3449882	0
SRR5120222	0
ERR1218638	0
SRR2239585	0
SRR2239645	0
SRR3996259	0
SRR5901135	0
SRR2927307	0
ERR2209734	0
SRR6799406	0
ERR2580150	0
SRR1010894	0
SRR2239615	0
SRR4065666	0
SRR5901125	0
SRR4294847	0
SRR5901138	0
SRR2239594	0
SRR4245481	0
SRR2239622	0
SRR6985693	0
SRR5341981	0
SRR4017905	0
SRR3345833	0
SRR3996244	0
SRR5420067	0
SRR2239633	0
SRR4294836	0
SRR7818258	0
ERR2209726	0
SRR2239613	0
ERR2209732	0
ERR2580172	0
ERR2580158	0
SRR4019404	0
ERR2580152	0
SRR6799403	0
ERR2209730	0
SRR5862468	0
ERR2209644	0
SRR5810505	0
SRR2239579	0
SRR1187842	0
SRR5120209	0
SRR1187824	0
SRR2239647	0
SRR1187838	0
SRR4065675	0
SRR5445911	0
SRR2239591	0
SRR2239589	0
ERR2209640	0
ERR2580157	0
SRR3242018	0
SRR5398450	0
SRR3057125	0
SRR2134681	1
SRR4017832	0
SRR3095388	0
SRR4065704	0
ERR2209706	0
SRR3057122	0
SRR4017904	0
SRR2239616	0
ERR2580165	0
SRR5237401	0
SRR5120228	0
SRR5093679	0
SRR3345826	0
SRR5750471	0
SRR6799409	1
SRR5810510	1
SRR4017838	1
SRR5901134	1
ERR2580155	1
SRR8449564	1
SRR5742259	1
SRR6994980	1
ERR2209643	1
SRR4017926	1
SRR3666076	1
SRR5149770	1
SRR8445030	1
SRR5810512	1
SRR5140443	1
SRR8443717	1
SRR4245475	1
SRR3095381	1
ERR4013421	0
ERR4013422	0
ERR4013423	0
ERR4013424	0
ERR4013425	0
ERR4013426	0
ERR4013427	0
ERR4013428	0
ERR4013429	0
ERR4013430	0
ERR4013431	0
ERR4013444	0
ERR4013445	0
ERR4013446	0
ERR4013447	0
ERR4013448	0
ERR4013449	0
ERR4013450	0
ERR4013451	0
ERR4013453	0
ERR4013454	0
ERR4013455	0
ERR4013456	0
ERR4013457	1
ERR4013458	0
ERR4013459	0
ERR4013460	0
ERR4013461	0
ERR4013462	0
