	GEN
SRR2407645	1
SRR2973702	1
SRR3665114	1
SRR2670712	1
SRR3295674	1
SRR1664211	1
SRR3665263	1
SRR3664813	1
SRR3115237	1
SRR3665037	1
SRR2566948	1
SRR2407616	1
SRR3665306	1
SRR2533342	1
SRR3664891	1
SRR1777697	1
SRR2567151	1
SRR3664901	1
SRR4280626	1
SRR1574320	1
SRR3182556	1
SRR10992709	1
SRR3664631	1
SRR2567174	1
ERR2209632	1
SRR3295861	1
SRR2407533	1
SRR3932924	1
SRR4044661	1
SRR3665076	1
SRR2407720	1
SRR2566938	1
SRR3295584	1
SRR2407588	1
SRR1544238	1
ERR1877610	1
SRR3933042	1
SRR4019213	1
SRR3665187	1
ERR1878020	1
SRR3289805	1
ERR1878071	1
SRR3664633	1
SRR1553769	1
SRR3091342	1
SRR1220782	1
SRR3295822	1
SRR2670695	1
SRR2567072	1
SRR2407656	1
SRR3665198	1
SRR1363314	1
SRR3295903	1
SRR2566994	1
SRR3664999	1
SRR2567079	1
SRR3295801	1
SRR2533333	1
SRR2567167	1
SRR3295642	1
SRR3295735	1
SRR3295877	1
SRR2143425	1
SRR3664900	1
SRR3664839	1
SRR2566984	1
SRR2567205	1
SRR2533437	1
SRR3085621	1
SRR1646548	1
ERR1197682	1
SRR2567008	1
SRR2566993	1
SRR1793262	1
ERR1877999	1
SRR3664932	1
SRR2407762	1
SRR2724060	1
SRR3295552	1
SRR3665208	1
SRR3147931	1
SRR3295576	1
SRR3665260	1
SRR2567172	1
SRR2407795	1
SRR2566966	1
SRR3295643	1
SRR3665012	1
SRR3665023	1
SRR3664919	1
SRR1951881	1
SRR4280570	1
SRR1801552	1
SRR2567185	1
SRR2532631	1
SRR2533454	1
SRR2566962	1
SRR2567027	1
SRR3038514	1
SRR3665209	1
SRR2407787	1
SRR3115221	1
SRR1849406	1
SRR2962362	1
SRR3665223	1
SRR2533460	1
SRR3664982	1
SRR3665086	1
SRR3665188	1
SRR3665171	1
SRR1553846	1
SRR5573144	1
SRR2047289	1
SRR1615091	1
SRR1698188	1
SRR2567067	1
SRR2533544	1
SRR2407589	1
SRR1220739	1
SRR1791386	1
SRR1553817	1
SRR2407600	1
SRR3223097	1
SRR2102393	1
SRR2566982	1
SRR2407632	1
SRR1849399	1
SRR3184167	1
SRR1544207	1
SRR1300663	1
SRR3664767	1
SRR3664882	1
SRR3664701	1
SRR3295612	1
SRR1777705	1
SRR2973701	1
SRR3098270	1
SRR3664949	1
SRR2033920	1
SRR2567064	1
SRR3664752	1
SRR5573064	1
SRR3664628	1
SRR2583954	1
SRR3223751	1
SRR2567164	1
SRR2532788	1
SRR1813435	1
SRR2407719	1
SRR3664880	1
SRR2982345	1
SRR3664650	1
SRR3664630	1
ERR1197672	1
SRR2533446	1
SRR3664998	1
SRR3665129	1
SRR2567088	1
SRR1562599	1
SRR1257301	1
SRR3062669	1
SRR2566864	1
ERR1878055	1
ERR1197666	1
SRR1951871	1
SRR3062665	1
SRR2566987	1
SRR1299268	1
SRR2156584	1
SRR1980610	1
SRR2533383	1
SRR2566989	1
SRR1514746	1
SRR1598881	1
SRR3933025	1
ERR1197694	1
ERR1197677	1
SRR2583959	1
SRR2567137	1
SRR3085620	1
SRR3932999	1
ERR1197668	1
SRR2407601	1
SRR2567036	1
SRR3664978	1
SRR3664790	1
SRR2566892	1
SRR2407778	1
SRR1562598	1
SRR1783224	1
SRR1525265	1
SRR3665123	1
SRR2131386	1
SRR3664772	1
SRR3242213	1
SRR3330386	1
SRR1998972	1
SRR3932930	1
SRR10992704	1
SRR3665173	1
SRR3509861	1
SRR2407549	1
SRR3184159	1
SRR4025938	1
SRR5573076	1
SRR3344472	1
SRR3664666	1
SRR1908939	1
SRR2407716	1
SRR4044576	1
SRR2566915	1
SRR3665091	1
SRR1783173	1
SRR2567057	1
SRR1528524	1
SRR2889980	1
SRR1791383	1
SRR3932980	1
SRR2533458	1
SRR3665228	1
SRR3933022	1
SRR1783212	1
SRR1951877	1
SRR1713641	1
SRR5573127	1
SRR2567045	1
SRR2567125	1
SRR3289784	1
SRR3055294	1
SRR1203028	1
SRR2407766	1
SRR2567000	1
SRR1528486	1
SRR2669161	1
SRR3933052	1
SRR3665288	1
SRR2407789	1
SRR1777672	1
SRR4044381	1
SRR10992710	1
SRR1763849	1
SRR3110475	1
SRR3665074	1
SRR3295527	1
SRR1763808	1
SRR3184114	1
SRR1300722	1
SRR1544319	1
SRR2002479	1
SRR3932995	1
SRR1793263	1
SRR3295594	1
SRR2567132	1
ERR1878068	1
SRR2567028	1
SRR2407646	1
SRR3664717	1
SRR3295905	1
SRR4280595	1
SRR3665149	1
SRR10992702	1
SRR2533452	1
SRR3664914	1
SRR1812825	1
SRR2993932	1
SRR3295873	1
SRR2829314	1
SRR2567056	1
SRR1257279	1
SRR3295556	1
SRR3225369	1
ERR1197670	1
SRR3052027	1
SRR3664682	1
SRR1185839	1
SRR2566891	1
SRR1973720	1
SRR3664815	1
SRR1777683	1
ERR1197669	1
SRR1805624	1
SRR2533328	1
SRR3665087	1
SRR3295709	1
SRR3156383	1
SRR2407681	0
SRR2102423	0
SRR2566992	0
SRR2533323	0
SRR2567122	0
SRR2533346	0
SRR4420897	0
SRR2532635	0
SRR2407648	0
SRR2407560	0
SRR1767753	0
SRR2567058	0
SRR2566907	0
SRR2919947	0
SRR1637058	0
SRR3665061	0
SRR1637072	0
SRR3295840	0
SRR1951846	0
SRR2567085	0
SRR3932953	0
SRR3932893	0
SRR2226944	0
SRR3933055	0
SRR3111268	0
SRR2567077	0
SRR1982193	0
SRR3295896	0
SRR2566941	0
SRR2407707	0
SRR4420948	0
SRR1300653	0
SRR3664610	0
SRR1695774	0
SRR3295792	0
SRR2566876	0
SRR3091418	0
SRR3173688	0
SRR3091348	0
SRR3664653	0
SRR3665145	0
SRR2407605	0
SRR3664850	0
SRR2567209	0
SRR2567026	0
SRR2583961	0
SRR3219142	0
SRR2567083	0
SRR2567206	0
SRR2982350	0
SRR3295916	0
SRR3306283	0
SRR3295772	0
SRR2567010	0
SRR2567023	0
SRR2566958	0
SRR2407725	0
SRR3330383	0
SRR3295681	0
SRR3664961	0
SRR2566889	0
SRR1514719	0
SRR3295538	0
SRR2962662	0
SRR1272854	0
SRR1973721	0
SRR1823711	0
SRR3665084	0
SRR2566980	0
SRR3056893	0
SRR3295766	0
SRR1793268	0
SRR3116163	0
SRR1946947	0
SRR3664931	0
SRR2567041	0
SRR2407736	0
SRR3665202	0
SRR2567094	0
SRR3665059	0
SRR3295665	0
SRR3295952	0
SRR4280608	0
SRR3115243	0
SRR3111262	0
SRR3664928	0
SRR3115231	0
SRR5573063	0
SRR2143474	0
SRR3664823	0
SRR2407628	0
SRR2533348	0
SRR2533345	0
SRR4280601	0
SRR4280625	0
SRR4044538	0
SRR3115200	0
SRR3665115	0
SRR3295754	0
SRR2566882	0
SRR2407715	0
SRR1658086	0
SRR1200757	0
SRR3664763	0
SRR2407654	0
SRR1556980	0
SRR2407735	0
SRR2567183	0
SRR3191434	0
SRR3056908	0
SRR1773836	0
SRR3295718	0
SRR2638018	0
SRR2724061	0
SRR2567047	0
SRR3665021	0
SRR3173704	0
SRR3664838	0
SRR3664762	0
SRR3932927	0
SRR3932890	0
SRR1763828	0
SRR2407568	0
SRR2407737	0
SRR3665152	0
SRR2567014	0
SRR2566905	0
SRR3933072	0
SRR1299423	0
SRR3664800	0
SRR2407731	0
SRR1544306	0
SRR3330602	0
SRR1556116	0
SRR3295659	0
SRR3056894	0
SRR2566877	0
SRR2567148	0
SRR2567068	0
SRR2566925	0
SRR3664842	0
SRR3664831	0
SRR3664807	0
SRR3932960	0
SRR2648751	0
SRR1783182	0
SRR3295860	0
SRR2566872	0
SRR2533476	0
SRR3085525	0
SRR3664820	0
SRR3932945	0
SRR2532791	0
SRR5573066	0
SRR1528531	0
SRR3664873	0
SRR3665132	0
SRR3295733	0
SRR3664816	0
SRR4044662	0
SRR3295936	0
SRR2407727	0
SRR1203019	0
SRR5573108	0
SRR3665032	0
SRR3091334	0
SRR2917935	0
SRR2920118	0
SRR4044682	0
SRR3933015	0
SRR2125022	0
SRR3509891	0
SRR4420904	0
SRR3131144	0
SRR3271883	0
SRR1646564	0
SRR3664734	0
SRR3295765	0
SRR3665072	0
SRR3664909	0
SRR4280605	0
SRR2566923	0
