	ERY
ERR016633	1
SRR325175	1
ERR019710	1
ERR016650	1
ERR023417	1
ERR124300	1
SRR2072332	1
ERR052023	1
SRR2072373	1
ERR016850	1
SRR2072280	1
ERR024236	1
ERR016640	1
ERR124303	1
ERR051924	1
ERR018818	1
SRR2072213	1
ERR069842	1
SRR4417406	1
ERR016750	1
ERR024211	1
SRR398901	1
ERR024224	1
ERR051833	1
SRR4417384	1
ERR016646	1
ERR124233	1
ERR051999	1
ERR024229	1
ERR024227	1
ERR024271	1
ERR024233	1
ERR129160	1
SRR4417289	1
ERR024234	1
ERR051978	1
ERR024231	1
ERR016747	1
ERR052526	1
ERR016644	1
ERR129031	1
ERR016655	1
SRR413948	1
SRR2072339	1
SRR346335	1
ERR016798	1
ERR016657	1
ERR018826	1
SRR2072253	1
ERR052325	1
SRR2072232	1
ERR124250	1
ERR129036	1
ERR016794	1
ERR069733	1
SRR307140	1
SRR2072374	1
ERR016691	1
ERR069838	1
ERR024226	1
ERR052024	1
ERR023426	1
SRR4417320	1
SRR345210	1
SRR4417402	1
SRR2072323	1
ERR016785	1
ERR129185	1
ERR016635	1
ERR016648	1
ERR024230	1
ERR051990	1
ERR391724	1
ERR016766	1
ERR051994	1
ERR016669	1
SRR4417363	1
ERR016759	1
ERR024232	1
SRR2072233	1
SRR398907	1
ERR019700	1
ERR051995	1
ERR024225	1
ERR129193	1
SRR4417362	1
ERR016751	1
ERR016729	1
ERR051993	1
ERR016746	1
ERR052331	1
ERR019724	1
SRR4417339	1
ERR016721	1
SRR307595	1
SRR2072352	1
ERR016652	1
ERR016699	1
SRR308719	1
ERR024235	1
SRR2072377	1
ERR019714	1
SRR4417411	1
SRR4417293	1
ERR019713	1
SRR2072308	1
ERR016700	1
SRR2072381	1
SRR345241	1
ERR069813	1
SRR4417360	1
ERR051829	1
ERR016695	1
SRR4417327	1
ERR129092	1
ERR069734	1
ERR016753	1
SRR307597	1
ERR129198	1
ERR016639	1
ERR016782	1
ERR051902	1
ERR069817	1
ERR019720	1
SRR307622	1
ERR016802	1
ERR024228	1
SRR2072272	1
ERR016654	1
SRR4417311	1
ERR129106	1
SRR4417414	1
ERR019719	1
SRR4417326	1
ERR016800	1
ERR016672	1
ERR016666	1
ERR069740	1
ERR052466	1
SRR2072287	1
SRR2076740	1
SRR2072290	1
ERR024218	1
SRR398905	1
SRR4417393	1
SRR4417399	1
SRR307620	1
ERR069793	1
ERR019725	1
ERR016769	1
ERR016658	1
ERR069744	1
ERR016664	1
ERR124222	1
ERR023449	1
ERR124267	1
SRR346337	1
ERR051858	1
ERR052017	1
ERR271785	1
SRR2072243	1
ERR016694	1
ERR016663	1
ERR051996	1
SRR4417361	1
ERR016758	1
SRR327027	1
ERR019702	1
ERR069777	1
ERR051878	1
ERR051930	1
ERR052039	1
ERR129195	1
SRR325171	1
ERR069735	1
SRR307607	1
ERR129108	1
ERR052464	1
ERR016656	1
ERR124239	1
SRR345251	1
ERR065953	1
ERR124274	1
ERR016679	1
ERR052438	1
ERR023439	1
ERR016645	1
ERR016772	1
ERR019734	1
ERR016777	1
SRR4417418	1
SRR2072286	1
ERR019731	1
ERR051794	1
SRR4417427	1
SRR307618	1
SRR2072246	1
ERR024277	1
SRR2072321	1
SRR2072212	1
ERR016637	1
ERR052465	1
ERR023453	1
ERR019703	1
SRR351246	1
ERR016728	1
SRR345258	1
ERR018823	1
SRR2072216	1
ERR069747	1
ERR124272	1
ERR023429	1
ERR051982	1
SRR413939	1
ERR016860	1
ERR024278	1
ERR051871	1
ERR129095	1
ERR052467	1
ERR019723	1
SRR307602	1
ERR016653	1
ERR069843	1
ERR016857	1
ERR129049	1
ERR016756	1
ERR391745	1
