	piperacillin
Eco_PIP_R_381	1
Eco_PIP_R_226	1
Eco_PIP_R_263	1
Eco_PIP_R_3	1
Eco_PIP_R_127	1
Eco_PIP_R_162	1
Eco_PIP_R_383	1
Eco_PIP_R_63	1
Eco_PIP_R_26	1
Eco_PIP_R_343	1
Eco_PIP_R_306	1
Eco_PIP_R_367	1
Eco_PIP_R_322	1
Eco_PIP_R_87	1
Eco_PIP_R_186	1
Eco_PIP_R_287	1
Eco_PIP_R_103	1
Eco_PIP_R_146	1
Eco_PIP_R_202	1
Eco_PIP_R_247	1
Eco_PIP_R_47	1
Eco_PIP_R_283	1
Eco_PIP_R_182	1
Eco_PIP_R_363	1
Eco_PIP_R_326	1
Eco_PIP_R_83	1
Eco_PIP_R_43	1
Eco_PIP_R_206	1
Eco_PIP_R_243	1
Eco_PIP_R_107	1
Eco_PIP_R_142	1
Eco_PIP_R_387	1
Eco_PIP_R_67	1
Eco_PIP_R_22	1
Eco_PIP_R_123	1
Eco_PIP_R_166	1
Eco_PIP_R_222	1
Eco_PIP_R_267	1
Eco_PIP_R_7	1
Eco_PIP_R_347	1
Eco_PIP_R_302	1
Eco_PIP_R_159	1
Eco_PIP_R_258	1
Eco_PIP_R_345	1
Eco_PIP_R_300	1
Eco_PIP_R_58	1
Eco_PIP_R_65	1
Eco_PIP_R_20	1
Eco_PIP_R_385	1
Eco_PIP_R_378	1
Eco_PIP_R_98	1
Eco_PIP_R_220	1
Eco_PIP_R_265	1
Eco_PIP_R_5	1
Eco_PIP_R_199	1
Eco_PIP_R_121	1
Eco_PIP_R_164	1
Eco_PIP_R_298	1
Eco_PIP_R_319	1
Eco_PIP_R_41	1
Eco_PIP_R_218	1
Eco_PIP_R_119	1
Eco_PIP_R_18	1
Eco_PIP_R_305	1
Eco_PIP_R_340	1
Eco_PIP_R_4	1
Eco_PIP_R_264	1
Eco_PIP_R_221	1
Eco_PIP_R_198	1
Eco_PIP_R_165	1
Eco_PIP_R_120	1
Eco_PIP_R_299	1
Eco_PIP_R_21	1
Eco_PIP_R_64	1
Eco_PIP_R_384	1
Eco_PIP_R_379	1
Eco_PIP_R_99	1
Eco_PIP_R_301	1
Eco_PIP_R_344	1
Eco_PIP_R_59	1
Eco_PIP_R_158	1
Eco_PIP_R_259	1
Eco_PIP_R_38	1
Eco_PIP_R_80	1
Eco_PIP_R_325	1
Eco_PIP_R_360	1
Eco_PIP_R_181	1
Eco_PIP_R_238	1
Eco_PIP_R_280	1
Eco_PIP_R_139	1
Eco_PIP_R_141	1
Eco_PIP_R_104	1
Eco_PIP_R_240	1
Eco_PIP_R_205	1
Eco_PIP_R_318	1
Eco_PIP_R_40	1
Eco_PIP_R_242	1
Eco_PIP_R_207	1
Eco_PIP_R_143	1
Eco_PIP_R_106	1
Eco_PIP_R_42	1
Eco_PIP_R_327	1
Eco_PIP_R_362	1
Eco_PIP_R_82	1
Eco_PIP_R_282	1
Eco_PIP_R_183	1
Eco_PIP_R_303	1
Eco_PIP_R_346	1
Eco_PIP_R_167	1
Eco_PIP_R_122	1
Eco_PIP_R_6	1
Eco_PIP_R_266	1
Eco_PIP_R_223	1
Eco_PIP_R_386	1
Eco_PIP_R_23	1
Eco_PIP_R_66	1
Eco_PIP_R_297	1
Eco_PIP_R_196	1
Eco_PIP_R_377	1
Eco_PIP_R_332	1
Eco_PIP_R_97	1
Eco_PIP_R_57	1
Eco_PIP_R_12	1
Eco_PIP_R_212	1
Eco_PIP_R_257	1
Eco_PIP_R_113	1
Eco_PIP_R_156	1
Eco_PIP_R_393	1
Eco_PIP_R_73	1
Eco_PIP_R_36	1
Eco_PIP_R_137	1
Eco_PIP_R_172	1
Eco_PIP_R_236	1
Eco_PIP_R_273	1
Eco_PIP_R_353	1
Eco_PIP_R_316	1
Eco_PIP_R_108	1
Eco_PIP_R_209	1
Eco_PIP_R_351	1
Eco_PIP_R_314	1
Eco_PIP_R_71	1
Eco_PIP_R_34	1
Eco_PIP_R_391	1
Eco_PIP_R_329	1
Eco_PIP_R_234	1
Eco_PIP_R_271	1
Eco_PIP_R_135	1
Eco_PIP_R_170	1
Eco_PIP_R_348	1
Eco_PIP_R_55	1
Eco_PIP_R_10	1
Eco_PIP_R_111	1
Eco_PIP_R_154	1
Eco_PIP_R_210	1
Eco_PIP_R_255	1
Eco_PIP_R_194	1
Eco_PIP_R_8	1
Eco_PIP_R_268	1
Eco_PIP_R_295	1
Eco_PIP_R_169	1
Eco_PIP_R_388	1
Eco_PIP_R_68	1
Eco_PIP_R_95	1
Eco_PIP_R_375	1
Eco_PIP_R_330	1
Eco_PIP_R_214	1
Eco_PIP_R_251	1
Eco_PIP_R_115	1
Eco_PIP_R_150	1
Eco_PIP_R_51	1
Eco_PIP_R_14	1
Eco_PIP_R_309	1
Eco_PIP_R_91	1
Eco_PIP_R_371	1
Eco_PIP_R_334	1
Eco_PIP_R_29	1
Eco_PIP_R_291	1
Eco_PIP_R_128	1
Eco_PIP_R_190	1
Eco_PIP_R_229	1
Eco_PIP_R_48	1
Eco_PIP_R_355	1
Eco_PIP_R_310	1
Eco_PIP_R_248	1
Eco_PIP_R_149	1
Eco_PIP_R_131	1
Eco_PIP_R_174	1
Eco_PIP_R_288	1
Eco_PIP_R_230	1
Eco_PIP_R_275	1
Eco_PIP_R_189	1
Eco_PIP_R_368	1
Eco_PIP_R_88	1
Eco_PIP_R_75	1
Eco_PIP_R_30	1
Eco_PIP_R_395	1
Eco_PIP_R_232	1
Eco_PIP_R_277	1
Eco_PIP_R_133	1
Eco_PIP_R_176	1
Eco_PIP_R_397	1
Eco_PIP_R_77	1
Eco_PIP_R_32	1
Eco_PIP_R_357	1
Eco_PIP_R_312	1
Eco_PIP_R_373	1
Eco_PIP_R_336	1
Eco_PIP_R_93	1
Eco_PIP_R_192	1
Eco_PIP_R_293	1
Eco_PIP_R_117	1
Eco_PIP_R_152	1
Eco_PIP_R_216	1
Eco_PIP_R_253	1
Eco_PIP_R_53	1
Eco_PIP_R_16	1
Eco_PIP_R_270	1
Eco_PIP_R_235	1
Eco_PIP_R_171	1
Eco_PIP_R_134	1
Eco_PIP_R_35	1
Eco_PIP_R_70	1
Eco_PIP_R_390	1
Eco_PIP_R_328	1
Eco_PIP_R_315	1
Eco_PIP_R_350	1
Eco_PIP_R_109	1
Eco_PIP_R_208	1
Eco_PIP_R_389	1
Eco_PIP_R_69	1
Eco_PIP_R_94	1
Eco_PIP_R_331	1
Eco_PIP_R_374	1
Eco_PIP_R_195	1
