	imipenem
Kpn_IMI_R_219	1
Kpn_IMI_R_118	1
Kpn_IMI_R_13	1
Kpn_IMI_R_341	1
Kpn_IMI_R_56	1
Kpn_IMI_R_304	1
Kpn_IMI_R_199	1
Kpn_IMI_R_220	1
Kpn_IMI_R_265	1
Kpn_IMI_R_298	1
Kpn_IMI_R_121	1
Kpn_IMI_R_164	1
Kpn_IMI_R_385	1
Kpn_IMI_R_92	1
Kpn_IMI_R_378	1
Kpn_IMI_R_17	1
Kpn_IMI_R_345	1
Kpn_IMI_R_52	1
Kpn_IMI_R_300	1
Kpn_IMI_R_159	1
Kpn_IMI_R_258	1
Kpn_IMI_R_33	1
Kpn_IMI_R_361	1
Kpn_IMI_R_76	1
Kpn_IMI_R_324	1
Kpn_IMI_R_239	1
Kpn_IMI_R_180	1
Kpn_IMI_R_138	1
Kpn_IMI_R_281	1
Kpn_IMI_R_105	1
Kpn_IMI_R_204	1
Kpn_IMI_R_241	1
Kpn_IMI_R_319	1
Kpn_IMI_R_206	1
Kpn_IMI_R_243	1
Kpn_IMI_R_107	1
Kpn_IMI_R_142	1
Kpn_IMI_R_49	1
Kpn_IMI_R_9	1
Kpn_IMI_R_31	1
Kpn_IMI_R_363	1
Kpn_IMI_R_74	1
Kpn_IMI_R_326	1
Kpn_IMI_R_89	1
Kpn_IMI_R_283	1
Kpn_IMI_R_182	1
Kpn_IMI_R_15	1
Kpn_IMI_R_347	1
Kpn_IMI_R_50	1
Kpn_IMI_R_302	1
Kpn_IMI_R_123	1
Kpn_IMI_R_166	1
Kpn_IMI_R_222	1
Kpn_IMI_R_387	1
Kpn_IMI_R_90	1
Kpn_IMI_R_244	1
Kpn_IMI_R_201	1
Kpn_IMI_R_145	1
Kpn_IMI_R_100	1
Kpn_IMI_R_359	1
Kpn_IMI_R_73	1
Kpn_IMI_R_321	1
Kpn_IMI_R_36	1
Kpn_IMI_R_364	1
Kpn_IMI_R_399	1
Kpn_IMI_R_178	1
Kpn_IMI_R_284	1
Kpn_IMI_R_279	1
Kpn_IMI_R_185	1
Kpn_IMI_R_57	1
Kpn_IMI_R_305	1
Kpn_IMI_R_12	1
Kpn_IMI_R_340	1
Kpn_IMI_R_218	1
Kpn_IMI_R_119	1
Kpn_IMI_R_161	1
Kpn_IMI_R_124	1
Kpn_IMI_R_260	1
Kpn_IMI_R_225	1
Kpn_IMI_R_338	1
Kpn_IMI_R_97	1
Kpn_IMI_R_380	1
Kpn_IMI_R_262	1
Kpn_IMI_R_227	1
Kpn_IMI_R_163	1
Kpn_IMI_R_126	1
Kpn_IMI_R_95	1
Kpn_IMI_R_382	1
Kpn_IMI_R_68	1
Kpn_IMI_R_55	1
Kpn_IMI_R_307	1
Kpn_IMI_R_10	1
Kpn_IMI_R_342	1
Kpn_IMI_R_71	1
Kpn_IMI_R_323	1
Kpn_IMI_R_34	1
Kpn_IMI_R_366	1
Kpn_IMI_R_187	1
Kpn_IMI_R_286	1
Kpn_IMI_R_147	1
Kpn_IMI_R_102	1
Kpn_IMI_R_246	1
Kpn_IMI_R_203	1
Kpn_IMI_R_282	1
Kpn_IMI_R_183	1
Kpn_IMI_R_8	1
Kpn_IMI_R_75	1
Kpn_IMI_R_327	1
Kpn_IMI_R_30	1
Kpn_IMI_R_362	1
Kpn_IMI_R_88	1
Kpn_IMI_R_48	1
Kpn_IMI_R_242	1
Kpn_IMI_R_207	1
Kpn_IMI_R_143	1
Kpn_IMI_R_106	1
Kpn_IMI_R_29	1
Kpn_IMI_R_91	1
Kpn_IMI_R_386	1
Kpn_IMI_R_167	1
Kpn_IMI_R_122	1
Kpn_IMI_R_266	1
Kpn_IMI_R_223	1
Kpn_IMI_R_51	1
Kpn_IMI_R_303	1
Kpn_IMI_R_14	1
Kpn_IMI_R_346	1
Kpn_IMI_R_158	1
Kpn_IMI_R_259	1
Kpn_IMI_R_53	1
Kpn_IMI_R_301	1
Kpn_IMI_R_16	1
Kpn_IMI_R_344	1
Kpn_IMI_R_93	1
Kpn_IMI_R_384	1
Kpn_IMI_R_379	1
Kpn_IMI_R_198	1
Kpn_IMI_R_264	1
Kpn_IMI_R_221	1
Kpn_IMI_R_299	1
Kpn_IMI_R_165	1
Kpn_IMI_R_120	1
Kpn_IMI_R_318	1
Kpn_IMI_R_141	1
Kpn_IMI_R_104	1
Kpn_IMI_R_240	1
Kpn_IMI_R_205	1
Kpn_IMI_R_238	1
Kpn_IMI_R_181	1
Kpn_IMI_R_139	1
Kpn_IMI_R_280	1
Kpn_IMI_R_77	1
Kpn_IMI_R_325	1
Kpn_IMI_R_32	1
Kpn_IMI_R_360	1
Kpn_IMI_R_234	1
Kpn_IMI_R_271	1
Kpn_IMI_R_135	1
Kpn_IMI_R_170	1
Kpn_IMI_R_391	1
Kpn_IMI_R_86	1
Kpn_IMI_R_6	1
Kpn_IMI_R_329	1
Kpn_IMI_R_351	1
Kpn_IMI_R_46	1
