locus_tag	ftype	length_bp	gene	EC_number	COG	product
AJBIBFBA_00001	CDS	543				hypothetical protein
AJBIBFBA_00002	CDS	1200				hypothetical protein
AJBIBFBA_00003	CDS	867				hypothetical protein
AJBIBFBA_00004	CDS	963	hcf136_1			Ycf48-like protein
AJBIBFBA_00005	CDS	2403	mdtC_1			Multidrug resistance protein MdtC
AJBIBFBA_00006	CDS	1647				hypothetical protein
AJBIBFBA_00007	CDS	1425				putative protein
AJBIBFBA_00008	CDS	663				hypothetical protein
AJBIBFBA_00009	CDS	1368	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
AJBIBFBA_00010	CDS	888				hypothetical protein
AJBIBFBA_00011	CDS	582				hypothetical protein
AJBIBFBA_00012	CDS	1527		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
AJBIBFBA_00013	CDS	876	rdmC_1	3.1.1.95		Aclacinomycin methylesterase RdmC
AJBIBFBA_00014	CDS	1158	dhaT_1	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
AJBIBFBA_00015	CDS	1332	puuP_1		COG0531	Putrescine importer PuuP
AJBIBFBA_00016	CDS	1425	prr	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
AJBIBFBA_00017	CDS	1254	ectB	2.6.1.76		Diaminobutyrate--2-oxoglutarate transaminase
AJBIBFBA_00018	CDS	960		1.1.1.373		3-sulfolactaldehyde reductase
AJBIBFBA_00019	CDS	153				hypothetical protein
AJBIBFBA_00020	CDS	1659	actP_1		COG4147	Cation/acetate symporter ActP
AJBIBFBA_00021	CDS	324	yjcH_1		COG3162	Inner membrane protein YjcH
AJBIBFBA_00022	CDS	1650		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
AJBIBFBA_00023	CDS	768	gno_1	1.1.1.-		Gluconate 5-dehydrogenase
AJBIBFBA_00024	CDS	1173	carC	1.3.1.108	COG1960	Caffeyl-CoA reductase-Etf complex subunit CarC
AJBIBFBA_00025	CDS	357				hypothetical protein
AJBIBFBA_00026	CDS	1056				hypothetical protein
AJBIBFBA_00027	CDS	1953	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
AJBIBFBA_00028	CDS	504				hypothetical protein
AJBIBFBA_00029	CDS	2304	yebT_1		COG3008	Intermembrane transport protein YebT
AJBIBFBA_00030	CDS	621	pqiA_1		COG2995	Intermembrane transport protein PqiA
AJBIBFBA_00031	CDS	1584		1.2.1.26		Alpha-ketoglutaric semialdehyde dehydrogenase
AJBIBFBA_00032	CDS	996				hypothetical protein
AJBIBFBA_00033	CDS	1176	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
AJBIBFBA_00034	CDS	1323	rhmT			Inner membrane transport protein RhmT
AJBIBFBA_00035	CDS	1251	nicP_1			Porin-like protein NicP
AJBIBFBA_00036	CDS	1014	pdxA2	1.1.1.409	COG1995	D-erythronate 4-phosphate dehydrogenase
AJBIBFBA_00037	CDS	960				hypothetical protein
AJBIBFBA_00038	CDS	1326	garP			putative galactarate transporter
AJBIBFBA_00039	CDS	1014				hypothetical protein
AJBIBFBA_00040	CDS	531				hypothetical protein
AJBIBFBA_00041	CDS	1521				hypothetical protein
AJBIBFBA_00042	CDS	948	gbpR_1			HTH-type transcriptional regulator GbpR
AJBIBFBA_00043	CDS	477				hypothetical protein
