locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCDEOBMB_00001	CDS	1794				hypothetical protein
GCDEOBMB_00002	CDS	300				hypothetical protein
GCDEOBMB_00003	CDS	1239	tyrS			tyrosine--tRNA ligase
GCDEOBMB_00004	CDS	1257				porin
GCDEOBMB_00005	CDS	1209				major facilitator superfamily transporter
GCDEOBMB_00006	CDS	423				transcriptional regulator
GCDEOBMB_00007	CDS	243				hypothetical protein
GCDEOBMB_00008	CDS	1428				cbb3-type cytochrome C oxidase subunit I
GCDEOBMB_00009	CDS	1503				transcriptional regulator
GCDEOBMB_00010	CDS	1431				iron-sulfur protein
GCDEOBMB_00011	CDS	1674				sulfite/nitrite reductase
GCDEOBMB_00012	CDS	489				hypothetical protein
GCDEOBMB_00013	CDS	807				2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase
GCDEOBMB_00014	CDS	804	hpcG			2-oxo-hepta-3-ene-1,7-dioic acid hydratase
GCDEOBMB_00015	CDS	1305				major facilitator superfamily transporter
GCDEOBMB_00016	CDS	393	hpcD_1			5-carboxymethyl-2-hydroxymuconate isomerase
GCDEOBMB_00017	CDS	924	hpcB			homoprotocatechuate 2,3-dioxygenase
GCDEOBMB_00018	CDS	1461	hpcC			5-carboxy-2-hydroxymuconate semialdehyde dehydrogenase
GCDEOBMB_00019	CDS	780	hpcE_1		COG0179	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
GCDEOBMB_00020	CDS	660	hpcE_2		COG0179	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
GCDEOBMB_00021	CDS	912				transcriptional regulator
GCDEOBMB_00022	CDS	807	aph_1			aminoglycoside 3-N-acetyltransferase
GCDEOBMB_00023	CDS	570				hypothetical protein
GCDEOBMB_00024	CDS	2187	bphP			phytochrome BphP
GCDEOBMB_00025	CDS	588	bphO			heme oxygenase BphO
GCDEOBMB_00026	CDS	1386	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
GCDEOBMB_00027	CDS	510				spermidine acetyltransferase
GCDEOBMB_00028	CDS	1191				sugar efflux transporter
GCDEOBMB_00029	CDS	4254				sensor/response regulator hybrid protein
GCDEOBMB_00030	CDS	399				hypothetical protein
GCDEOBMB_00031	CDS	1194	ampC	3.5.2.6		beta-lactamase
GCDEOBMB_00032	CDS	891	ampR			transcriptional regulator AmpR
GCDEOBMB_00033	CDS	222				hypothetical protein
GCDEOBMB_00034	CDS	1245				cyclic di-GMP phosphodiesterase
GCDEOBMB_00035	CDS	876				transcriptional regulator
GCDEOBMB_00036	CDS	753				3-ketoacyl-ACP reductase
GCDEOBMB_00037	CDS	1743				dehydrogenase
GCDEOBMB_00038	CDS	1305	oprB_1			porin B
GCDEOBMB_00039	CDS	726				short-chain dehydrogenase
GCDEOBMB_00040	CDS	1059				alcohol dehydrogenase
GCDEOBMB_00041	CDS	1260				major facilitator superfamily transporter
GCDEOBMB_00042	CDS	534				hypothetical protein
GCDEOBMB_00043	CDS	960				transcriptional regulator
GCDEOBMB_00044	CDS	417				hypothetical protein
GCDEOBMB_00045	CDS	513	hpaC			4-hydroxyphenylacetate 3-monooxygenase small subunit
GCDEOBMB_00046	CDS	1563	hpaA			4-hydroxyphenylacetate 3-monooxygenase large subunit
GCDEOBMB_00047	CDS	291				hypothetical protein
GCDEOBMB_00048	CDS	762				3-ketoacyl-ACP reductase
GCDEOBMB_00049	CDS	1386				aminotransferase
GCDEOBMB_00050	CDS	825	moaF			Protein MoaF
GCDEOBMB_00051	CDS	597	cupB1			fimbrial subunit CupB1
GCDEOBMB_00052	CDS	747	cupB2			chaperone CupB2
GCDEOBMB_00053	CDS	2781	cupB3			usher CupB3
GCDEOBMB_00054	CDS	741	cupB4			chaperone CupB4
GCDEOBMB_00055	CDS	3057	cupB5			adhesive protein CupB5
GCDEOBMB_00056	CDS	1146	cupB6			fimbrial subunit CupB6
GCDEOBMB_00057	CDS	645				response regulator
