locus_tag	ftype	length_bp	gene	EC_number	COG	product
PDFLHPBO_00001	CDS	1200	tyrZ	6.1.1.1		tyrosine--tRNA ligase
PDFLHPBO_00002	CDS	1440	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
PDFLHPBO_00003	CDS	1092				anhydro-N-acetylmuramic acid kinase
PDFLHPBO_00004	CDS	351				iron-sulfur cluster insertion protein ErpA
PDFLHPBO_00005	CDS	414				hypothetical protein
PDFLHPBO_00006	CDS	720				hypothetical protein
PDFLHPBO_00007	CDS	1035	argC	1.2.1.38		N-acetyl-gamma-glutamyl-phosphate reductase
PDFLHPBO_00008	CDS	423				hypothetical protein
PDFLHPBO_00009	CDS	969				hypothetical protein
PDFLHPBO_00010	CDS	1077				hypothetical protein
PDFLHPBO_00011	CDS	801				short-chain dehydrogenase
PDFLHPBO_00012	CDS	1482				ATPase
PDFLHPBO_00013	CDS	339				HIT family protein
PDFLHPBO_00014	CDS	648				2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
PDFLHPBO_00015	CDS	795	speD	4.1.1.50		S-adenosylmethionine decarboxylase
PDFLHPBO_00016	CDS	423	yhfA		COG1765	Protein YhfA
PDFLHPBO_00017	CDS	645	vfr			cAMP-regulatory protein
PDFLHPBO_00018	CDS	837	trpC	4.1.1.48		indole-3-glycerol phosphate synthase
PDFLHPBO_00019	CDS	1050	trpD_1	2.4.2.18		anthranilate phosphoribosyltransferase
PDFLHPBO_00020	CDS	606	trpG	4.1.3.27		anthranilate synthase component II
PDFLHPBO_00021	CDS	258				hypothetical protein
PDFLHPBO_00022	CDS	363				hypothetical protein
PDFLHPBO_00023	CDS	630				hypothetical protein
PDFLHPBO_00024	CDS	990				hypothetical protein
PDFLHPBO_00025	CDS	207				hypothetical protein
PDFLHPBO_00026	CDS	873				hypothetical protein
PDFLHPBO_00027	CDS	2238				hypothetical protein
PDFLHPBO_00028	CDS	345				hypothetical protein
PDFLHPBO_00029	CDS	504				bacteriophage protein
PDFLHPBO_00030	CDS	1161				bacteriophage protein
PDFLHPBO_00031	CDS	441				hypothetical protein
PDFLHPBO_00032	CDS	2109				bacteriophage protein
