locus_tag	ftype	length_bp	gene	EC_number	COG	product
FNCGEDBI_00001	CDS	1407	narK2			nitrite extrusion protein 2
FNCGEDBI_00002	CDS	3786	narG			respiratory nitrate reductase subunit alpha
FNCGEDBI_00003	CDS	1542	narH			respiratory nitrate reductase subunit beta
FNCGEDBI_00004	CDS	741	narJ			respiratory nitrate reductase subunit delta
FNCGEDBI_00005	CDS	684	narI			respiratory nitrate reductase subunit gamma
FNCGEDBI_00006	CDS	819				PpiC-type peptidyl-prolyl cis-trans isomerase
FNCGEDBI_00007	CDS	990	moaA1_1			molybdenum cofactor biosynthesis protein A
FNCGEDBI_00008	CDS	792				amino acid binding protein
FNCGEDBI_00009	CDS	633	dauR			transcriptional regulator
FNCGEDBI_00010	CDS	1128	dauA			FAD-dependent catabolic D-arginine dehydrogenase DauA
FNCGEDBI_00011	CDS	948	dauB			NAD(P)H-dependent anabolic L-arginine dehydrogenase DauB
FNCGEDBI_00012	CDS	1572	rhlB_1	3.6.4.13		ATP-dependent RNA helicase RhlB
FNCGEDBI_00013	CDS	1899				acyl-CoA synthetase
FNCGEDBI_00014	CDS	648				carboxylesterase
FNCGEDBI_00015	CDS	1026				amino acid-binding protein
FNCGEDBI_00016	CDS	699	pcs			phosphatidylcholine synthase
FNCGEDBI_00017	CDS	483				hypothetical protein
FNCGEDBI_00018	CDS	702				hypothetical protein
FNCGEDBI_00019	CDS	315				GIY-YIG nuclease superfamily protein
FNCGEDBI_00020	CDS	690				transferase
FNCGEDBI_00021	CDS	936				hypothetical protein
FNCGEDBI_00022	CDS	753				hypothetical protein
FNCGEDBI_00023	CDS	912				hypothetical protein
FNCGEDBI_00024	CDS	1005				nucleoid-associated protein NdpA
FNCGEDBI_00025	CDS	1356				hypothetical protein
FNCGEDBI_00026	CDS	471				hypothetical protein
FNCGEDBI_00027	CDS	543				hypothetical protein
FNCGEDBI_00028	CDS	897				transcriptional regulator
FNCGEDBI_00029	CDS	612				hypothetical protein
FNCGEDBI_00030	CDS	123				hypothetical protein
FNCGEDBI_00031	CDS	351				chaperone
FNCGEDBI_00032	CDS	1362	exoS			exoenzyme S
FNCGEDBI_00033	CDS	1011				SAM-dependent methyltransferase
FNCGEDBI_00034	CDS	1833				sodium:sulfate symporter
FNCGEDBI_00035	CDS	795				ABC transporter ATP-binding protein
FNCGEDBI_00036	CDS	891				ABC transporter permease
FNCGEDBI_00037	CDS	978				hypothetical protein
FNCGEDBI_00038	CDS	6720				hypothetical protein
FNCGEDBI_00039	CDS	351				hypothetical protein
FNCGEDBI_00040	CDS	2853	valS	6.1.1.9		valine--tRNA ligase
FNCGEDBI_00041	CDS	369				hypothetical protein
FNCGEDBI_00042	CDS	429	holC			DNA polymerase III subunit chi
FNCGEDBI_00043	CDS	1488	pepA	3.4.11.1		leucyl aminopeptidase
FNCGEDBI_00044	CDS	813				transcriptional regulator
FNCGEDBI_00045	CDS	924	aidA			Quorum-quenching protein AidA
FNCGEDBI_00046	CDS	1119	lptF_1		COG0795	Lipopolysaccharide export system permease protein LptF
FNCGEDBI_00047	CDS	1068	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
FNCGEDBI_00048	CDS	498				hypothetical protein
FNCGEDBI_00049	CDS	1425	arr			aminoglycoside response regulator
FNCGEDBI_00050	CDS	225				hypothetical protein
FNCGEDBI_00051	CDS	285				hypothetical protein
FNCGEDBI_00052	CDS	1152				hypothetical protein
FNCGEDBI_00053	CDS	2208				hypothetical protein
FNCGEDBI_00054	CDS	219				hypothetical protein
FNCGEDBI_00055	CDS	240				hypothetical protein
FNCGEDBI_00056	CDS	822				hypothetical protein
FNCGEDBI_00057	CDS	1704				hypothetical protein
FNCGEDBI_00058	CDS	924				hypothetical protein
FNCGEDBI_00059	CDS	957				hypothetical protein
FNCGEDBI_00060	CDS	3585				hypothetical protein
FNCGEDBI_00061	CDS	483				hypothetical protein
FNCGEDBI_00062	CDS	741				hypothetical protein
FNCGEDBI_00063	CDS	204				hypothetical protein
FNCGEDBI_00064	CDS	453				hypothetical protein
FNCGEDBI_00065	CDS	516				hypothetical protein
FNCGEDBI_00066	CDS	897				hypothetical protein
FNCGEDBI_00067	CDS	405				hypothetical protein
FNCGEDBI_00068	CDS	1110				hypothetical protein
FNCGEDBI_00069	CDS	576				hypothetical protein
FNCGEDBI_00070	CDS	1239				hypothetical protein
FNCGEDBI_00071	CDS	1587				hypothetical protein
FNCGEDBI_00072	CDS	1674				hypothetical protein
FNCGEDBI_00073	CDS	549				hypothetical protein
FNCGEDBI_00074	CDS	303				hypothetical protein
FNCGEDBI_00075	CDS	321				hypothetical protein
FNCGEDBI_00076	CDS	624				hypothetical protein
FNCGEDBI_00077	CDS	630	mltF	4.2.2.-		Membrane-bound lytic murein transglycosylase F
FNCGEDBI_00078	CDS	159				hypothetical protein
FNCGEDBI_00079	CDS	297				hypothetical protein
FNCGEDBI_00080	CDS	375				hypothetical protein
FNCGEDBI_00081	CDS	498				hypothetical protein
FNCGEDBI_00082	CDS	372				hypothetical protein
FNCGEDBI_00083	CDS	231				hypothetical protein
FNCGEDBI_00084	CDS	489				hypothetical protein
FNCGEDBI_00085	CDS	261				hypothetical protein
FNCGEDBI_00086	CDS	315				hypothetical protein
FNCGEDBI_00087	CDS	978				hypothetical protein
FNCGEDBI_00088	CDS	1785				hypothetical protein
FNCGEDBI_00089	CDS	1167				hypothetical protein
FNCGEDBI_00090	CDS	342				hypothetical protein
FNCGEDBI_00091	CDS	285				hypothetical protein
FNCGEDBI_00092	CDS	681				hypothetical protein
FNCGEDBI_00093	CDS	534				hypothetical protein
FNCGEDBI_00094	CDS	201				hypothetical protein
FNCGEDBI_00095	CDS	624				hypothetical protein
FNCGEDBI_00096	CDS	690				hypothetical protein
FNCGEDBI_00097	CDS	192				hypothetical protein
FNCGEDBI_00098	CDS	468				hypothetical protein
FNCGEDBI_00099	CDS	567				hypothetical protein
FNCGEDBI_00100	CDS	549				hypothetical protein
FNCGEDBI_00101	CDS	369				hypothetical protein
FNCGEDBI_00102	tRNA	87				tRNA-Leu(caa)
FNCGEDBI_00103	CDS	1044	queA	5.-.-.-		S-adenosylmethionine--tRNA ribosyltransferase-isomerase
FNCGEDBI_00104	CDS	1128	tgt	2.4.2.29		queuine tRNA-ribosyltransferase
FNCGEDBI_00105	CDS	339				preprotein translocase subunit YajC
FNCGEDBI_00106	CDS	1863	secD_1			preprotein translocase subunit SecD
FNCGEDBI_00107	CDS	921	secF			preprotein translocase subunit SecF
FNCGEDBI_00108	CDS	549				hypothetical protein
FNCGEDBI_00109	CDS	816				type III secretion system regulator SuhB
FNCGEDBI_00110	CDS	774				methyltransferase
FNCGEDBI_00111	CDS	777	cysE			O-acetylserine synthase
FNCGEDBI_00112	CDS	492	iscR			HTH-type transcriptional regulator
FNCGEDBI_00113	CDS	1215	iscS	2.8.1.7		cysteine desulfurase
FNCGEDBI_00114	CDS	387	iscU			scaffold protein
FNCGEDBI_00115	CDS	324	iscA			iron-binding protein IscA
FNCGEDBI_00116	CDS	522	hscB			co-chaperone HscB
FNCGEDBI_00117	CDS	1860	hscA			chaperone protein HscA
FNCGEDBI_00118	CDS	339	fdx2			(2Fe-2S) ferredoxin
FNCGEDBI_00119	CDS	201	iscX		COG2975	Protein IscX
FNCGEDBI_00120	CDS	432	ndk	2.7.4.6		nucleoside diphosphate kinase
